order_book_id,sell_price,option_type,entry_date,expiry_date,otm_level,strike,mult,etf_entry,etf_settle,mid_price,intrinsic,net_rmb,note
10000001,0.1808,Short Call,2015-02-09,2015-03-25,-2,2.2,10000.0,2.331,2.604,0.1826,0.404,-2234.26,assigned ETF=2.6040 K=2.2000
10000002,0.1445,Short Call,2015-02-09,2015-03-25,-1,2.25,10000.0,2.331,2.604,0.146,0.354,-2096.6,assigned ETF=2.6040 K=2.2500
10000003,0.1213,Short Call,2015-02-09,2015-03-25,0,2.3,10000.0,2.331,2.604,0.1225,0.304,-1829.25,assigned ETF=2.6040 K=2.3000
10000004,0.0933,Short Call,2015-02-09,2015-03-25,1,2.35,10000.0,2.331,2.604,0.0942,0.254,-1609.42,assigned ETF=2.6040 K=2.3500
10000005,0.0728,Short Call,2015-02-09,2015-03-25,2,2.4,10000.0,2.331,2.604,0.0735,0.204,-1314.35,assigned ETF=2.6040 K=2.4000
10000051,0.1607,Short Call,2015-03-26,2015-04-22,-2,2.5,10000.0,2.643,3.241,0.1623,0.741,-5805.23,assigned ETF=3.2410 K=2.5000
10000059,0.1313,Short Call,2015-03-26,2015-04-22,-1,2.55,10000.0,2.643,3.241,0.1326,0.691,-5599.26,assigned ETF=3.2410 K=2.5500
10000067,0.0992,Short Call,2015-03-26,2015-04-22,0,2.6,10000.0,2.643,3.241,0.1002,0.641,-5420.02,assigned ETF=3.2410 K=2.6000
10000075,0.0744,Short Call,2015-03-26,2015-04-22,1,2.65,10000.0,2.643,3.241,0.0752,0.591,-5167.52,assigned ETF=3.2410 K=2.6500
10000083,0.0528,Short Call,2015-03-26,2015-04-22,2,2.7,10000.0,2.643,3.241,0.0533,0.541,-4884.33,assigned ETF=3.2410 K=2.7000
10000091,0.0381,Short Call,2015-03-26,2015-04-22,3,2.75,10000.0,2.643,3.241,0.0385,0.491,-4530.85,assigned ETF=3.2410 K=2.7500
10000099,0.0267,Short Call,2015-03-26,2015-04-22,4,2.8,10000.0,2.643,3.241,0.027,0.441,-4144.7,assigned ETF=3.2410 K=2.8000
10000145,0.291,Short Call,2015-04-23,2015-05-27,-2,3.0,10000.0,3.212,3.285,0.2939,0.285,57.61,assigned ETF=3.2850 K=3.0000
10000153,0.2419,Short Call,2015-04-23,2015-05-27,-1,3.1,10000.0,3.212,3.285,0.2443,0.185,566.57,assigned ETF=3.2850 K=3.1000
10000161,0.1918,Short Call,2015-04-23,2015-05-27,0,3.2,10000.0,3.212,3.285,0.1937,0.085,1065.63,assigned ETF=3.2850 K=3.2000
