entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,Call_Leg_A_(OTM2)_contract,Call_Leg_A_(OTM2)_K,Call_Leg_A_(OTM2)_side,Call_Leg_A_(OTM2)_exec_px,Call_Leg_A_(OTM2)_premium,Call_Leg_A_(OTM2)_exercise,Call_Leg_A_(OTM2)_net,Call_Leg_A_(OTM2)_note,Call_Leg_B_(OTM3)_contract,Call_Leg_B_(OTM3)_K,Call_Leg_B_(OTM3)_side,Call_Leg_B_(OTM3)_exec_px,Call_Leg_B_(OTM3)_premium,Call_Leg_B_(OTM3)_exercise,Call_Leg_B_(OTM3)_net,Call_Leg_B_(OTM3)_note
2019-12-23,2020-01-22,3.964,0.1454,0.0,49.72,4.046,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-23,2020-02-26,3.996,0.1725,0.3812,39.44,4.2353,True,True,2+3,,1,1058.39,1054.39,10002140,4.1,sell,0.0684,683.76,0.0,681.76,expires_worthless,10002141,4.2,sell,0.0375,374.64,0.0,372.64,expires_worthless
2020-02-27,2020-03-25,4.071,0.2019,0.6625,53.46,4.234,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-03-26,2020-04-22,3.683,0.2957,0.5837,40.69,4.2919,True,True,2+3,,1,1192.63,898.63,10002352,3.8,sell,0.075,750.25,-290.0,458.25,assigned  ETF=3.8290 K=3.8000,10002353,3.9,sell,0.0442,442.38,0.0,440.38,expires_worthless
2020-04-23,2020-05-27,3.822,0.133,0.002,52.99,3.8701,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-05-28,2020-06-24,3.85,0.1476,0.054,47.63,3.9891,True,True,2+3,,1,224.32,-2059.68,10002175,4.0,sell,0.0163,162.85,-1640.0,-1479.15,assigned  ETF=4.1640 K=4.0000,10002176,4.1,sell,0.0061,61.47,-640.0,-580.53,assigned  ETF=4.1640 K=4.1000
2020-06-29,2020-07-22,4.128,0.1473,0.136,66.01,4.1714,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-07-23,2020-08-26,4.766,0.2441,0.4518,63.85,5.1238,True,True,2+3,,1,1441.26,1437.26,10002663,4.9,sell,0.0854,854.17,0.0,852.17,expires_worthless,10002699,5.0,sell,0.0587,587.09,0.0,585.09,expires_worthless
2020-08-27,2020-09-23,4.799,0.2203,0.3741,54.92,4.8879,True,True,2+3,,1,1284.11,1280.11,10002665,4.9,sell,0.078,779.72,0.0,777.72,expires_worthless,10002705,5.0,sell,0.0504,504.39,0.0,502.39,expires_worthless
2020-09-24,2020-10-28,4.636,0.2009,0.3108,42.05,4.9498,True,True,2+3,,1,1119.96,1075.96,10002793,4.8,sell,0.0707,706.57,-40.0,664.57,assigned  ETF=4.8040 K=4.8000,10002794,4.9,sell,0.0413,413.39,0.0,411.39,expires_worthless
2020-10-29,2020-11-25,4.848,0.1848,0.2584,56.24,4.97,True,True,2+3,,1,502.71,498.71,10002840,5.0,sell,0.0384,384.39,0.0,382.39,expires_worthless,10002841,5.25,sell,0.0118,118.32,0.0,116.32,expires_worthless
2020-11-26,2020-12-23,4.985,0.1694,0.208,55.52,5.1201,True,True,2+3,,1,380.85,376.85,10002712,5.25,sell,0.0288,287.59,0.0,285.59,expires_worthless,10002713,5.5,sell,0.0093,93.26,0.0,91.26,expires_worthless
2020-12-24,2021-01-27,5.074,0.1564,0.1658,54.51,5.1691,True,True,2+3,,1,214.77,0.77,10002937,5.5,sell,0.0157,157.44,-210.0,-54.56,assigned  ETF=5.5210 K=5.5000,10002938,5.75,sell,0.0057,57.33,0.0,55.33,expires_worthless
2021-01-28,2021-02-24,5.385,0.2156,0.3588,48.3,5.7079,True,True,2+3,,1,1514.94,1510.94,10003147,5.5,sell,0.1025,1025.19,0.0,1023.19,expires_worthless,10003070,5.675,sell,0.0483,489.76,0.0,487.76,expires_worthless
2021-02-25,2021-03-24,5.478,0.2058,0.3268,47.75,5.8126,True,True,2+3,,1,1143.76,1139.76,10002769,5.675,sell,0.0644,652.58,0.0,650.58,expires_worthless,10003166,5.75,sell,0.0491,491.18,0.0,489.18,expires_worthless
