entry_date,exit_date,regime,phase,strike,entry_px,exit_px,net_pnl,note,put_filled
2020-03-23,2020-04-22,static_filter,0,3.5,0.150654,0.0,-1508.5400000000002,expiry_settle ETF=3.8290,True
2020-11-23,2020-12-23,static_filter,0,5.0,0.078642,0.0,-788.4200000000001,expiry_settle ETF=5.0740,True
2021-01-07,2021-01-27,static_filter,0,5.5,0.088434,0.0,-886.34,expiry_settle ETF=5.5210,True
2021-02-09,2021-02-24,static_filter,0,5.675,0.087006,0.24799999999999933,1628.5912079999932,expiry_settle ETF=5.4270,True
2021-03-24,2021-04-28,static_filter,0,4.9,0.117912,0.0,-1181.1200000000001,expiry_settle ETF=5.1270,True
2021-07-27,2021-08-25,static_filter,0,4.8,0.10659,0.0,-1067.9,expiry_settle ETF=4.9710,True
2021-08-26,2021-09-22,static_filter,0,4.8,0.072828,0.0,-730.2800000000001,expiry_settle ETF=4.8950,True
2021-09-22,2021-10-27,static_filter,0,4.8,0.082008,0.0,-822.0799999999999,expiry_settle ETF=4.9700,True
2021-11-10,2021-11-24,static_filter,0,4.8,0.0306,0.0,-308.0,expiry_settle ETF=4.9970,True
2022-01-06,2022-01-26,static_filter,0,4.8,0.03825,0.09399999999999942,554.8999999999942,expiry_settle ETF=4.7060,True
2022-01-26,2022-02-23,static_filter,0,4.7,0.08466,0.08499999999999996,0.7999999999996531,expiry_settle ETF=4.6150,True
2022-02-23,2022-03-23,static_filter,0,4.6,0.068136,0.32699999999999996,2586.04,expiry_settle ETF=4.2730,True
2022-03-23,2022-04-27,static_filter,0,4.2,0.08680199999999999,0.3110000000000004,2239.380000000004,expiry_settle ETF=3.8890,True
2022-04-27,2022-05-25,static_filter,0,3.8,0.08017200000000001,0.0,-803.72,expiry_settle ETF=3.9820,True
2022-05-25,2022-06-22,static_filter,0,3.9,0.06211800000000001,0.0,-623.1800000000001,expiry_settle ETF=4.2900,True
2022-06-24,2022-07-27,static_filter,0,4.4,0.09945000000000001,0.12400000000000055,242.90000000000543,expiry_settle ETF=4.2760,True
2022-08-02,2022-08-24,static_filter,0,4.1,0.074562,0.0,-747.62,expiry_settle ETF=4.1450,True
2022-08-24,2022-09-28,static_filter,0,4.1,0.073338,0.20699999999999985,1334.0199999999984,expiry_settle ETF=3.8930,True
2022-09-28,2022-10-26,static_filter,0,3.8,0.043758,0.08399999999999963,399.8199999999963,expiry_settle ETF=3.7160,True
2022-10-26,2022-11-23,static_filter,0,3.7,0.078642,0.0,-788.4200000000001,expiry_settle ETF=3.8340,True
2023-10-23,2023-11-22,static_filter,0,3.5,0.056202,0.0,-564.02,expiry_settle ETF=3.6110,True
2023-11-29,2023-12-27,static_filter,0,3.5,0.029070000000000002,0.0950000000000002,656.700000000002,expiry_settle ETF=3.4050,True
2023-12-27,2024-01-24,static_filter,0,3.4,0.055998,0.121,647.4200000000001,expiry_settle ETF=3.2790,True
2024-01-24,2024-02-28,static_filter,0,3.231,0.055998,0.0,-573.963572,expiry_settle ETF=3.4480,True
2024-03-13,2024-03-27,static_filter,0,3.525,0.025806,0.03200000000000003,60.665516000000295,expiry_settle ETF=3.4930,True
2024-08-07,2024-08-28,static_filter,0,3.4,0.050592,0.042999999999999705,-78.52000000000292,expiry_settle ETF=3.3570,True
2024-09-09,2024-09-25,static_filter,0,3.2,0.017646,0.0,-178.45999999999998,expiry_settle ETF=3.4740,True
2024-11-05,2024-11-27,static_filter,0,4.1,0.10230600000000001,0.11299999999999955,104.33999999999537,expiry_settle ETF=3.9870,True
2025-04-07,2025-04-23,static_filter,0,3.6,0.158814,0.0,-1590.14,expiry_settle ETF=3.8820,True
2025-08-12,2025-08-27,static_filter,0,4.2,0.031212,0.0,-314.12,expiry_settle ETF=4.4750,True
2025-10-29,2025-11-26,static_filter,0,4.8,0.06303600000000001,0.1739999999999995,1107.039999999995,expiry_settle ETF=4.6260,True
