entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,put_filled,put_fill_time,put_exec_px,put_limit_px,put_trigger_val,Call_Leg_A_(OTM2)_contract,Call_Leg_A_(OTM2)_K,Call_Leg_A_(OTM2)_side,Call_Leg_A_(OTM2)_exec_px,Call_Leg_A_(OTM2)_premium,Call_Leg_A_(OTM2)_exercise,Call_Leg_A_(OTM2)_net,Call_Leg_A_(OTM2)_note,Call_Leg_B_(OTM3)_contract,Call_Leg_B_(OTM3)_K,Call_Leg_B_(OTM3)_side,Call_Leg_B_(OTM3)_exec_px,Call_Leg_B_(OTM3)_premium,Call_Leg_B_(OTM3)_exercise,Call_Leg_B_(OTM3)_net,Call_Leg_B_(OTM3)_note,Put_Buy____(Level_1)_contract,Put_Buy____(Level_1)_K,Put_Buy____(Level_1)_side,Put_Buy____(Level_1)_exec_px,Put_Buy____(Level_1)_premium,Put_Buy____(Level_1)_exercise,Put_Buy____(Level_1)_net,Put_Buy____(Level_1)_note
2019-12-23,2020-01-22,3.964,0.1454,0.0,49.72,4.046,True,True,2+3,1+1,1,346.54,150.54,True,2019-12-23 09:35:00,0.021,0.021,-0.0167,10002122,4.1,sell,0.0388,388.0,-190.0,196.0,assigned  ETF=4.1190 K=4.1000,10002123,4.2,sell,0.0169,168.97,0.0,166.97,expires_worthless,10002129,3.9,buy,0.021,-210.43,0.0,-212.43,expires_worthless
2020-01-23,2020-02-26,3.996,0.1725,0.3812,39.44,4.2353,True,True,2+3,1+1,1,-440.61,-446.61,True,2020-01-23 09:35:00,0.1499,0.1499,,10002140,4.1,sell,0.0684,683.76,0.0,681.76,expires_worthless,10002141,4.2,sell,0.0375,374.64,0.0,372.64,expires_worthless,10002147,3.9,buy,0.1499,-1499.0,0.0,-1501.0,expires_worthless
2020-02-27,2020-03-25,4.071,0.2019,0.6625,53.46,4.234,True,True,2+3,1+1,1,134.83,3068.23,True,2020-02-27 09:35:00,0.0702,0.0702,-0.0121,10002159,4.2,sell,0.0556,555.65,0.0,553.65,expires_worthless,10002160,4.3,sell,0.0282,281.6,0.0,279.6,expires_worthless,10002166,4.0,buy,0.0702,-702.42,2940.0,2234.98,exercised ETF=3.7060 K=4.0000
2020-03-26,2020-04-22,3.683,0.2957,0.5837,40.69,4.2919,True,True,2+3,1+1,1,78.5,-217.5,True,2020-03-26 09:35:00,0.1114,0.1114,-0.0123,10002352,3.8,sell,0.075,750.25,-290.0,458.25,assigned  ETF=3.8290 K=3.8000,10002353,3.9,sell,0.0442,442.38,0.0,440.38,expires_worthless,10002376,3.6,buy,0.1114,-1114.14,0.0,-1116.14,expires_worthless
2020-04-23,2020-05-27,3.822,0.133,0.002,52.99,3.8701,True,True,2+3,1+1,1,-607.67,-613.67,True,2020-04-23 09:35:00,0.0929,0.0929,-0.0074,10002458,4.0,sell,0.022,219.64,0.0,217.64,expires_worthless,10002459,4.1,sell,0.0102,101.8,0.0,99.8,expires_worthless,10002465,3.8,buy,0.0929,-929.11,0.0,-931.11,expires_worthless
2020-05-28,2020-06-24,3.85,0.1476,0.054,47.63,3.9891,True,True,2+3,1+1,1,-425.3,-2711.3,True,2020-05-28 09:35:00,0.065,0.065,-0.0246,10002175,4.0,sell,0.0163,162.85,-1640.0,-1479.15,assigned  ETF=4.1640 K=4.0000,10002176,4.1,sell,0.0061,61.47,-640.0,-580.53,assigned  ETF=4.1640 K=4.1000,10002182,3.8,buy,0.065,-649.62,0.0,-651.62,expires_worthless
2020-06-29,2020-07-22,4.128,0.1473,0.136,66.01,4.1714,False,False,,1+1,1,-698.21,-700.21,True,2020-06-29 09:35:00,0.0698,0.0698,-0.0166,,,,,,,,,,,,,,,,,10002561,4.1,buy,0.0698,-698.21,0.0,-700.21,expires_worthless
2020-07-23,2020-08-26,4.766,0.2441,0.4518,63.85,5.1238,True,True,2+3,1+1,1,115.71,109.71,True,2020-07-23 09:35:00,0.1326,0.1326,-0.0659,10002663,4.9,sell,0.0854,854.17,0.0,852.17,expires_worthless,10002699,5.0,sell,0.0587,587.09,0.0,585.09,expires_worthless,10002632,4.7,buy,0.1326,-1325.55,0.0,-1327.55,expires_worthless
2020-08-27,2020-09-23,4.799,0.2203,0.3741,54.92,4.8879,True,True,2+3,1+1,1,233.75,227.75,True,2020-08-27 10:55:00,0.105,0.105,-0.0762,10002665,4.9,sell,0.078,779.72,0.0,777.72,expires_worthless,10002705,5.0,sell,0.0504,504.39,0.0,502.39,expires_worthless,10002634,4.7,buy,0.105,-1050.36,0.0,-1052.36,expires_worthless
2020-09-24,2020-10-28,4.636,0.2009,0.3108,42.05,4.9498,True,True,2+3,1+1,1,124.15,78.15,True,2020-09-24 09:35:00,0.0996,0.0996,-0.0052,10002793,4.8,sell,0.0707,706.57,-40.0,664.57,assigned  ETF=4.8040 K=4.8000,10002794,4.9,sell,0.0413,413.39,0.0,411.39,expires_worthless,10002800,4.6,buy,0.0996,-995.81,0.0,-997.81,expires_worthless
