order_book_id,sell_price,option_type,entry_date,expiry_date,otm_level,strike,mult,etf_entry,etf_settle,mid_price,intrinsic,net_rmb,note
10004500,0.2245,Short Call,2022-09-19,2022-10-26,0,5.75,10000.0,5.919,5.987,0.2291,0.237,-126.82,assigned ETF=5.9870 K=5.7500
10004501,0.0986,Short Call,2022-09-19,2022-10-26,1,6.0,10000.0,5.919,5.987,0.1006,0.0,983.88,expires_worthless
10004502,0.0347,Short Call,2022-09-19,2022-10-26,2,6.25,10000.0,5.919,5.987,0.0354,0.0,344.92,expires_worthless
10004503,0.0116,Short Call,2022-09-19,2022-10-26,3,6.5,10000.0,5.919,5.987,0.0118,0.0,113.64,expires_worthless
10004504,0.0041,Short Call,2022-09-19,2022-10-26,4,6.75,10000.0,5.919,5.987,0.0042,0.0,39.16,expires_worthless
10004505,0.0021,Short Call,2022-09-19,2022-10-26,5,7.0,10000.0,5.919,5.987,0.0021,0.0,18.58,expires_worthless
10004518,0.2773,Short Call,2022-10-27,2022-11-23,0,5.75,10000.0,5.969,6.129,0.283,0.379,-1018.6,assigned ETF=6.1290 K=5.7500
10004519,0.122,Short Call,2022-10-27,2022-11-23,1,6.0,10000.0,5.969,6.129,0.1245,0.129,-71.9,assigned ETF=6.1290 K=6.0000
10004520,0.04,Short Call,2022-10-27,2022-11-23,2,6.25,10000.0,5.969,6.129,0.0408,0.0,397.84,expires_worthless
10004521,0.0102,Short Call,2022-10-27,2022-11-23,3,6.5,10000.0,5.969,6.129,0.0104,0.0,99.92,expires_worthless
10004522,0.0028,Short Call,2022-10-27,2022-11-23,4,6.75,10000.0,5.969,6.129,0.0029,0.0,26.42,expires_worthless
10004523,0.0014,Short Call,2022-10-27,2022-11-23,5,7.0,10000.0,5.969,6.129,0.0014,0.0,11.72,expires_worthless
10004537,0.2176,Short Call,2022-11-24,2022-12-28,0,6.0,10000.0,6.13,5.884,0.222,0.0,2173.6,expires_worthless
10004538,0.0898,Short Call,2022-11-24,2022-12-28,1,6.25,10000.0,6.13,5.884,0.0916,0.0,895.68,expires_worthless
10004539,0.0295,Short Call,2022-11-24,2022-12-28,2,6.5,10000.0,6.13,5.884,0.0301,0.0,292.98,expires_worthless
10004540,0.0085,Short Call,2022-11-24,2022-12-28,3,6.75,10000.0,6.13,5.884,0.0087,0.0,83.26,expires_worthless
10004541,0.0029,Short Call,2022-11-24,2022-12-28,4,7.0,10000.0,6.13,5.884,0.003,0.0,27.4,expires_worthless
10004765,0.0016,Short Call,2022-11-24,2022-12-28,5,7.25,10000.0,6.13,5.884,0.0016,0.0,13.68,expires_worthless
10004817,0.193,Short Call,2022-12-29,2023-01-30,0,5.75,10000.0,5.881,6.298,0.1969,0.548,-3552.38,assigned ETF=6.2980 K=5.7500
10004818,0.0606,Short Call,2022-12-29,2023-01-30,1,6.0,10000.0,5.881,6.298,0.0618,0.298,-2376.36,assigned ETF=6.2980 K=6.0000
10004819,0.0172,Short Call,2022-12-29,2023-01-30,2,6.25,10000.0,5.881,6.298,0.0176,0.048,-309.52,assigned ETF=6.2980 K=6.2500
10004820,0.0028,Short Call,2022-12-29,2023-01-30,3,6.5,10000.0,5.881,6.298,0.0029,0.0,26.42,expires_worthless
