entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,Call_OTM2_(Dyn-A)_contract,Call_OTM2_(Dyn-A)_K,Call_OTM2_(Dyn-A)_side,Call_OTM2_(Dyn-A)_exec_px,Call_OTM2_(Dyn-A)_premium,Call_OTM2_(Dyn-A)_exercise,Call_OTM2_(Dyn-A)_net,Call_OTM2_(Dyn-A)_note,Call_OTM3_(Dyn-A)_contract,Call_OTM3_(Dyn-A)_K,Call_OTM3_(Dyn-A)_side,Call_OTM3_(Dyn-A)_exec_px,Call_OTM3_(Dyn-A)_premium,Call_OTM3_(Dyn-A)_exercise,Call_OTM3_(Dyn-A)_net,Call_OTM3_(Dyn-A)_note,Call_OTM4_(Dyn-B)_contract,Call_OTM4_(Dyn-B)_K,Call_OTM4_(Dyn-B)_side,Call_OTM4_(Dyn-B)_exec_px,Call_OTM4_(Dyn-B)_premium,Call_OTM4_(Dyn-B)_exercise,Call_OTM4_(Dyn-B)_net,Call_OTM4_(Dyn-B)_note
2019-12-23,2020-01-22,3.964,0.1454,0.0,49.72,4.046,True,False,2+3,,1,320.0,126.0,10002122,4.1,sell,0.0231,231.0,-190.0,39.0,assigned  ETF=4.1190 K=4.1000,10002123,4.2,sell,0.0089,89.0,0.0,87.0,expires_worthless,,,,,,,,
2020-01-23,2020-02-26,3.996,0.1725,0.3812,39.44,4.2353,True,True,2+3,,1,733.0,729.0,10002140,4.1,sell,0.0473,473.0,0.0,471.0,expires_worthless,10002141,4.2,sell,0.026,260.0,0.0,258.0,expires_worthless,,,,,,,,
2020-02-27,2020-03-25,4.071,0.2019,0.6625,53.46,4.234,True,False,2+3,,1,602.0,598.0,10002159,4.2,sell,0.0407,407.0,0.0,405.0,expires_worthless,10002160,4.3,sell,0.0195,195.0,0.0,193.0,expires_worthless,,,,,,,,
2020-03-26,2020-04-22,3.683,0.2957,0.5837,40.69,4.2919,True,True,2+3,,1,1192.0,898.0,10002352,3.8,sell,0.0731,731.0,-290.0,439.0,assigned  ETF=3.8290 K=3.8000,10002353,3.9,sell,0.0461,461.0,0.0,459.0,expires_worthless,,,,,,,,
2020-04-23,2020-05-27,3.822,0.133,0.002,52.99,3.8701,True,False,2+3,,1,262.0,258.0,10002458,4.0,sell,0.0183,183.0,0.0,181.0,expires_worthless,10002459,4.1,sell,0.0079,79.0,0.0,77.0,expires_worthless,,,,,,,,
2020-05-28,2020-06-24,3.85,0.1476,0.054,47.63,3.9891,True,True,2+3,,1,231.0,-2053.0,10002175,4.0,sell,0.0171,171.0,-1640.0,-1471.0,assigned  ETF=4.1640 K=4.0000,10002176,4.1,sell,0.006,60.0,-640.0,-582.0,assigned  ETF=4.1640 K=4.1000,,,,,,,,
2020-06-29,2020-07-22,4.128,0.1473,0.136,66.01,4.1714,True,False,4,,1,22.0,-2900.0,,,,,,,,,,,,,,,,,10002573,4.5,sell,0.0022,22.0,-2920.0,-2900.0,assigned  ETF=4.7920 K=4.5000
2020-07-23,2020-08-26,4.766,0.2441,0.4518,63.85,5.1238,True,True,4,,1,276.0,274.0,,,,,,,,,,,,,,,,,10002700,5.25,sell,0.0276,276.0,0.0,274.0,expires_worthless
2020-08-27,2020-09-23,4.799,0.2203,0.3741,54.92,4.8879,True,True,2+3,,1,1344.0,1340.0,10002665,4.9,sell,0.08,800.0,0.0,798.0,expires_worthless,10002705,5.0,sell,0.0544,544.0,0.0,542.0,expires_worthless,,,,,,,,
2020-09-24,2020-10-28,4.636,0.2009,0.3108,42.05,4.9498,True,True,2+3,,1,1006.0,962.0,10002793,4.8,sell,0.0601,601.0,-40.0,559.0,assigned  ETF=4.8040 K=4.8000,10002794,4.9,sell,0.0405,405.0,0.0,403.0,expires_worthless,,,,,,,,
2020-10-29,2020-11-25,4.848,0.1848,0.2584,56.24,4.97,True,True,2+3,,1,634.0,630.0,10002840,5.0,sell,0.0496,496.0,0.0,494.0,expires_worthless,10002841,5.25,sell,0.0138,138.0,0.0,136.0,expires_worthless,,,,,,,,
2020-11-26,2020-12-23,4.985,0.1694,0.208,55.52,5.1201,True,True,2+3,,1,338.0,334.0,10002712,5.25,sell,0.0255,255.0,0.0,253.0,expires_worthless,10002713,5.5,sell,0.0083,83.0,0.0,81.0,expires_worthless,,,,,,,,
2020-12-24,2021-01-27,5.074,0.1564,0.1658,54.51,5.1691,True,True,2+3,,1,163.0,-51.0,10002937,5.5,sell,0.0117,117.0,-210.0,-95.0,assigned  ETF=5.5210 K=5.5000,10002938,5.75,sell,0.0046,46.0,0.0,44.0,expires_worthless,,,,,,,,
2021-01-28,2021-02-24,5.385,0.2156,0.3588,48.3,5.7079,True,True,2+3,,1,1222.27,1218.27,10003147,5.5,sell,0.0818,818.0,0.0,816.0,expires_worthless,10003070,5.675,sell,0.0399,404.27,0.0,402.27,expires_worthless,,,,,,,,
2021-02-25,2021-03-24,5.478,0.2058,0.3268,47.75,5.8126,True,True,2+3,,1,967.39,963.39,10002769,5.675,sell,0.056,567.39,0.0,565.39,expires_worthless,10003166,5.75,sell,0.04,400.0,0.0,398.0,expires_worthless,,,,,,,,
2021-03-25,2021-04-28,4.929,0.1872,0.2663,35.85,5.4563,True,True,2+3,,1,345.0,341.0,10003284,5.25,sell,0.0259,259.0,0.0,257.0,expires_worthless,10003285,5.5,sell,0.0086,86.0,0.0,84.0,expires_worthless,,,,,,,,
2021-04-29,2021-05-26,5.173,0.171,0.2624,56.92,5.2163,True,False,2+3,,1,193.0,189.0,10003350,5.5,sell,0.0152,152.0,0.0,150.0,expires_worthless,10003351,5.75,sell,0.0041,41.0,0.0,39.0,expires_worthless,,,,,,,,
