etf,type,condition,n_triggered,placement_rate,mean_14d,prob_neg_14d,p_val_14d,mean_30d,prob_neg_30d,p_val_30d,prob_p10,prob_p25,lift_p10,lift_p25
300ETF,combo,kurt_20 < q10 OR vol20 > q90,274,0.153587,-0.004490,0.558394,0.000007,-0.014002,0.624088,0.000000,0.164234,0.361314,1.636831,1.445255
300ETF,combo,kurt_20 < q10 OR atr20 > q90,318,0.178251,-0.005578,0.547170,0.000000,-0.010238,0.610063,0.000000,0.125786,0.320755,1.253645,1.283019
300ETF,single,kurt_20 < q10,211,0.118274,-0.006081,0.601896,0.000002,-0.011365,0.635071,0.000000,0.118483,0.336493,1.180863,1.345972
300ETF,combo,kurt_20 < q10 AND cci20 < -100,211,0.118274,-0.006081,0.601896,0.000002,-0.011365,0.635071,0.000000,0.118483,0.336493,1.180863,1.345972
300ETF,combo,mfi14 < 20 OR kurt_20 < q10,240,0.134529,-0.004257,0.579167,0.000034,-0.009959,0.641667,0.000000,0.108333,0.316667,1.079702,1.266667
300ETF,combo,dist_sma200 < -2.0 OR close > sma50,1314,0.736547,0.001668,0.505327,0.000141,0.002964,0.538813,0.000000,0.130898,0.291476,1.304593,1.165906
300ETF,combo,kurt_20 > 1.0 OR rsi14 > 70,742,0.415919,0.007475,0.428571,0.000392,0.019973,0.394879,0.000000,0.087601,0.212938,0.873074,0.851752
300ETF,combo,kurt_20 < q10 AND skew_20 < -0.3,30,0.016816,-0.030115,0.900000,0.000000,-0.042005,0.933333,0.000000,0.366667,0.800000,3.654376,3.200000
300ETF,combo,vol20 > q90 OR atr20 > q90,174,0.097534,-0.004204,0.477011,0.006349,-0.015491,0.586207,0.000000,0.218391,0.385057,2.176588,1.540230
300ETF,combo,bb_width < q10 AND skew_20 < -0.3,38,0.021300,-0.020549,0.710526,0.000222,-0.033482,0.921053,0.000000,0.157895,0.631579,1.573655,2.526316
300ETF,combo,kurt_20 < q10 AND dist_sma200 < -2.0,77,0.043161,-0.011675,0.623377,0.000030,-0.021837,0.727273,0.000000,0.181818,0.415584,1.812087,1.662338
300ETF,combo,kurt_20 < q10 OR skew_20 < q10,359,0.201233,-0.001121,0.504178,0.003064,-0.005784,0.593315,0.000000,0.108635,0.325905,1.082710,1.303621
300ETF,single,cci20 < -100,1765,0.989350,0.003157,0.482153,0.000000,0.007044,0.490652,0.000000,0.101416,0.252691,1.010765,1.010765
300ETF,combo,kurt_20 < q10 OR cci20 < -100,1765,0.989350,0.003157,0.482153,0.000000,0.007044,0.490652,0.000000,0.101416,0.252691,1.010765,1.010765
300ETF,combo,cci20 < -100 OR kurt_20 > 1.0,1765,0.989350,0.003157,0.482153,0.000000,0.007044,0.490652,0.000000,0.101416,0.252691,1.010765,1.010765
300ETF,combo,cci20 < -100 OR vol20 > q90,1765,0.989350,0.003157,0.482153,0.000000,0.007044,0.490652,0.000000,0.101416,0.252691,1.010765,1.010765
300ETF,combo,cci20 < -100 OR close > sma50,1765,0.989350,0.003157,0.482153,0.000000,0.007044,0.490652,0.000000,0.101416,0.252691,1.010765,1.010765
300ETF,combo,cci20 < -100 OR atr20 > q90,1765,0.989350,0.003157,0.482153,0.000000,0.007044,0.490652,0.000000,0.101416,0.252691,1.010765,1.010765
300ETF,combo,cci20 < -100 OR skew_20 < -0.3,1765,0.989350,0.003157,0.482153,0.000000,0.007044,0.490652,0.000000,0.101416,0.252691,1.010765,1.010765
300ETF,combo,kurt_20 < q10 AND cmf20 < 0,81,0.045404,-0.010313,0.592593,0.000027,-0.019493,0.728395,0.000000,0.185185,0.407407,1.845645,1.629630
300ETF,combo,kurt_20 < q10 OR skew_20 > q90,376,0.210762,-0.003362,0.571809,0.000036,-0.003681,0.550532,0.000000,0.082447,0.279255,0.821705,1.117021
300ETF,combo,kurt_20 > 1.0 OR rsi14 > 65,820,0.459641,0.005789,0.440244,0.025223,0.016590,0.414634,0.000000,0.102439,0.229268,1.020957,0.917073
300ETF,combo,cmf20 < 0 OR close > sma50,1443,0.808857,0.002507,0.492723,0.016954,0.004526,0.522523,0.000000,0.108108,0.266112,1.077457,1.064449
300ETF,combo,kurt_20 < q10 OR close > sma50,1024,0.573991,0.000980,0.497070,0.001874,0.001494,0.532227,0.000000,0.113281,0.267578,1.129015,1.070312
300ETF,combo,kurt_20 < q10 AND close > sma50,116,0.065022,-0.004711,0.655172,0.001578,-0.010087,0.689655,0.000000,0.086207,0.318966,0.859179,1.275862
300ETF,combo,kurt_20 > 1.0 OR rsi7 > 70,828,0.464126,0.006067,0.438406,0.010780,0.016014,0.414251,0.000000,0.089372,0.219807,0.890724,0.879227
300ETF,single,kurt_20 > 1.0,648,0.363229,0.005993,0.436728,0.047682,0.017996,0.401235,0.000000,0.081790,0.212963,0.815160,0.851852
300ETF,combo,cci20 < -100 AND kurt_20 > 1.0,648,0.363229,0.005993,0.436728,0.047682,0.017996,0.401235,0.000000,0.081790,0.212963,0.815160,0.851852
300ETF,combo,kurt_20 < q10 AND adx14 < 25,101,0.056614,-0.006255,0.633663,0.000030,-0.007491,0.673267,0.000000,0.019802,0.267327,0.197356,1.069307
300ETF,combo,atr20 > q90 AND skew_20 < -0.3,39,0.021861,-0.021553,0.615385,0.000201,-0.033943,0.769231,0.000000,0.282051,0.435897,2.811059,1.743590
300ETF,combo,kurt_20 < q10 OR skew_20 < -0.3,598,0.335202,0.001352,0.486622,0.072391,-0.000628,0.548495,0.000000,0.100334,0.277592,0.999981,1.110368
300ETF,combo,vol20 > q90 OR close > sma50,956,0.535874,0.001442,0.495816,0.017655,0.001792,0.536611,0.000000,0.117155,0.270921,1.167621,1.083682
300ETF,combo,vol20 > q90 AND dist_sma200 < -2.0,20,0.011211,-0.017498,0.650000,0.013753,-0.048927,0.900000,0.000001,0.500000,0.800000,4.983240,3.200000
300ETF,combo,kurt_20 > 1.0 OR vol20 > q90,665,0.372758,0.005580,0.439098,0.091336,0.016935,0.410526,0.000001,0.085714,0.222556,0.854270,0.890226
300ETF,combo,vol20 > q90 AND cmf20 < 0,26,0.014574,-0.006816,0.538462,0.082917,-0.038187,0.846154,0.000001,0.384615,0.653846,3.833262,2.615385
300ETF,combo,close > sma50 AND skew_20 < -0.3,181,0.101457,0.001088,0.491713,0.376056,-0.010482,0.646409,0.000003,0.187845,0.381215,1.872157,1.524862
300ETF,combo,skew_20 < -0.3 AND close > sma50,181,0.101457,0.001088,0.491713,0.376056,-0.010482,0.646409,0.000003,0.187845,0.381215,1.872157,1.524862
300ETF,combo,kurt_20 < q10 OR bb_width < q10,424,0.237668,-0.003987,0.591981,0.000000,-0.002660,0.603774,0.000006,0.099057,0.311321,0.987246,1.245283
300ETF,combo,kurt_20 < q10 OR macd_hist > 0,977,0.547646,0.000269,0.511771,0.000144,0.002603,0.494371,0.000008,0.127943,0.278403,1.275138,1.113613
300ETF,combo,close > sma50 AND atr20 > q90,96,0.053812,-0.000956,0.416667,0.290569,-0.012358,0.583333,0.000011,0.156250,0.333333,1.557263,1.333333
300ETF,combo,kurt_20 < q10 AND macd_hist > 0,79,0.044283,-0.011722,0.696203,0.000031,-0.012298,0.670886,0.000011,0.139241,0.354430,1.387738,1.417722
300ETF,combo,kurt_20 > 1.0 AND rsi14 > 65,88,0.049327,0.020182,0.386364,0.002468,0.037486,0.318182,0.000015,0.045455,0.136364,0.453022,0.545455
300ETF,combo,mfi14 < 20 OR vol20 > q90,101,0.056614,0.003898,0.405941,0.896494,-0.013692,0.613861,0.000018,0.207921,0.346535,2.072239,1.386139
300ETF,combo,mfi14 < 20 OR close > sma50,959,0.537556,0.002139,0.490094,0.115367,0.002902,0.533889,0.000035,0.106361,0.254432,1.060043,1.017727
300ETF,single,rsi14 > 70,132,0.073991,0.016189,0.401515,0.000810,0.031893,0.356061,0.000037,0.098485,0.196970,0.981547,0.787879
300ETF,combo,rsi14 > 70 AND rsi14 > 65,132,0.073991,0.016189,0.401515,0.000810,0.031893,0.356061,0.000037,0.098485,0.196970,0.981547,0.787879
300ETF,single,vol20 > q90,70,0.039238,0.001407,0.400000,0.577989,-0.019691,0.571429,0.000040,0.285714,0.428571,2.847566,1.714286
300ETF,combo,cci20 < -100 AND vol20 > q90,70,0.039238,0.001407,0.400000,0.577989,-0.019691,0.571429,0.000040,0.285714,0.428571,2.847566,1.714286
300ETF,combo,bb_width < q10 OR close > sma50,1030,0.577354,0.000375,0.513592,0.000100,0.003424,0.534951,0.000041,0.109709,0.265049,1.093410,1.060194
