entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,Call_Leg_A_(OTM2)_contract,Call_Leg_A_(OTM2)_K,Call_Leg_A_(OTM2)_side,Call_Leg_A_(OTM2)_exec_px,Call_Leg_A_(OTM2)_premium,Call_Leg_A_(OTM2)_exercise,Call_Leg_A_(OTM2)_net,Call_Leg_A_(OTM2)_note,Call_Leg_B_(OTM3)_contract,Call_Leg_B_(OTM3)_K,Call_Leg_B_(OTM3)_side,Call_Leg_B_(OTM3)_exec_px,Call_Leg_B_(OTM3)_premium,Call_Leg_B_(OTM3)_exercise,Call_Leg_B_(OTM3)_net,Call_Leg_B_(OTM3)_note
2022-09-19,2022-10-26,5.919,0.1748,0.0,21.54,7.4744,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2022-10-27,2022-11-23,5.969,0.2077,0.6011,46.67,6.1066,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2022-11-24,2022-12-28,6.13,0.1848,0.2309,52.04,6.3565,True,True,2+3,,1,472.43,468.43,10004539,6.5,sell,0.0369,369.2,0.0,367.2,expires_worthless,10004540,6.75,sell,0.0103,103.24,0.0,101.24,expires_worthless
2022-12-29,2023-01-30,5.881,0.1533,0.0527,35.83,6.355,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2023-01-31,2023-02-22,6.303,0.1676,0.2737,74.6,6.3447,True,True,2+3,,1,128.75,124.75,10004982,6.75,sell,0.0096,96.27,0.0,94.27,expires_worthless,10004983,7.0,sell,0.0032,32.48,0.0,30.48,expires_worthless
2023-02-23,2023-03-22,6.378,0.1413,0.0476,59.51,6.4399,True,True,2+3,,1,150.59,146.59,10004558,6.75,sell,0.012,120.44,0.0,118.44,expires_worthless,10004559,7.0,sell,0.003,30.15,0.0,28.15,expires_worthless
2023-03-23,2023-04-26,6.316,0.1263,0.0,53.77,6.4546,True,True,2+3,,1,85.6,81.6,10005224,6.75,sell,0.0073,72.6,0.0,70.6,expires_worthless,10005225,7.0,sell,0.0013,13.0,0.0,11.0,expires_worthless
2023-04-27,2023-05-24,6.185,0.1403,0.1901,35.98,6.5908,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2023-05-25,2023-06-28,6.02,0.1418,0.2011,30.65,6.3008,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2023-06-29,2023-07-26,6.022,0.1353,0.1531,41.36,6.2306,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
