entry_date,exit_date,regime,phase,strike,entry_px,exit_px,net_pnl,note,put_filled
2020-01-21,2020-02-26,reg1,1,4.1,0.069564,0.02999999999999936,-398.24000000000643,expiry_settle ETF=4.0700,True
2020-02-28,2020-03-25,reg1,1,3.9,0.094146,0.1939999999999995,995.939999999995,expiry_settle ETF=3.7060,True
2020-03-25,2020-04-22,reg1,1,3.7,0.14800200000000002,0.0,-1482.0200000000002,expiry_settle ETF=3.8290,True
2021-01-07,2021-01-27,reg2,3,5.5,0.088434,0.0,-886.34,expiry_settle ETF=5.5210,True
2021-02-09,2021-02-24,reg2,3,5.675,0.087006,0.24799999999999933,1628.5912079999932,expiry_settle ETF=5.4270,True
2021-02-24,2021-03-24,reg1,1,5.25,0.067524,0.31700000000000017,2492.1600000000017,expiry_settle ETF=4.9330,True
2021-03-24,2021-04-28,reg1,1,4.9,0.117912,0.0,-1181.1200000000001,expiry_settle ETF=5.1270,True
2021-06-23,2021-07-28,reg2,3,5.0,0.039474,0.18100000000000005,1412.6600000000005,expiry_settle ETF=4.8190,True
2021-07-28,2021-08-25,reg1,1,4.8,0.097206,0.0,-974.0600000000001,expiry_settle ETF=4.9710,True
2021-08-30,2021-09-22,reg1,1,4.8,0.070176,0.0,-703.76,expiry_settle ETF=4.8950,True
2022-01-07,2022-01-26,reg2,3,4.8,0.029682,0.09399999999999942,640.5799999999941,expiry_settle ETF=4.7060,True
2022-01-26,2022-02-23,reg1,1,4.7,0.08466,0.08499999999999996,0.7999999999996531,expiry_settle ETF=4.6150,True
2022-02-23,2022-03-23,reg2,3,4.6,0.068136,0.32699999999999996,2586.04,expiry_settle ETF=4.2730,True
2022-03-23,2022-04-27,reg1,1,4.2,0.08680199999999999,0.3110000000000004,2239.380000000004,expiry_settle ETF=3.8890,True
2022-04-27,2022-05-25,reg1,1,3.8,0.08017200000000001,0.0,-803.72,expiry_settle ETF=3.9820,True
2022-05-25,2022-06-22,reg2,3,3.9,0.06211800000000001,0.0,-623.1800000000001,expiry_settle ETF=4.2900,True
2022-06-24,2022-07-27,reg2,3,4.4,0.09945000000000001,0.12400000000000055,242.90000000000543,expiry_settle ETF=4.2760,True
2022-07-27,2022-08-24,reg2,3,4.2,0.058344,0.055000000000000604,-36.03999999999396,expiry_settle ETF=4.1450,True
2022-08-24,2022-09-28,reg2,3,4.1,0.073338,0.20699999999999985,1334.0199999999984,expiry_settle ETF=3.8930,True
2022-10-17,2022-10-26,reg2,3,3.9,0.04233,0.18399999999999972,1414.0999999999972,expiry_settle ETF=3.7160,True
2022-11-09,2022-11-23,reg2,3,3.7,0.032028,0.0,-322.28000000000003,expiry_settle ETF=3.8340,True
2023-08-28,2023-09-27,reg1,1,3.8,0.07599,0.021999999999999797,-542.500000000002,expiry_settle ETF=3.7780,True
2023-10-27,2023-11-22,reg1,1,3.6,0.037332000000000004,0.0,-375.32000000000005,expiry_settle ETF=3.6110,True
2023-12-05,2023-12-27,reg1,1,3.4,0.03825,0.0,-384.5,expiry_settle ETF=3.4050,True
2024-01-02,2024-01-24,reg2,3,3.4,0.027438,0.121,933.0199999999999,expiry_settle ETF=3.2790,True
2024-01-24,2024-02-28,reg1,1,3.231,0.055998,0.0,-573.963572,expiry_settle ETF=3.4480,True
2024-03-13,2024-03-27,reg2,3,3.525,0.025806,0.03200000000000003,60.665516000000295,expiry_settle ETF=3.4930,True
2024-07-23,2024-08-28,reg1,1,3.5,0.059160000000000004,0.1429999999999998,835.7999999999979,expiry_settle ETF=3.3570,True
2024-09-02,2024-09-25,reg1,1,3.3,0.031824,0.0,-320.24,expiry_settle ETF=3.4740,True
2024-09-27,2024-10-23,reg2,3,3.8,0.07599,0.0,-761.9,expiry_settle ETF=4.0550,True
2024-10-23,2024-11-27,reg2,3,4.0,0.094962,0.0129999999999999,-822.220000000001,expiry_settle ETF=3.9870,True
2024-12-05,2024-12-25,reg2,3,4.0,0.078642,0.0,-788.4200000000001,expiry_settle ETF=4.0720,True
2024-12-25,2025-01-22,reg2,3,4.0,0.051306,0.11399999999999988,624.3399999999989,expiry_settle ETF=3.8860,True
2025-04-07,2025-04-23,reg1,1,3.6,0.158814,0.0,-1590.14,expiry_settle ETF=3.8820,True
2025-04-23,2025-05-28,reg2,3,3.8,0.042534,0.0,-427.34000000000003,expiry_settle ETF=3.9420,True
2025-08-12,2025-08-27,reg2,3,4.2,0.031212,0.0,-314.12,expiry_settle ETF=4.4750,True
2025-10-24,2025-11-26,reg2,3,4.7,0.066504,0.07399999999999984,72.35999999999851,expiry_settle ETF=4.6260,True
2025-11-26,2025-12-24,reg1,1,4.6,0.069156,0.0,-693.56,expiry_settle ETF=4.7570,True
2026-02-05,2026-02-25,reg1,1,4.678,0.056202,0.0,-578.63252,expiry_settle ETF=4.7500,True
2026-02-25,2026-03-25,reg2,3,4.7,0.051714,0.15600000000000058,1040.260000000006,expiry_settle ETF=4.5440,True
2026-03-25,2026-04-22,reg1,1,4.5,0.07089000000000001,0.0,-710.9000000000001,expiry_settle ETF=4.8110,True
