etf,type,condition,n_triggered,placement_rate,mean_14d,prob_neg_14d,p_val_14d,mean_30d,prob_neg_30d,p_val_30d,prob_p10,prob_p25,lift_p10,lift_p25
50ETF,combo,natr14 < q10 OR atr20 < q10,389,0.140993,0.009250,0.372751,0.000000,0.018888,0.300771,0.000000,0.000000,0.082262,0.000000,0.328930
50ETF,combo,atr20 < q10 OR vol20 < q10,447,0.162015,0.008517,0.395973,0.000000,0.018964,0.310962,0.000000,0.011186,0.096197,0.111816,0.384648
50ETF,combo,natr14 < q10 OR cmo14 < q10,563,0.204059,0.008845,0.396092,0.000000,0.018632,0.349911,0.000000,0.015986,0.101243,0.159800,0.404827
50ETF,combo,vol20 < q10 OR cmo14 < q10,585,0.212033,0.008460,0.393162,0.000000,0.018418,0.341880,0.000000,0.023932,0.114530,0.239230,0.457954
50ETF,combo,atr20 < q10 OR cmo14 < q10,475,0.172164,0.010560,0.374737,0.000000,0.019370,0.349474,0.000000,0.018947,0.090526,0.189405,0.361974
50ETF,single,natr14 < q10,351,0.127220,0.007338,0.404558,0.000008,0.017444,0.313390,0.000000,0.000000,0.088319,0.000000,0.353148
50ETF,combo,natr14 < q10 AND cci20 < -100,351,0.127220,0.007338,0.404558,0.000008,0.017444,0.313390,0.000000,0.000000,0.088319,0.000000,0.353148
50ETF,combo,natr14 < q10 OR vol20 < q10,457,0.165640,0.007740,0.404814,0.000004,0.016846,0.330416,0.000000,0.010941,0.107221,0.109370,0.428729
50ETF,single,atr20 < q10,258,0.093512,0.010326,0.360465,0.000000,0.018696,0.302326,0.000000,0.000000,0.062016,0.000000,0.247972
50ETF,combo,atr20 < q10 AND cci20 < -100,258,0.093512,0.010326,0.360465,0.000000,0.018696,0.302326,0.000000,0.000000,0.062016,0.000000,0.247972
50ETF,combo,natr14 < q10 AND vol20 < q10,280,0.101486,0.006715,0.410714,0.000197,0.018273,0.292857,0.000000,0.000000,0.085714,0.000000,0.342733
50ETF,combo,atr20 < q10 OR vol10 < q10,465,0.168539,0.008901,0.365591,0.000000,0.016352,0.305376,0.000000,0.019355,0.113978,0.193478,0.455749
50ETF,combo,atr20 < q10 OR cmf20 < 0,1371,0.496919,0.004971,0.439825,0.000012,0.011352,0.436178,0.000000,0.059810,0.204230,0.597887,0.816626
50ETF,single,vol20 < q10,386,0.139906,0.007362,0.409326,0.000078,0.017337,0.318653,0.000000,0.012953,0.108808,0.129487,0.435075
50ETF,combo,vol20 < q10 AND cci20 < -100,386,0.139906,0.007362,0.409326,0.000078,0.017337,0.318653,0.000000,0.012953,0.108808,0.129487,0.435075
50ETF,combo,natr14 < q10 OR cmf20 < 0,1410,0.511055,0.004864,0.441844,0.000015,0.011044,0.436879,0.000000,0.058156,0.206383,0.581350,0.825233
50ETF,combo,atr20 < q10 AND cmf20 > 0,165,0.059804,0.010418,0.393939,0.000002,0.021400,0.266667,0.000000,0.000000,0.030303,0.000000,0.121168
50ETF,combo,natr14 < q10 AND vol10 < q10,227,0.082276,0.008357,0.405286,0.000008,0.018767,0.268722,0.000000,0.000000,0.066079,0.000000,0.264221
50ETF,combo,vol20 < q10 AND vol10 < q10,245,0.088800,0.009431,0.379592,0.000050,0.020177,0.253061,0.000000,0.008163,0.093878,0.081603,0.375374
50ETF,combo,vol20 < q10 OR cmf20 < 0,1439,0.521566,0.004385,0.446838,0.000176,0.010601,0.438499,0.000000,0.059069,0.209173,0.590474,0.836389
50ETF,combo,vol10 < q10 OR cmo14 < q10,567,0.205509,0.008004,0.396825,0.000001,0.015365,0.349206,0.000000,0.031746,0.135802,0.317345,0.543013
50ETF,combo,cmf20 < 0 OR vol10 < q10,1396,0.505980,0.004592,0.441261,0.000083,0.010378,0.439112,0.000000,0.061605,0.212751,0.615823,0.850695
