etf,type,condition,n_triggered,placement_rate,mean_14d,prob_neg_14d,p_val_14d,mean_30d,prob_neg_30d,p_val_30d,prob_p10,prob_p25,lift_p10,lift_p25
50ETF,combo,natr14 < q10 AND cmf20 > 0,204,0.073940,0.008638,0.416667,0.000019,0.017352,0.303922,0.000000,0.000000,0.078431,0.000000,0.313612
50ETF,combo,natr14 < q10 AND atr20 < q10,220,0.079739,0.007463,0.409091,0.000136,0.016359,0.322727,0.000000,0.000000,0.068182,0.000000,0.272628
50ETF,combo,natr14 < q10 OR vol10 < q10,490,0.177601,0.006704,0.404082,0.000042,0.013641,0.336735,0.000000,0.018367,0.138776,0.183607,0.554901
50ETF,combo,atr20 < q10 AND vol20 < q10,197,0.071403,0.008623,0.375635,0.000014,0.015424,0.314721,0.000000,0.000000,0.076142,0.000000,0.304458
50ETF,combo,vol20 < q10 OR vol10 < q10,507,0.183762,0.006188,0.420118,0.000194,0.012958,0.349112,0.000000,0.023669,0.140039,0.236601,0.559955
50ETF,combo,vol20 < q10 AND skew_20 < q10,33,0.011961,0.026947,0.121212,0.000000,0.030885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50ETF,combo,vol20 < q10 AND cmf20 < 0,153,0.055455,0.010640,0.346405,0.001211,0.022678,0.300654,0.000000,0.013072,0.104575,0.130672,0.418149
50ETF,combo,cmf20 < 0 OR cmo14 < q10,1254,0.454513,0.004159,0.444976,0.002155,0.009766,0.464115,0.000001,0.066188,0.225678,0.661642,0.902384
50ETF,single,cmf20 < 0,1206,0.437115,0.004226,0.446103,0.002319,0.009977,0.459370,0.000001,0.067993,0.228027,0.679687,0.911776
50ETF,combo,cmf20 < 0 AND cci20 < -100,1206,0.437115,0.004226,0.446103,0.002319,0.009977,0.459370,0.000001,0.067993,0.228027,0.679687,0.911776
50ETF,combo,atr20 > q90 OR skew_20 < q10,297,0.107648,0.000710,0.454545,0.624901,-0.008907,0.562290,0.000002,0.144781,0.350168,1.447287,1.400166
50ETF,combo,natr14 < q10 OR atr20 > q90,418,0.151504,0.004416,0.437799,0.028119,0.012335,0.373206,0.000003,0.011962,0.126794,0.119574,0.506993
50ETF,combo,vol20 < q10 OR atr20 > q90,453,0.164190,0.004662,0.439294,0.027132,0.012638,0.373068,0.000003,0.022075,0.141280,0.220671,0.564917
50ETF,combo,cmf20 > 0 OR atr20 > q90,1567,0.567959,0.000066,0.490747,0.017792,-0.000457,0.496490,0.000005,0.119336,0.261646,1.192931,1.046207
50ETF,combo,natr14 < q10 AND cmf20 < 0,147,0.053280,0.005533,0.387755,0.039545,0.017573,0.326531,0.000005,0.000000,0.102041,0.000000,0.408015
50ETF,single,vol10 < q10,366,0.132657,0.007121,0.404372,0.000178,0.013172,0.316940,0.000006,0.024590,0.142077,0.245813,0.568100
50ETF,combo,vol10 < q10 AND cci20 < -100,366,0.132657,0.007121,0.404372,0.000178,0.013172,0.316940,0.000006,0.024590,0.142077,0.245813,0.568100
50ETF,combo,natr14 < q10 AND skew_20 < q10,30,0.010874,0.026337,0.133333,0.000000,0.023515,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000
50ETF,combo,roc5 > q90 OR skew_20 < q10,367,0.133019,0.000552,0.465940,0.550196,-0.007259,0.547684,0.000007,0.149864,0.365123,1.498095,1.459961
50ETF,combo,cmf20 < 0 OR atr20 > q90,1240,0.449438,0.003603,0.451613,0.017877,0.009225,0.463710,0.000009,0.070161,0.232258,0.701359,0.928696
50ETF,combo,vol20 < q10 AND cmf20 > 0,233,0.084451,0.005209,0.450644,0.024557,0.013830,0.330472,0.000010,0.012876,0.111588,0.128709,0.446190
50ETF,combo,cmf20 > 0 OR skew_20 < q10,1633,0.591881,0.000584,0.483160,0.096801,-0.000114,0.495407,0.000010,0.118187,0.262094,1.181446,1.047997
50ETF,single,cci20 < -100,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,natr14 < q10 OR cci20 < -100,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,atr20 < q10 OR cci20 < -100,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,vol20 < q10 OR cci20 < -100,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,cmf20 < 0 OR cci20 < -100,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,cmf20 < 0 OR cmf20 > 0,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,vol10 < q10 OR cci20 < -100,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,cci20 < -100 OR cmf20 > 0,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,cci20 < -100 OR atr20 > q90,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,cci20 < -100 OR cmo14 < q10,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,cci20 < -100 OR skew_20 < q10,2740,0.993113,0.001935,0.470073,0.000073,0.004267,0.477007,0.000011,0.098175,0.246715,0.981396,0.986504
50ETF,combo,roc10 > q90 OR atr20 > q90,190,0.068866,-0.007241,0.615789,0.000405,-0.010323,0.631579,0.000011,0.115789,0.363158,1.157475,1.452105
50ETF,combo,atr20 > q90 OR roc10 > q90,190,0.068866,-0.007241,0.615789,0.000405,-0.010323,0.631579,0.000011,0.115789,0.363158,1.157475,1.452105
50ETF,combo,cmf20 > 0 AND skew_20 < q10,137,0.049656,-0.001007,0.437956,0.402740,-0.016462,0.518248,0.000012,0.262774,0.437956,2.626785,1.751190
50ETF,combo,cmo14 > q90 OR skew_20 < q10,432,0.156578,-0.000078,0.490741,0.277253,-0.005872,0.548611,0.000012,0.131944,0.331019,1.318966,1.323594
50ETF,single,cmf20 > 0,1534,0.555999,0.000133,0.488918,0.026922,-0.000223,0.490874,0.000024,0.121904,0.261408,1.218594,1.045253
50ETF,combo,cci20 < -100 AND cmf20 > 0,1534,0.555999,0.000133,0.488918,0.026922,-0.000223,0.490874,0.000024,0.121904,0.261408,1.218594,1.045253
50ETF,combo,atr20 > q90 OR roc5 > q90,202,0.073215,-0.005648,0.569307,0.004703,-0.009201,0.608911,0.000026,0.103960,0.361386,1.039227,1.445021
50ETF,combo,atr20 > q90 OR cmo14 > q90,282,0.102211,-0.004126,0.560284,0.003490,-0.007041,0.592199,0.000026,0.092199,0.319149,0.921652,1.276133
50ETF,combo,roc5 > q90 OR skew_20 < -0.5,629,0.227981,-0.003361,0.492846,0.000659,-0.004346,0.538951,0.000030,0.144674,0.310016,1.446217,1.239614
50ETF,combo,cmf20 < 0 AND cmo14 < q10,170,0.061617,0.013237,0.382353,0.000652,0.024817,0.352941,0.000033,0.047059,0.111765,0.470418,0.446897
50ETF,combo,atr20 < q10 AND skew_20 < q10,20,0.007249,0.020267,0.150000,0.000045,0.013257,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000
50ETF,single,atr20 > q90,67,0.024284,-0.010892,0.611940,0.001933,-0.014430,0.686567,0.000037,0.074627,0.328358,0.745998,1.312957
50ETF,combo,cci20 < -100 AND atr20 > q90,67,0.024284,-0.010892,0.611940,0.001933,-0.014430,0.686567,0.000037,0.074627,0.328358,0.745998,1.312957
50ETF,combo,atr20 > q90 OR skew_20 < -0.5,562,0.203697,-0.003380,0.485765,0.001279,-0.004870,0.540925,0.000037,0.147687,0.293594,1.476333,1.173952
50ETF,combo,cmo14 > q90 OR skew_20 < -0.5,696,0.252265,-0.003042,0.501437,0.000438,-0.003520,0.537356,0.000047,0.133621,0.291667,1.335723,1.166244
50ETF,single,cmo14 < q10,218,0.079014,0.010871,0.389908,0.000966,0.020336,0.403670,0.000055,0.041284,0.123853,0.412694,0.495233
50ETF,combo,cci20 < -100 AND cmo14 < q10,218,0.079014,0.010871,0.389908,0.000966,0.020336,0.403670,0.000055,0.041284,0.123853,0.412694,0.495233
50ETF,combo,rsi14 > 70 OR skew_20 < q10,393,0.142443,0.001452,0.475827,0.919755,-0.005699,0.544529,0.000057,0.142494,0.343511,1.424420,1.373548
50ETF,combo,rsi14 > 70 OR skew_20 < -0.5,661,0.239580,-0.002564,0.496218,0.002881,-0.003746,0.537065,0.000061,0.143722,0.301059,1.436696,1.203800
50ETF,combo,atr20 > q90 OR rsi14 > 70,237,0.085901,-0.003364,0.565401,0.033057,-0.007745,0.607595,0.000065,0.105485,0.345992,1.054470,1.383465
50ETF,combo,atr20 < q10 OR atr20 > q90,325,0.117796,0.005952,0.412308,0.003541,0.011867,0.381538,0.000070,0.015385,0.116923,0.153790,0.467523
50ETF,combo,roc10 > q90 OR skew_20 < q10,354,0.128307,-0.000116,0.491525,0.324165,-0.006094,0.539548,0.000071,0.144068,0.347458,1.440156,1.389327
50ETF,single,skew_20 < q10,236,0.085538,0.002593,0.419492,0.656066,-0.008899,0.538136,0.000089,0.177966,0.368644,1.779016,1.474042
50ETF,combo,cci20 < -100 AND skew_20 < q10,236,0.085538,0.002593,0.419492,0.656066,-0.008899,0.538136,0.000089,0.177966,0.368644,1.779016,1.474042
50ETF,combo,skew_20 < q10 AND skew_20 < -0.5,236,0.085538,0.002593,0.419492,0.656066,-0.008899,0.538136,0.000089,0.177966,0.368644,1.779016,1.474042
50ETF,single,roc10 < q10,147,0.053280,0.014942,0.326531,0.000005,0.021611,0.360544,0.000111,0.047619,0.129252,0.476018,0.516819
50ETF,combo,roc10 > q90 OR skew_20 < -0.5,621,0.225082,-0.003621,0.505636,0.000315,-0.003655,0.531401,0.000148,0.144928,0.299517,1.448750,1.197634
50ETF,single,skew_20 < -0.5,507,0.183762,-0.003473,0.479290,0.002724,-0.004867,0.532544,0.000176,0.163708,0.301775,1.636488,1.206663
50ETF,combo,skew_20 < q10 OR skew_20 < -0.5,507,0.183762,-0.003473,0.479290,0.002724,-0.004867,0.532544,0.000176,0.163708,0.301775,1.636488,1.206663
50ETF,combo,cmo14 > q90 AND skew_20 < -0.5,29,0.010511,-0.007055,0.482759,0.233358,-0.037967,0.655172,0.000275,0.379310,0.655172,3.791729,2.619740
50ETF,combo,mfi14 < 20 OR skew_20 < -0.5,534,0.193548,-0.002354,0.477528,0.020440,-0.004395,0.537453,0.000300,0.159176,0.303371,1.591184,1.213043
50ETF,combo,atr20 < q10 OR cmf20 > 0,1627,0.589706,0.000707,0.478181,0.145408,0.000584,0.483712,0.000301,0.114935,0.253227,1.148938,1.012540
50ETF,combo,atr20 < q10 AND vol10 < q10,159,0.057630,0.007118,0.446541,0.002646,0.012836,0.327044,0.000322,0.000000,0.094340,0.000000,0.377222
50ETF,combo,mfi14 < 20 OR skew_20 < q10,271,0.098224,0.003964,0.431734,0.312767,-0.007378,0.553506,0.000354,0.162362,0.354244,1.623028,1.416461
50ETF,combo,cmf20 < 0 AND atr20 > q90,33,0.011961,-0.003075,0.575758,0.292748,-0.011330,0.757576,0.000388,0.000000,0.272727,0.000000,1.090514
50ETF,combo,vol10 < q10 AND cmf20 > 0,190,0.068866,0.006913,0.410526,0.001558,0.012926,0.310526,0.000402,0.021053,0.115789,0.210450,0.462990
50ETF,combo,zscore20 > 2 OR skew_20 < -0.5,678,0.245741,-0.002235,0.473451,0.004295,-0.002739,0.536873,0.000556,0.134218,0.303835,1.341697,1.214899
50ETF,combo,rsi14 > 65 AND skew_20 < q10,28,0.010149,0.005314,0.357143,0.621168,-0.032471,0.642857,0.000702,0.321429,0.642857,3.213121,2.570497
50ETF,combo,roc5 > q90 AND zscore20 > 2,67,0.024284,-0.009210,0.611940,0.012435,-0.013395,0.686567,0.000704,0.059701,0.447761,0.596799,1.790396
50ETF,combo,rsi14 > 65 OR skew_20 < -0.5,828,0.300109,-0.000963,0.504831,0.031781,-0.001584,0.528986,0.000981,0.128019,0.287440,1.279729,1.149342
50ETF,single,stoch_k < 20,435,0.157666,0.007792,0.388506,0.000761,0.011897,0.397701,0.001235,0.062069,0.183908,0.620465,0.735366
50ETF,combo,roc5 > q90 OR cmo14 > q90,293,0.106198,-0.002169,0.542662,0.062850,-0.004601,0.546075,0.001303,0.105802,0.324232,1.057637,1.296458
50ETF,combo,roc10 > q90 AND rsi14 > 70,70,0.025372,-0.007321,0.614286,0.041698,-0.015594,0.700000,0.001319,0.157143,0.471429,1.570859,1.885031
50ETF,combo,zscore20 > 2 OR skew_20 < q10,412,0.149329,0.001888,0.439320,0.868822,-0.003994,0.543689,0.001397,0.126214,0.347087,1.261679,1.387846
50ETF,combo,vol10 < q10 OR cmf20 > 0,1710,0.619790,0.000876,0.479532,0.203948,0.001183,0.473684,0.001675,0.112281,0.252047,1.122400,1.007822
50ETF,combo,rsi14 > 70 AND zscore20 > 2,81,0.029358,-0.002147,0.506173,0.287556,-0.011293,0.691358,0.001898,0.098765,0.395062,0.987296,1.579674
50ETF,combo,roc10 > q90 OR roc5 > q90,207,0.075027,-0.003530,0.579710,0.045622,-0.006083,0.545894,0.002191,0.130435,0.362319,1.303875,1.448750
50ETF,combo,roc10 > q90 AND dist_sma50 > 1.0,119,0.043132,-0.006323,0.647059,0.018089,-0.009442,0.605042,0.002230,0.134454,0.386555,1.344051,1.545658
50ETF,single,skew_20 < -0.3,737,0.267126,-0.000803,0.470828,0.066240,-0.001678,0.491180,0.002255,0.138399,0.276798,1.383488,1.106790
50ETF,single,rsi14 < 30,88,0.031896,0.020329,0.329545,0.002198,0.027340,0.375000,0.002426,0.079545,0.147727,0.795166,0.590695
50ETF,combo,cmf20 < 0 OR skew_20 < q10,1343,0.486771,0.003692,0.445272,0.008069,0.007280,0.465376,0.002463,0.087863,0.249442,0.878312,0.997405
50ETF,combo,roc10 > q90 AND zscore20 > 2,49,0.017760,-0.006359,0.591837,0.126627,-0.015541,0.755102,0.002580,0.061224,0.469388,0.612023,1.876871
50ETF,single,roc5 < q10,142,0.051468,0.009401,0.373239,0.001905,0.013951,0.429577,0.002776,0.021127,0.119718,0.211191,0.478700
50ETF,combo,atr20 < q10 AND cmf20 < 0,93,0.033708,0.010164,0.301075,0.000414,0.013898,0.365591,0.003145,0.000000,0.118280,0.000000,0.472947
50ETF,combo,roc10 > q90 OR cmo14 > q90,267,0.096774,-0.003461,0.565543,0.010451,-0.004162,0.539326,0.003247,0.101124,0.307116,1.010870,1.228019
50ETF,combo,cmf20 < 0 AND vol10 < q10,176,0.063791,0.007346,0.397727,0.020348,0.013439,0.323864,0.003407,0.028409,0.170455,0.283988,0.681571
50ETF,combo,rsi14 > 65 OR skew_20 < q10,570,0.206597,0.002204,0.498246,0.690904,-0.002154,0.535088,0.003550,0.126316,0.317544,1.262700,1.269715
50ETF,combo,rsi14 > 65 AND skew_20 < -0.5,41,0.014860,-0.004167,0.487805,0.331611,-0.029083,0.682927,0.003679,0.390244,0.658537,3.901025,2.633192
50ETF,combo,natr14 < q10 OR cmf20 > 0,1681,0.609279,0.000606,0.480071,0.093968,0.001333,0.476502,0.003765,0.111243,0.247472,1.112030,0.989528
50ETF,single,cmo14 > q90,218,0.079014,-0.002574,0.550459,0.065722,-0.004971,0.564220,0.004115,0.096330,0.316514,0.962954,1.265596
50ETF,combo,cmo14 > q90 AND rsi14 > 65,218,0.079014,-0.002574,0.550459,0.065722,-0.004971,0.564220,0.004115,0.096330,0.316514,0.962954,1.265596
50ETF,combo,cmo14 > q90 AND close > sma20,218,0.079014,-0.002574,0.550459,0.065722,-0.004971,0.564220,0.004115,0.096330,0.316514,0.962954,1.265596
50ETF,combo,cmo14 > q90 AND dist_sma50 > 1.0,218,0.079014,-0.002574,0.550459,0.065722,-0.004971,0.564220,0.004115,0.096330,0.316514,0.962954,1.265596
50ETF,combo,roc5 > q90 AND dist_sma50 > 1.0,107,0.038782,-0.004582,0.598131,0.102562,-0.009187,0.607477,0.004571,0.102804,0.401869,1.027665,1.606894
50ETF,combo,cmo14 > q90 AND rsi14 > 70,150,0.054368,-0.003897,0.560000,0.042696,-0.006787,0.586667,0.004624,0.106667,0.353333,1.066280,1.412821
50ETF,combo,rsi14 > 70 AND cmo14 > q90,150,0.054368,-0.003897,0.560000,0.042696,-0.006787,0.586667,0.004624,0.106667,0.353333,1.066280,1.412821
50ETF,combo,roc5 > q90 OR rsi14 > 70,256,0.092787,-0.000389,0.539062,0.397767,-0.004134,0.550781,0.005975,0.117188,0.343750,1.171450,1.374502
50ETF,combo,rsi14 > 70 OR roc5 > q90,256,0.092787,-0.000389,0.539062,0.397767,-0.004134,0.550781,0.005975,0.117188,0.343750,1.171450,1.374502
50ETF,combo,cmf20 > 0 AND atr20 > q90,34,0.012323,-0.018479,0.647059,0.002582,-0.017439,0.617647,0.006016,0.147059,0.382353,1.470055,1.528858
50ETF,combo,roc10 > q90 AND close > sma20,129,0.046756,-0.006186,0.635659,0.013093,-0.007633,0.581395,0.006364,0.131783,0.372093,1.317352,1.487833
50ETF,combo,atr20 > q90 AND close > sma20,31,0.011236,-0.015188,0.612903,0.011879,-0.016334,0.645161,0.006623,0.096774,0.354839,0.967391,1.418841
50ETF,combo,roc10 > q90 AND rsi14 > 65,101,0.036607,-0.006308,0.653465,0.037412,-0.009269,0.623762,0.007314,0.128713,0.396040,1.286662,1.583584
50ETF,single,roc10 > q90,131,0.047481,-0.005816,0.625954,0.016650,-0.007316,0.580153,0.007385,0.129771,0.366412,1.297240,1.465118
50ETF,combo,roc10 > q90 AND cmo14 > q90,82,0.029721,-0.004865,0.621951,0.143308,-0.011350,0.670732,0.007405,0.134146,0.426829,1.340977,1.706698
50ETF,combo,cmo14 > q90 AND skew_20 < q10,22,0.007974,0.003848,0.318182,0.776623,-0.029408,0.590909,0.007764,0.272727,0.590909,2.726285,2.362780
50ETF,single,roc5 > q90,141,0.051105,-0.004089,0.553191,0.081108,-0.006712,0.567376,0.007835,0.113475,0.375887,1.134341,1.503001
50ETF,combo,roc5 > q90 AND rsi14 > 70,56,0.020297,-0.010785,0.607143,0.009555,-0.013832,0.678571,0.008041,0.107143,0.446429,1.071040,1.785067
50ETF,combo,rsi14 > 70 AND roc5 > q90,56,0.020297,-0.010785,0.607143,0.009555,-0.013832,0.678571,0.008041,0.107143,0.446429,1.071040,1.785067
50ETF,single,dist_sma200 > 2.0,1189,0.430953,0.002566,0.452481,0.257775,0.007019,0.430614,0.008072,0.061396,0.195963,0.613739,0.783568
50ETF,combo,vol10 < q10 OR atr20 > q90,433,0.156941,0.004334,0.436490,0.051362,0.008901,0.374134,0.008478,0.032333,0.170901,0.323208,0.683355
50ETF,combo,cmo14 > q90 OR rsi14 > 70,239,0.086626,-0.000434,0.543933,0.385246,-0.003984,0.560669,0.009251,0.104603,0.317992,1.045646,1.271506
50ETF,combo,rsi14 > 70 OR cmo14 > q90,239,0.086626,-0.000434,0.543933,0.385246,-0.003984,0.560669,0.009251,0.104603,0.317992,1.045646,1.271506
50ETF,combo,roc5 > q90 AND close > sma20,130,0.047119,-0.005142,0.576923,0.054281,-0.006831,0.576923,0.010029,0.107692,0.376923,1.076533,1.507146
50ETF,combo,atr20 > q90 OR rsi14 > 65,423,0.153316,0.000432,0.546099,0.506887,-0.002389,0.567376,0.011002,0.104019,0.314421,1.039812,1.257228
50ETF,single,kurt_20 > 1.0,1037,0.375861,0.000073,0.477338,0.111914,0.000336,0.483124,0.011354,0.117647,0.269045,1.176044,1.075791
50ETF,combo,atr20 > q90 OR cmo14 < q10,279,0.101124,0.005679,0.440860,0.087457,0.012334,0.473118,0.012042,0.050179,0.175627,0.501610,0.702254
50ETF,combo,mfi14 < 20 OR cmo14 > q90,256,0.092787,-0.000028,0.539062,0.495407,-0.003643,0.578125,0.012661,0.089844,0.304688,0.898112,1.218308
50ETF,single,rsi14 > 70,171,0.061979,-0.000743,0.549708,0.413610,-0.005184,0.578947,0.013236,0.116959,0.350877,1.169167,1.403000
50ETF,combo,rsi14 > 70 AND rsi14 > 65,171,0.061979,-0.000743,0.549708,0.413610,-0.005184,0.578947,0.013236,0.116959,0.350877,1.169167,1.403000
50ETF,combo,rsi14 > 70 AND close > sma20,171,0.061979,-0.000743,0.549708,0.413610,-0.005184,0.578947,0.013236,0.116959,0.350877,1.169167,1.403000
50ETF,combo,rsi14 > 70 AND dist_sma50 > 1.0,171,0.061979,-0.000743,0.549708,0.413610,-0.005184,0.578947,0.013236,0.116959,0.350877,1.169167,1.403000
50ETF,combo,roc5 > q90 AND rsi14 > 65,84,0.030446,-0.003817,0.583333,0.239143,-0.009698,0.654762,0.013378,0.107143,0.416667,1.071040,1.666063
50ETF,combo,atr20 > q90 OR mfi14 < 20,103,0.037332,-0.001513,0.553398,0.501872,-0.008019,0.679612,0.014642,0.067961,0.300971,0.679365,1.203447
50ETF,combo,cmo14 > q90 AND zscore20 > 2,100,0.036245,-0.001048,0.480000,0.376712,-0.006296,0.630000,0.014816,0.050000,0.340000,0.499819,1.359507
50ETF,single,bb_width > q90,58,0.021022,0.006859,0.431034,0.227161,0.017965,0.379310,0.015200,0.000000,0.206897,0.000000,0.827286
50ETF,combo,atr20 > q90 OR mfi14 > 80,170,0.061617,-0.002755,0.535294,0.142115,-0.004511,0.570588,0.018921,0.105882,0.347059,1.058440,1.387732
50ETF,combo,atr20 > q90 AND dist_sma50 > 1.0,44,0.015948,-0.009113,0.522727,0.044050,-0.009944,0.613636,0.019500,0.090909,0.272727,0.908762,1.090514
50ETF,combo,vol20 < q10 OR cmf20 > 0,1687,0.611453,0.001086,0.475993,0.367880,0.001854,0.473622,0.019747,0.112033,0.247184,1.119926,0.988379
50ETF,combo,roc10 > q90 OR rsi14 > 70,232,0.084088,-0.001623,0.573276,0.176670,-0.003247,0.543103,0.019782,0.112069,0.323276,1.120284,1.292635
50ETF,combo,cmo14 > q90 OR mfi14 > 80,259,0.093875,-0.000929,0.532819,0.251390,-0.002888,0.544402,0.019909,0.104247,0.308880,1.042093,1.235074
50ETF,combo,roc5 > q90 AND cmo14 > q90,66,0.023922,-0.007608,0.590909,0.045595,-0.010331,0.651515,0.020117,0.090909,0.409091,0.908762,1.635771
50ETF,combo,zscore20 > 2 AND rsi14 > 65,131,0.047481,-0.000905,0.503817,0.372122,-0.007041,0.648855,0.021278,0.091603,0.366412,0.915699,1.465118
50ETF,combo,roc10 > q90 AND roc5 > q90,65,0.023559,-0.009349,0.615385,0.016314,-0.009933,0.661538,0.023657,0.092308,0.400000,0.922742,1.599420
50ETF,combo,atr20 > q90 OR zscore20 > 2,255,0.092425,-0.001084,0.494118,0.182999,-0.003091,0.588235,0.024866,0.070588,0.329412,0.705627,1.317170
50ETF,combo,mfi14 < 20 OR roc5 > q90,179,0.064879,-0.000126,0.536313,0.600733,-0.004442,0.586592,0.029201,0.100559,0.346369,1.005222,1.384973
50ETF,combo,mfi14 < 20 OR roc10 > q90,169,0.061254,-0.001230,0.591716,0.389447,-0.004776,0.597633,0.029532,0.112426,0.337278,1.123853,1.348624
50ETF,combo,roc10 > q90 OR mfi14 > 80,200,0.072490,-0.002507,0.560000,0.128889,-0.003673,0.540000,0.030150,0.135000,0.355000,1.349511,1.419486
50ETF,single,williams_r14 > -20,655,0.237405,0.005863,0.451908,0.001277,0.008138,0.435115,0.030458,0.088550,0.236641,0.885175,0.946222
50ETF,single,natr14 > q90,32,0.011598,0.012998,0.312500,0.021920,0.019534,0.343750,0.030584,0.000000,0.125000,0.000000,0.499819
50ETF,single,williams_r14 < -80,505,0.183037,0.005039,0.425743,0.026196,0.008852,0.439604,0.033446,0.067327,0.215842,0.673023,0.863054
