rsi_thresh,bbl_mode,sma50,vol_high,roc10_thresh,macd_neg,baseline,placement_rate,n_placed,total_pnl,win_rate,sharpe,max_dd,filter_lift,score
999.0,0,False,True,-999.0,True,False,0.3111111111111111,14,88.48000000000957,0.07142857142857142,0.012424806880950021,-2221.16,143.1397222222227,0.8846523694969588
999.0,0,False,False,-999.0,True,False,0.5777777777777777,26,-1470.7474999999909,0.038461538461538464,-0.2034928974465571,-3780.3875000000007,80.25251068376085,0.7615981776560102
999.0,0,False,True,-999.0,False,False,0.5333333333333333,24,-3201.6399999999903,0.041666666666666664,-0.42898460569745467,-4917.680000000001,3.4180555555557532,0.6225914729916471
40.0,1,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
40.0,3,False,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
40.0,3,False,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
40.0,3,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
40.0,1,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
45.0,1,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
45.0,1,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
45.0,1,False,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
45.0,1,False,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
45.0,3,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
45.0,3,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
55.0,1,False,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
60.0,1,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
60.0,3,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
60.0,1,False,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
999.0,1,False,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
999.0,1,False,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
999.0,1,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
999.0,1,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
999.0,3,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
999.0,3,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
60.0,3,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
60.0,1,False,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
55.0,1,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
55.0,1,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
50.0,1,False,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
60.0,1,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
50.0,1,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
55.0,1,False,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
55.0,3,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
55.0,3,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
50.0,3,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
50.0,3,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
50.0,1,True,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
50.0,1,False,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
40.0,1,False,False,-999.0,False,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
40.0,3,True,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
40.0,1,False,False,-999.0,True,False,0.06666666666666667,3,-667.98,0.0,-0.7836151346022207,-667.98,-85.84027777777797,0.5659625980245282
45.0,3,False,False,-999.0,True,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
50.0,3,False,False,-999.0,False,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
50.0,3,False,False,-999.0,True,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
55.0,3,False,False,-999.0,True,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
55.0,3,False,False,-999.0,False,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
60.0,3,False,False,-999.0,False,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
45.0,3,False,False,-999.0,False,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
999.0,3,False,False,-999.0,False,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
999.0,3,False,False,-999.0,True,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
60.0,3,False,False,-999.0,True,False,0.08888888888888889,4,-855.62,0.0,-0.9364317569758849,-855.62,-77.08527777777797,0.5569592454089295
55.0,3,False,False,-3.0,False,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
50.0,3,False,False,-3.0,True,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
60.0,3,False,False,-3.0,False,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
50.0,3,False,False,-3.0,False,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
55.0,3,False,False,-3.0,True,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
45.0,3,False,False,-3.0,True,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
45.0,3,False,False,-3.0,False,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
60.0,3,False,False,-3.0,True,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
999.0,3,False,False,-3.0,True,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
999.0,3,False,False,-3.0,False,False,0.06666666666666667,3,-797.52,0.0,-0.8752877411703998,-797.52,-129.02027777777795,0.527590155521353
40.0,0,False,False,-3.0,False,False,0.2,9,-1925.4,0.0,-1.192416714764643,-1732.66,-77.11361111111131,0.5039374940065092
40.0,0,True,False,-3.0,True,False,0.2,9,-1925.4,0.0,-1.192416714764643,-1732.66,-77.11361111111131,0.5039374940065092
40.0,0,False,False,-3.0,True,False,0.2,9,-1925.4,0.0,-1.192416714764643,-1732.66,-77.11361111111131,0.5039374940065092
40.0,0,True,False,-3.0,False,False,0.2,9,-1925.4,0.0,-1.192416714764643,-1732.66,-77.11361111111131,0.5039374940065092
999.0,0,True,False,-3.0,False,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
60.0,0,True,False,-3.0,True,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
60.0,0,True,False,-3.0,False,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
999.0,0,True,False,-3.0,True,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
55.0,0,True,False,-3.0,False,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
55.0,0,True,False,-3.0,True,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
50.0,0,True,False,-3.0,True,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
50.0,0,True,False,-3.0,False,False,0.24444444444444444,11,-2157.88,0.0,-1.3222139956752297,-1965.14,-59.35118686868708,0.5015276556198337
45.0,0,True,False,-3.0,False,False,0.2222222222222222,10,-2108.96,0.0,-1.2902011253343266,-1916.22,-74.07627777777799,0.4944411727274166
45.0,0,True,False,-3.0,True,False,0.2222222222222222,10,-2108.96,0.0,-1.2902011253343266,-1916.22,-74.07627777777799,0.4944411727274166
999.0,0,False,False,-999.0,False,True,1.0,45,-6156.887499999992,0.022222222222222223,-0.8178539344265058,-7872.927500000001,0.0,0.4940700229529457
40.0,0,False,True,-3.0,False,False,0.1111111111111111,5,-1430.8600000000001,0.0,-0.9306329694853251,-1238.1200000000001,-149.352277777778,0.48609235150038277
40.0,0,False,True,-3.0,True,False,0.1111111111111111,5,-1430.8600000000001,0.0,-0.9306329694853251,-1238.1200000000001,-149.352277777778,0.48609235150038277
