entry_date,exit_date,regime,phase,strike,entry_px,exit_px,net_pnl,note,put_filled
2023-10-27,2023-11-22,reg3,2,5.25,0.009996,0.0,-101.96,expiry_settle ETF=5.6680,True
2023-11-22,2023-12-27,reg3,2,5.25,0.009588000000000001,0.0,-97.88000000000001,expiry_settle ETF=5.3720,True
2024-01-08,2024-01-24,reg3,2,4.9,0.019788,0.0,-199.88,expiry_settle ETF=5.0180,True
2024-01-24,2024-02-28,reg3,2,4.9,0.11770800000000001,0.0,-1179.0800000000002,expiry_settle ETF=5.2590,True
2024-03-05,2024-03-27,reg3,2,5.0,0.030294,0.0,-304.94,expiry_settle ETF=5.2360,True
2024-03-27,2024-04-24,reg3,2,4.9,0.029274,0.0,-294.74,expiry_settle ETF=5.3490,True
2024-07-23,2024-08-28,reg3,2,4.6,0.05253,0.03200000000000003,-207.89999999999972,expiry_settle ETF=4.5680,True
2024-10-15,2024-10-23,reg3,2,5.25,0.02397,0.0,-241.70000000000002,expiry_settle ETF=5.8690,True
2024-11-14,2024-11-27,reg3,2,5.75,0.0153,0.0,-155.0,expiry_settle ETF=5.8960,True
2024-11-27,2024-12-25,reg3,2,5.659,0.09282,0.0,-945.0512,expiry_settle ETF=5.9320,True
2025-02-28,2025-03-26,reg3,2,5.657,0.068646,0.0,-699.7865899999999,expiry_settle ETF=5.9410,True
2025-07-31,2025-08-27,reg3,2,6.0,0.035496,0.0,-356.96,expiry_settle ETF=6.9530,True
2025-09-04,2025-09-24,reg3,2,6.5,0.069258,0.0,-694.58,expiry_settle ETF=7.4320,True
2026-01-19,2026-01-28,reg3,2,8.189,0.04743,0.0,-479.85725,expiry_settle ETF=8.6910,True
2026-01-28,2026-02-25,reg3,2,8.5,0.139332,0.0,-1395.3200000000002,expiry_settle ETF=8.6020,True
2026-02-25,2026-03-25,reg3,2,8.437,0.13566,0.6109999999999998,4786.450499999997,expiry_settle ETF=7.8260,True
2026-03-25,2026-04-22,reg3,2,7.5,0.12576600000000002,0.0,-1259.66,expiry_settle ETF=8.4550,True
2026-04-23,2026-05-27,reg3,2,8.0,0.10934400000000001,0.0,-1095.44,expiry_settle ETF=8.6140,True
