etf,type,condition,n_triggered,placement_rate,mean_14d,prob_neg_14d,p_val_14d,mean_30d,prob_neg_30d,p_val_30d,prob_p10,prob_p25,lift_p10,lift_p25
500ETF,combo,skew_20 < -0.5 AND close > sma50,365,0.132294,-0.006901,0.463014,0.001157,-0.030684,0.616438,0.000000,0.219178,0.394521,2.190987,1.577510
500ETF,combo,roc10 < q10 OR mfi14 > 80,312,0.113084,0.020819,0.320513,0.000000,0.042179,0.243590,0.000000,0.032051,0.102564,0.320397,0.410108
500ETF,combo,roc10 < q10 OR rsi14 > 65,554,0.200797,0.021245,0.335740,0.000000,0.036470,0.301444,0.000000,0.064982,0.133574,0.649584,0.534102
500ETF,combo,roc10 < q10 OR cmo14 > q90,321,0.116347,0.017681,0.342679,0.000000,0.035392,0.283489,0.000000,0.040498,0.133956,0.404838,0.535631
500ETF,combo,roc10 < q10 OR rsi7 > 70,595,0.215658,0.017947,0.361345,0.000000,0.032360,0.309244,0.000000,0.062185,0.147899,0.621623,0.591382
500ETF,combo,rsi14 > 65 OR roc5 < q10,553,0.200435,0.019933,0.349005,0.000000,0.035709,0.312839,0.000000,0.070524,0.142857,0.704989,0.571222
500ETF,combo,skew_20 < -0.5 OR bb_width < q10,1176,0.426241,-0.003085,0.493197,0.000000,-0.006791,0.512755,0.000000,0.119048,0.279762,1.190045,1.118642
500ETF,combo,mfi14 > 80 OR roc5 < q10,310,0.112360,0.018340,0.345161,0.000000,0.040847,0.264516,0.000000,0.041935,0.119355,0.419203,0.477246
500ETF,combo,rsi7 > 70 OR roc5 < q10,593,0.214933,0.016642,0.374368,0.000000,0.031631,0.320405,0.000000,0.067454,0.156830,0.674292,0.627091
500ETF,combo,roc5 < q10 OR cmo14 > q90,319,0.115622,0.015253,0.366771,0.000008,0.034056,0.304075,0.000000,0.050157,0.150470,0.501386,0.601663
500ETF,combo,roc10 < q10 OR rsi14 > 70,382,0.138456,0.020823,0.337696,0.000000,0.042355,0.253927,0.000000,0.054974,0.133508,0.549539,0.533838
500ETF,combo,atr20 < q10 OR skew_20 < -0.5,1031,0.373686,-0.003709,0.484966,0.000000,-0.007228,0.517944,0.000000,0.126091,0.293889,1.260455,1.175132
