entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,Call_Leg_A_(OTM2)_contract,Call_Leg_A_(OTM2)_K,Call_Leg_A_(OTM2)_side,Call_Leg_A_(OTM2)_exec_px,Call_Leg_A_(OTM2)_premium,Call_Leg_A_(OTM2)_exercise,Call_Leg_A_(OTM2)_net,Call_Leg_A_(OTM2)_note,Call_Leg_B_(OTM3)_contract,Call_Leg_B_(OTM3)_K,Call_Leg_B_(OTM3)_side,Call_Leg_B_(OTM3)_exec_px,Call_Leg_B_(OTM3)_premium,Call_Leg_B_(OTM3)_exercise,Call_Leg_B_(OTM3)_net,Call_Leg_B_(OTM3)_note
2015-02-09,2015-03-25,2.331,0.3112,1.0,37.32,3.7466,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-03-26,2015-04-22,2.643,0.2664,0.5969,63.78,3.893,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-04-23,2015-05-27,3.212,0.4737,0.9421,75.5,4.7398,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-05-28,2015-06-24,3.079,0.4454,0.8234,48.56,4.748,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-06-25,2015-07-22,2.919,0.5543,0.807,38.91,4.9537,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-07-23,2015-08-26,2.794,0.239,0.0704,47.35,4.1632,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-08-27,2015-09-23,2.11,0.4509,0.453,35.35,4.0487,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-09-24,2015-10-28,2.187,0.3043,0.2147,43.93,3.3066,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-10-29,2015-11-25,2.311,0.2418,0.1055,53.5,3.4597,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-11-26,2015-12-23,2.447,0.2195,0.0667,56.73,3.6882,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-12-24,2016-01-27,2.478,0.231,0.0867,58.23,3.606,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-01-28,2016-02-24,1.915,0.3321,0.2633,25.39,3.399,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-02-25,2016-03-23,1.936,0.2684,0.152,37.24,2.9732,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-03-24,2016-04-27,2.14,0.2843,0.1798,56.31,3.189,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-04-28,2016-05-25,2.142,0.1855,0.0073,49.99,3.1225,True,True,2+3,,1,343.0,339.0,10000604,2.2,sell,0.0229,229.32,0.0,227.32,expires_worthless,10000605,2.25,sell,0.0114,113.68,0.0,111.68,expires_worthless
2016-05-26,2016-06-22,2.074,0.1112,0.0,39.45,3.0897,True,True,2+3,,1,105.84,101.84,10000459,2.15,sell,0.0076,76.44,0.0,74.44,expires_worthless,10000449,2.2,sell,0.0029,29.4,0.0,27.4,expires_worthless
2016-06-23,2016-07-27,2.116,0.1475,0.0565,50.9,3.1031,True,True,2+3,,1,217.56,63.56,10000641,2.2,sell,0.0146,146.02,-150.0,-5.98,assigned  ETF=2.2150 K=2.2000,10000643,2.25,sell,0.0072,71.54,0.0,69.54,expires_worthless
2016-07-28,2016-08-24,2.211,0.1343,0.0407,57.43,3.2272,True,True,2+3,,1,132.3,128.3,10000659,2.3,sell,0.0088,88.2,0.0,86.2,expires_worthless,10000665,2.35,sell,0.0044,44.1,0.0,42.1,expires_worthless
2016-08-25,2016-09-28,2.269,0.155,0.0972,56.39,3.3562,True,True,2+3,,1,300.86,296.86,10000667,2.35,sell,0.0196,196.0,0.0,194.0,expires_worthless,10000687,2.4,sell,0.0105,104.86,0.0,102.86,expires_worthless
2016-09-29,2016-10-26,2.23,0.1161,0.0655,43.67,3.297,True,True,2+3,,1,113.68,-0.32,10000701,2.3,sell,0.008,80.36,-110.0,-31.64,assigned  ETF=2.3110 K=2.3000,10000702,2.35,sell,0.0033,33.32,0.0,31.32,expires_worthless
2016-10-27,2016-11-23,2.305,0.1137,0.0772,60.93,3.3349,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
