order_book_id,sell_price,option_type,entry_date,expiry_date,otm_level,strike,mult,etf_entry,etf_settle,mid_price,intrinsic,net_rmb,note
10002118,0.2818,Short Call,2019-12-23,2020-01-22,-2,3.7,10000.0,3.964,4.119,0.2846,0.419,-1374.46,assigned ETF=4.1190 K=3.7000
10002119,0.1878,Short Call,2019-12-23,2020-01-22,-1,3.8,10000.0,3.964,4.119,0.1897,0.319,-1313.97,assigned ETF=4.1190 K=3.8000
10002120,0.1078,Short Call,2019-12-23,2020-01-22,0,3.9,10000.0,3.964,4.119,0.1089,0.219,-1113.89,assigned ETF=4.1190 K=3.9000
10002121,0.052,Short Call,2019-12-23,2020-01-22,1,4.0,10000.0,3.964,4.119,0.0525,0.119,-672.25,assigned ETF=4.1190 K=4.0000
10002122,0.0229,Short Call,2019-12-23,2020-01-22,2,4.1,10000.0,3.964,4.119,0.0231,0.019,36.69,assigned ETF=4.1190 K=4.1000
10002123,0.0088,Short Call,2019-12-23,2020-01-22,3,4.2,10000.0,3.964,4.119,0.0089,0.0,86.11,expires_worthless
10002124,0.0033,Short Call,2019-12-23,2020-01-22,4,4.3,10000.0,3.964,4.119,0.0033,0.0,30.67,expires_worthless
10002125,0.0016,Short Call,2019-12-23,2020-01-22,5,4.4,10000.0,3.964,4.119,0.0016,0.0,13.84,expires_worthless
10002136,0.3084,Short Call,2020-01-23,2020-02-26,-2,3.7,10000.0,3.996,4.07,0.3115,0.37,-618.15,assigned ETF=4.0700 K=3.7000
10002137,0.2193,Short Call,2020-01-23,2020-02-26,-1,3.8,10000.0,3.996,4.07,0.2215,0.27,-509.15,assigned ETF=4.0700 K=3.8000
10002138,0.1425,Short Call,2020-01-23,2020-02-26,0,3.9,10000.0,3.996,4.07,0.1439,0.17,-277.39,assigned ETF=4.0700 K=3.9000
10002139,0.0847,Short Call,2020-01-23,2020-02-26,1,4.0,10000.0,3.996,4.07,0.0856,0.07,145.44,assigned ETF=4.0700 K=4.0000
10002140,0.0468,Short Call,2020-01-23,2020-02-26,2,4.1,10000.0,3.996,4.07,0.0473,0.0,466.27,expires_worthless
10002141,0.0257,Short Call,2020-01-23,2020-02-26,3,4.2,10000.0,3.996,4.07,0.026,0.0,255.4,expires_worthless
10002142,0.0144,Short Call,2020-01-23,2020-02-26,4,4.3,10000.0,3.996,4.07,0.0145,0.0,141.55,expires_worthless
10002143,0.0085,Short Call,2020-01-23,2020-02-26,5,4.4,10000.0,3.996,4.07,0.0086,0.0,83.14,expires_worthless
10002155,0.2875,Short Call,2020-02-27,2020-03-25,-2,3.8,10000.0,4.071,3.706,0.2904,0.0,2872.96,expires_worthless
10002156,0.2005,Short Call,2020-02-27,2020-03-25,-1,3.9,10000.0,4.071,3.706,0.2025,0.0,2002.75,expires_worthless
10002157,0.1321,Short Call,2020-02-27,2020-03-25,0,4.0,10000.0,4.071,3.706,0.1334,0.0,1318.66,expires_worthless
10002158,0.0777,Short Call,2020-02-27,2020-03-25,1,4.1,10000.0,4.071,3.706,0.0785,0.0,775.15,expires_worthless
10002159,0.0403,Short Call,2020-02-27,2020-03-25,2,4.2,10000.0,4.071,3.706,0.0407,0.0,400.93,expires_worthless
10002160,0.0193,Short Call,2020-02-27,2020-03-25,3,4.3,10000.0,4.071,3.706,0.0195,0.0,191.05,expires_worthless
10002161,0.0088,Short Call,2020-02-27,2020-03-25,4,4.4,10000.0,4.071,3.706,0.0089,0.0,86.11,expires_worthless
10002219,0.0047,Short Call,2020-02-27,2020-03-25,5,4.5,10000.0,4.071,3.706,0.0047,0.0,44.53,expires_worthless
10002390,0.2971,Short Call,2020-03-26,2020-04-22,-2,3.4,10000.0,3.683,3.829,0.3001,0.429,-1321.01,assigned ETF=3.8290 K=3.4000
10002373,0.2252,Short Call,2020-03-26,2020-04-22,-1,3.5,10000.0,3.683,3.829,0.2275,0.329,-1039.75,assigned ETF=3.8290 K=3.5000
10002374,0.1633,Short Call,2020-03-26,2020-04-22,0,3.6,10000.0,3.683,3.829,0.165,0.229,-658.5,assigned ETF=3.8290 K=3.6000
10002351,0.1122,Short Call,2020-03-26,2020-04-22,1,3.7,10000.0,3.683,3.829,0.1133,0.129,-170.33,assigned ETF=3.8290 K=3.7000
10002352,0.0724,Short Call,2020-03-26,2020-04-22,2,3.8,10000.0,3.683,3.829,0.0731,0.029,431.69,assigned ETF=3.8290 K=3.8000
10002353,0.0456,Short Call,2020-03-26,2020-04-22,3,3.9,10000.0,3.683,3.829,0.0461,0.0,454.39,expires_worthless
10002354,0.0278,Short Call,2020-03-26,2020-04-22,4,4.0,10000.0,3.683,3.829,0.0281,0.0,276.19,expires_worthless
10002355,0.0166,Short Call,2020-03-26,2020-04-22,5,4.1,10000.0,3.683,3.829,0.0168,0.0,164.32,expires_worthless
10002454,0.2045,Short Call,2020-04-23,2020-05-27,-2,3.6,10000.0,3.822,3.845,0.2066,0.245,-406.66,assigned ETF=3.8450 K=3.6000
10002455,0.1308,Short Call,2020-04-23,2020-05-27,-1,3.7,10000.0,3.822,3.845,0.1321,0.145,-144.21,assigned ETF=3.8450 K=3.7000
10002456,0.0765,Short Call,2020-04-23,2020-05-27,0,3.8,10000.0,3.822,3.845,0.0773,0.045,313.27,assigned ETF=3.8450 K=3.8000
10002457,0.0385,Short Call,2020-04-23,2020-05-27,1,3.9,10000.0,3.822,3.845,0.0389,0.0,383.11,expires_worthless
10002458,0.0181,Short Call,2020-04-23,2020-05-27,2,4.0,10000.0,3.822,3.845,0.0183,0.0,179.17,expires_worthless
10002459,0.0078,Short Call,2020-04-23,2020-05-27,3,4.1,10000.0,3.822,3.845,0.0079,0.0,76.21,expires_worthless
10002473,0.0039,Short Call,2020-04-23,2020-05-27,4,4.2,10000.0,3.822,3.845,0.0039,0.0,36.61,expires_worthless
10002171,0.2401,Short Call,2020-05-28,2020-06-24,-2,3.6,10000.0,3.85,4.164,0.2425,0.564,-3241.25,assigned ETF=4.1640 K=3.6000
10002172,0.1564,Short Call,2020-05-28,2020-06-24,-1,3.7,10000.0,3.85,4.164,0.158,0.464,-3077.8,assigned ETF=4.1640 K=3.7000
10002173,0.0891,Short Call,2020-05-28,2020-06-24,0,3.8,10000.0,3.85,4.164,0.09,0.364,-2751.0,assigned ETF=4.1640 K=3.8000
10002174,0.042,Short Call,2020-05-28,2020-06-24,1,3.9,10000.0,3.85,4.164,0.0424,0.264,-2222.24,assigned ETF=4.1640 K=3.9000
10002175,0.0169,Short Call,2020-05-28,2020-06-24,2,4.0,10000.0,3.85,4.164,0.0171,0.164,-1472.71,assigned ETF=4.1640 K=4.0000
10002176,0.0059,Short Call,2020-05-28,2020-06-24,3,4.1,10000.0,3.85,4.164,0.006,0.064,-582.6,assigned ETF=4.1640 K=4.1000
10002177,0.0028,Short Call,2020-05-28,2020-06-24,4,4.2,10000.0,3.85,4.164,0.0028,0.0,25.72,expires_worthless
10002178,0.0015,Short Call,2020-05-28,2020-06-24,5,4.3,10000.0,3.85,4.164,0.0015,0.0,12.85,expires_worthless
10002550,0.2222,Short Call,2020-06-29,2020-07-22,-2,3.9,10000.0,4.128,4.792,0.2244,0.892,-6700.44,assigned ETF=4.7920 K=3.9000
10002551,0.1411,Short Call,2020-06-29,2020-07-22,-1,4.0,10000.0,4.128,4.792,0.1425,0.792,-6511.25,assigned ETF=4.7920 K=4.0000
10002552,0.0779,Short Call,2020-06-29,2020-07-22,0,4.1,10000.0,4.128,4.792,0.0787,0.692,-6142.87,assigned ETF=4.7920 K=4.1000
10002553,0.0366,Short Call,2020-06-29,2020-07-22,1,4.2,10000.0,4.128,4.792,0.037,0.592,-5555.7,assigned ETF=4.7920 K=4.2000
10002563,0.0149,Short Call,2020-06-29,2020-07-22,2,4.3,10000.0,4.128,4.792,0.0151,0.492,-4772.51,assigned ETF=4.7920 K=4.3000
10002567,0.0064,Short Call,2020-06-29,2020-07-22,3,4.4,10000.0,4.128,4.792,0.0065,0.392,-3857.65,assigned ETF=4.7920 K=4.4000
10002573,0.0022,Short Call,2020-06-29,2020-07-22,4,4.5,10000.0,4.128,4.792,0.0022,0.292,-2900.22,assigned ETF=4.7920 K=4.5000
10002581,0.0011,Short Call,2020-06-29,2020-07-22,5,4.6,10000.0,4.128,4.792,0.0011,0.192,-1911.11,assigned ETF=4.7920 K=4.6000
10002610,0.3057,Short Call,2020-07-23,2020-08-26,-2,4.5,10000.0,4.766,4.763,0.3088,0.263,425.12,assigned ETF=4.7630 K=4.5000
10002611,0.2348,Short Call,2020-07-23,2020-08-26,-1,4.6,10000.0,4.766,4.763,0.2372,0.163,716.28,assigned ETF=4.7630 K=4.6000
10002631,0.1767,Short Call,2020-07-23,2020-08-26,0,4.7,10000.0,4.766,4.763,0.1785,0.063,1135.15,assigned ETF=4.7630 K=4.7000
10002647,0.1285,Short Call,2020-07-23,2020-08-26,1,4.8,10000.0,4.766,4.763,0.1298,0.0,1283.02,expires_worthless
10002663,0.0923,Short Call,2020-07-23,2020-08-26,2,4.9,10000.0,4.766,4.763,0.0932,0.0,920.68,expires_worthless
10002699,0.0656,Short Call,2020-07-23,2020-08-26,3,5.0,10000.0,4.766,4.763,0.0663,0.0,654.37,expires_worthless
10002700,0.0273,Short Call,2020-07-23,2020-08-26,4,5.25,10000.0,4.766,4.763,0.0276,0.0,271.24,expires_worthless
10002701,0.0135,Short Call,2020-07-23,2020-08-26,5,5.5,10000.0,4.766,4.763,0.0136,0.0,132.64,expires_worthless
10002257,0.3099,Short Call,2020-08-27,2020-09-23,-2,4.5,10000.0,4.799,4.713,0.313,0.213,966.7,assigned ETF=4.7130 K=4.5000
10002383,0.2317,Short Call,2020-08-27,2020-09-23,-1,4.6,10000.0,4.799,4.713,0.234,0.113,1184.6,assigned ETF=4.7130 K=4.6000
10002633,0.1694,Short Call,2020-08-27,2020-09-23,0,4.7,10000.0,4.799,4.713,0.1711,0.013,1561.89,assigned ETF=4.7130 K=4.7000
10002649,0.1174,Short Call,2020-08-27,2020-09-23,1,4.8,10000.0,4.799,4.713,0.1186,0.0,1172.14,expires_worthless
10002665,0.0792,Short Call,2020-08-27,2020-09-23,2,4.9,10000.0,4.799,4.713,0.08,0.0,790.0,expires_worthless
10002705,0.0539,Short Call,2020-08-27,2020-09-23,3,5.0,10000.0,4.799,4.713,0.0544,0.0,536.56,expires_worthless
10002706,0.0192,Short Call,2020-08-27,2020-09-23,4,5.25,10000.0,4.799,4.713,0.0194,0.0,190.06,expires_worthless
10002707,0.0074,Short Call,2020-08-27,2020-09-23,5,5.5,10000.0,4.799,4.713,0.0075,0.0,72.25,expires_worthless
10002789,0.2634,Short Call,2020-09-24,2020-10-28,-2,4.4,10000.0,4.636,4.804,0.2661,0.404,-1407.61,assigned ETF=4.8040 K=4.4000
10002790,0.1952,Short Call,2020-09-24,2020-10-28,-1,4.5,10000.0,4.636,4.804,0.1972,0.304,-1089.72,assigned ETF=4.8040 K=4.5000
