entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,Put_Buy____(Level_1)_contract,Put_Buy____(Level_1)_K,Put_Buy____(Level_1)_side,Put_Buy____(Level_1)_exec_px,Put_Buy____(Level_1)_premium,Put_Buy____(Level_1)_exercise,Put_Buy____(Level_1)_net,Put_Buy____(Level_1)_note
2019-12-23,2020-01-22,3.964,0.1454,0.0,54.97,1.7022,False,False,,,1,0.0,0.0,,,,,,,,
2020-01-23,2020-02-26,3.996,0.1725,0.3812,40.02,1.7775,False,False,,,1,0.0,0.0,,,,,,,,
2020-02-27,2020-03-25,4.071,0.2019,0.6625,53.62,1.777,False,False,,,1,0.0,0.0,,,,,,,,
2020-03-26,2020-04-22,3.683,0.2957,0.5837,40.7,1.8013,False,False,,,1,0.0,0.0,,,,,,,,
2020-04-23,2020-05-27,3.822,0.133,0.002,53.0,1.6242,False,False,,,1,0.0,0.0,,,,,,,,
2020-05-28,2020-06-24,3.85,0.1476,0.054,47.64,1.6742,False,False,,,1,0.0,0.0,,,,,,,,
2020-06-29,2020-07-22,4.128,0.1473,0.136,66.01,1.7507,False,False,,,1,0.0,0.0,,,,,,,,
2020-07-23,2020-08-26,4.766,0.2441,0.4518,63.85,2.1504,False,False,,,1,0.0,0.0,,,,,,,,
2020-08-27,2020-09-23,4.799,0.2203,0.3741,54.92,2.0514,False,False,,,1,0.0,0.0,,,,,,,,
2020-09-24,2020-10-28,4.636,0.2009,0.3108,42.05,2.0774,False,False,,,1,0.0,0.0,,,,,,,,
2020-10-29,2020-11-25,4.848,0.1848,0.2584,56.24,2.0859,False,False,,,1,0.0,0.0,,,,,,,,
2020-11-26,2020-12-23,4.985,0.1694,0.208,55.52,2.1488,False,False,,,1,0.0,0.0,,,,,,,,
2020-12-24,2021-01-27,5.074,0.1564,0.1658,54.51,2.1694,False,False,,,1,0.0,0.0,,,,,,,,
2021-01-28,2021-02-24,5.385,0.2156,0.3588,50.56,2.4154,False,False,,,1,0.0,0.0,,,,,,,,
2021-02-25,2021-03-24,5.478,0.2058,0.3268,48.41,2.4717,False,False,,,1,0.0,0.0,,,,,,,,
2021-03-25,2021-04-28,4.929,0.1872,0.2663,36.02,2.3202,True,True,,1,1,-1071.0,-1073.0,10003291,4.9,buy,0.1071,-1071.0,0.0,-1073.0,expires_worthless
2021-04-29,2021-05-26,5.173,0.171,0.2624,56.96,2.2181,False,False,,,1,0.0,0.0,,,,,,,,
2021-05-27,2021-06-23,5.347,0.2203,0.4599,66.62,2.2761,False,False,,,1,0.0,0.0,,,,,,,,
2021-06-24,2021-07-28,5.189,0.1664,0.2165,49.69,2.2969,False,False,,,1,0.0,0.0,,,,,,,,
2021-07-29,2021-08-25,4.906,0.1562,0.1784,36.17,2.2761,True,True,,1,1,-1051.62,-1053.62,10003490,4.9,buy,0.1052,-1051.62,0.0,-1053.62,expires_worthless
2021-08-26,2021-09-22,4.886,0.1393,0.2218,41.9,2.1782,True,True,,1,1,-728.28,-730.28,10003232,4.8,buy,0.0728,-728.28,0.0,-730.28,expires_worthless
2021-09-23,2021-10-27,4.924,0.1751,0.4424,45.58,2.1686,False,False,,,1,0.0,0.0,,,,,,,,
2021-10-28,2021-11-24,4.949,0.1706,0.4161,45.94,2.1503,False,False,,,1,0.0,0.0,,,,,,,,
2021-11-25,2021-12-22,4.978,0.1363,0.2134,52.31,2.1326,False,False,,,1,0.0,0.0,,,,,,,,
2021-12-23,2022-01-26,5.02,0.1452,0.2658,50.63,2.2057,False,False,,,1,0.0,0.0,,,,,,,,
2022-01-27,2022-02-23,4.625,0.1935,0.6414,32.87,2.14,True,True,,1,1,-798.66,-800.66,10003924,4.6,buy,0.0799,-798.66,0.0,-800.66,expires_worthless
2022-02-24,2022-03-23,4.53,0.1613,0.4202,37.21,2.0579,True,True,,1,1,-827.69,1769.64,10003560,4.529,buy,0.0815,-827.69,2599.94,1769.64,exercised ETF=4.2730 K=4.5290
