config,mapping,w_min_max,z_th_prod,trades,cost_sharpe,raw_sharpe,total_pnl,max_dd,win_rate,turnover
Linear (0.5 ~ 1.5) [Default],linear,0.5~1.5,1.2,26,0.697,0.81,0.043,0.0063,69.2%,2.5x
Linear (0.2 ~ 1.8) [Moderate Tilt],linear,0.2~1.8,1.2,31,0.722,0.856,0.046,0.0066,64.5%,3.1x
Linear (0.0 ~ 2.0) [Max Tilt],linear,0.0~2.0,1.2,33,0.723,0.872,0.0472,0.0073,60.6%,3.5x
Linear (1.0 ~ 1.0) [Equal Weight Baseline],linear,1.0~1.0,1.1,24,0.678,0.79,0.0432,0.0065,70.8%,2.5x
Power p=2.0 (0.2 ~ 1.8),power,0.2~1.8,1.2,37,0.715,0.88,0.0497,0.0088,59.5%,4.1x
Power p=3.0 (0.1 ~ 1.9),power,0.1~1.9,0.4,221,0.464,1.151,0.0593,0.0339,50.2%,28.8x
Softmax tau=1.0,softmax,0.5~1.5,1.2,25,0.693,0.804,0.0429,0.0063,68.0%,2.5x
Softmax tau=2.0,softmax,0.5~1.5,1.2,32,0.718,0.863,0.0477,0.0072,59.4%,3.5x
Top-7 Truncated Linear,top_k,0.5~1.5,1.1,42,0.74,0.922,0.0535,0.0097,59.5%,4.6x
Top-5 Truncated Linear,top_k,0.5~1.5,0.9,95,0.6,1.012,0.0627,0.022,51.6%,14.4x
