date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,300ETF,Spot ETF,score,-0.8175,1.5,-1.0,1,0.003412,-0.003412,0.0008,-0.004212,-0.004212
2022-01-05,300ETF,Spot ETF,score,-0.6445,1.5,0.0,0,-0.004237,-0.0,0.0008,-0.0008,-0.005012
2022-01-06,300ETF,Spot ETF,score,-0.3242,1.5,0.0,0,-0.004901,-0.0,0.0,-0.0,-0.005012
2022-01-07,300ETF,Spot ETF,score,1.0911,1.5,0.0,0,-0.003257,-0.0,0.0,-0.0,-0.005012
2022-01-10,300ETF,Spot ETF,score,-0.2123,1.5,0.0,0,0.003877,0.0,0.0,0.0,-0.005012
2022-01-11,300ETF,Spot ETF,score,-0.356,1.5,0.0,0,-0.005926,-0.0,0.0,-0.0,-0.005012
2022-01-12,300ETF,Spot ETF,score,-0.0792,1.5,0.0,0,0.005708,0.0,0.0,0.0,-0.005012
2022-01-13,300ETF,Spot ETF,score,-0.6956,1.5,0.0,0,-0.0123,-0.0,0.0,-0.0,-0.005012
2022-01-14,300ETF,Spot ETF,score,-0.8428,1.5,-1.0,1,-0.000831,0.000831,0.0008,3.1e-05,-0.004981
2022-01-17,300ETF,Spot ETF,score,0.9907,1.5,0.0,0,0.002898,0.0,0.0008,-0.0008,-0.005781
2022-01-18,300ETF,Spot ETF,score,0.5542,1.5,0.0,0,0.004518,0.0,0.0,0.0,-0.005781
2022-01-19,300ETF,Spot ETF,score,-0.0685,1.5,0.0,0,-0.004805,-0.0,0.0,-0.0,-0.005781
2022-01-20,300ETF,Spot ETF,score,1.3513,1.5,0.0,0,0.002076,0.0,0.0,0.0,-0.005781
2022-01-21,300ETF,Spot ETF,score,-0.9535,1.5,-1.0,1,-0.005218,0.005218,0.0008,0.004418,-0.001363
2022-01-24,300ETF,Spot ETF,score,0.0379,1.5,0.0,0,0.003353,0.0,0.0008,-0.0008,-0.002163
2022-01-25,300ETF,Spot ETF,score,-0.1997,1.5,0.0,0,-0.013315,-0.0,0.0,-0.0,-0.002163
2022-01-26,300ETF,Spot ETF,score,0.8499,1.5,0.0,0,0.001703,0.0,0.0,0.0,-0.002163
2022-01-27,300ETF,Spot ETF,score,-0.6861,1.5,0.0,0,-0.013109,-0.0,0.0,-0.0,-0.002163
2022-01-28,300ETF,Spot ETF,score,0.3169,1.5,0.0,0,-0.004789,-0.0,0.0,-0.0,-0.002163
2022-02-07,300ETF,Spot ETF,score,1.5563,1.5,1.0,1,-0.002379,-0.002379,0.0008,-0.003179,-0.005342
2022-02-08,300ETF,Spot ETF,score,-1.0371,1.5,-1.0,1,-0.000218,0.000218,0.0016,-0.001382,-0.006724
2022-02-09,300ETF,Spot ETF,score,0.1278,1.5,0.0,0,0.011906,0.0,0.0008,-0.0008,-0.007524
2022-02-10,300ETF,Spot ETF,score,-0.9949,1.5,-1.0,1,0.000432,-0.000432,0.0008,-0.001232,-0.008756
2022-02-11,300ETF,Spot ETF,score,0.6439,1.5,0.0,0,-0.010159,-0.0,0.0008,-0.0008,-0.009556
2022-02-14,300ETF,Spot ETF,score,-0.3763,1.5,0.0,0,-0.011178,-0.0,0.0,-0.0,-0.009556
2022-02-15,300ETF,Spot ETF,score,0.5793,1.5,0.0,0,0.001531,0.0,0.0,0.0,-0.009556
2022-02-16,300ETF,Spot ETF,score,0.0199,1.5,0.0,0,-0.003467,-0.0,0.0,-0.0,-0.009556
2022-02-17,300ETF,Spot ETF,score,-0.3434,1.5,0.0,0,-0.000433,-0.0,0.0,-0.0,-0.009556
