config,mapping,w_min_max,z_th_prod,trades,cost_sharpe,raw_sharpe,total_pnl,max_dd,win_rate,turnover
Linear (0.5 ~ 1.5) [Default],linear,0.5~1.5,0.5,269,1.057,1.49,0.23,0.0382,49.4%,31.1x
Linear (0.2 ~ 1.8) [Moderate Tilt],linear,0.2~1.8,0.5,275,1.052,1.493,0.2279,0.0384,48.7%,31.5x
Linear (0.0 ~ 2.0) [Max Tilt],linear,0.0~2.0,0.5,278,1.048,1.494,0.2265,0.0385,49.6%,31.8x
Linear (1.0 ~ 1.0) [Equal Weight Baseline],linear,1.0~1.0,0.4,311,1.034,1.5,0.2455,0.0453,47.9%,36.5x
Power p=2.0 (0.2 ~ 1.8),power,0.2~1.8,0.5,278,1.039,1.501,0.2281,0.0408,48.9%,33.4x
Power p=3.0 (0.1 ~ 1.9),power,0.1~1.9,0.5,286,1.026,1.506,0.2298,0.0432,48.6%,35.4x
Softmax tau=1.0,softmax,0.5~1.5,0.5,269,1.057,1.491,0.2311,0.0385,49.1%,31.3x
Softmax tau=2.0,softmax,0.5~1.5,0.5,278,1.047,1.498,0.2296,0.0398,48.9%,32.6x
Top-7 Truncated Linear,top_k,0.5~1.5,0.7,210,1.049,1.417,0.1862,0.0281,52.9%,21.7x
Top-5 Truncated Linear,top_k,0.5~1.5,0.5,299,1.015,1.514,0.2257,0.0436,48.2%,36.5x
