feature_1,feature_2,corr,abs_corr
combo_rank_min__net_volume_flow__star50_limit_proximity_early,combo_mean__star50_limit_proximity_early__close_vs_open_range,0.8314,0.8314
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_rank_min__max_up_ret__close_vs_open_range,0.8213,0.8213
combo_rank_min__close_vs_open_range__bar_ret_0,combo_rank_min__max_up_ret__close_vs_open_range,0.8202,0.8202
combo_rank_max__first_bar_sentiment__max_down_ret,combo_mean__bar_ret_0__max_down_ret,0.8193,0.8193
combo_rel_diff__max_up_ret__late_bar_momentum,combo_clamp_diff__max_up_ret__volume_weighted_momentum_acceleration,0.8191,0.8191
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_rank_min__close_vs_open_range__bar_ret_0,0.8186,0.8186
combo_min__star50_limit_proximity_early__max_down_ret,combo_tri_min__net_volume_flow__star50_limit_proximity_early__close_vs_open_range,0.8121,0.8121
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.8103,0.8103
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.8097,0.8097
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_rank_min__close_vs_open_range__bar_ret_0,0.8093,0.8093
combo_min__star50_limit_proximity_early__bar_ret_0,combo_mean__bar_ret_0__max_down_ret,0.8065,0.8065
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_rank_max__max_up_ret__early_body_momentum,0.8053,0.8053
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_mean__star50_limit_proximity_early__close_vs_open_range,0.8,0.8
combo_rank_min__close_vs_open_range__bar_ret_0,combo_mean__bar_ret_0__max_down_ret,0.7999,0.7999
combo_rank_min__bar_ret_0__rbreaker_buy_setup_proximity_early,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.7988,0.7988
combo_sig_product__max_up_ret__close_vs_open_range,combo_rank_min__max_up_ret__close_vs_open_range,0.7947,0.7947
combo_rank_min__rbreaker_sell_setup_proximity_early__bar_ret_0,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.7936,0.7936
combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,combo_min__star50_limit_proximity_early__bar_ret_0,0.7895,0.7895
combo_mean__star50_limit_proximity_early__close_vs_open_range,rbreaker_sell_setup_proximity_early,0.7857,0.7857
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_rank_max__max_up_ret__early_body_momentum,0.7825,0.7825
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_mean__bar_ret_0__max_down_ret,0.7814,0.7814
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_rank_min__rbreaker_sell_setup_proximity_early__bar_ret_0,0.7761,0.7761
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_rank_min__bar_ret_0__rbreaker_buy_setup_proximity_early,0.773,0.773
combo_rank_min__max_up_ret__close_vs_open_range,combo_rank_max__rbreaker_sell_setup_proximity_early__max_up_ret,0.7717,0.7717
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_max__star50_limit_proximity_early__bar_ret_0,0.771,0.771
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_sig_product__max_up_ret__close_vs_open_range,0.7704,0.7704
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,rbreaker_sell_setup_proximity_early,0.7699,0.7699
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_rank_max__first_bar_sentiment__max_down_ret,0.7694,0.7694
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,0.7688,0.7688
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_tri_min__net_volume_flow__star50_limit_proximity_early__close_vs_open_range,0.7678,0.7678
combo_rel_diff__star50_limit_proximity_early__volume_weighted_momentum_acceleration,combo_clamp_diff__max_up_ret__volume_weighted_momentum_acceleration,0.7646,0.7646
combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,combo_rank_min__bar_ret_0__rbreaker_buy_setup_proximity_early,0.7642,0.7642
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_sig_product__rbreaker_sell_setup_proximity_early__max_up_ret,0.7637,0.7637
rbreaker_sell_setup_proximity_early,combo_sig_product__rbreaker_sell_setup_proximity_early__max_up_ret,0.7614,0.7614
combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,combo_clamp_diff__first_bar_return__demark_setup_reversal_early,0.7595,0.7595
combo_min__star50_limit_proximity_early__max_down_ret,combo_mean__star50_limit_proximity_early__close_vs_open_range,0.759,0.759
combo_rank_max__rbreaker_sell_setup_proximity_early__max_up_ret,combo_max__star50_limit_proximity_early__bar_ret_0,0.7589,0.7589
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_clamp_diff__first_bar_return__demark_setup_reversal_early,0.7564,0.7564
combo_clamp_diff__max_up_ret__volume_weighted_momentum_acceleration,combo_diff__star50_limit_proximity_early__volume_weighted_momentum_acceleration,0.7543,0.7543
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.753,0.753
combo_rank_max__max_up_ret__early_body_momentum,combo_rank_max__rbreaker_sell_setup_proximity_early__max_up_ret,0.7515,0.7515
combo_sig_product__max_up_ret__close_vs_open_range,combo_rank_max__max_up_ret__early_body_momentum,0.7503,0.7503
combo_rank_min__rbreaker_sell_setup_proximity_early__bar_ret_0,combo_mean__bar_ret_0__max_down_ret,0.7497,0.7497
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_rank_max__rbreaker_sell_setup_proximity_early__max_up_ret,0.7491,0.7491
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_rank_max__rbreaker_sell_setup_proximity_early__max_up_ret,0.7472,0.7472
combo_min__star50_limit_proximity_early__max_down_ret,combo_rank_min__bar_ret_0__rbreaker_buy_setup_proximity_early,0.7469,0.7469
combo_min__star50_limit_proximity_early__max_down_ret,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.7453,0.7453
combo_rank_max__first_bar_sentiment__max_down_ret,combo_rank_min__close_vs_open_range__bar_ret_0,0.7452,0.7452
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_tri_min__net_volume_flow__star50_limit_proximity_early__close_vs_open_range,0.7428,0.7428
combo_rank_max__first_bar_sentiment__max_down_ret,combo_clamp_diff__first_bar_return__demark_setup_reversal_early,0.737,0.737
combo_min__star50_limit_proximity_early__bar_ret_0,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.7366,0.7366
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_max__star50_limit_proximity_early__bar_ret_0,0.7362,0.7362
combo_min__star50_limit_proximity_early__max_down_ret,combo_mean__bar_ret_0__max_down_ret,0.7345,0.7345
combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.7332,0.7332
combo_rank_min__rbreaker_sell_setup_proximity_early__bar_ret_0,combo_rank_min__close_vs_open_range__bar_ret_0,0.7316,0.7316
combo_rank_min__bar_ret_0__rbreaker_buy_setup_proximity_early,combo_mean__bar_ret_0__max_down_ret,0.7301,0.7301
combo_mean__bar_ret_0__max_down_ret,combo_max__star50_limit_proximity_early__bar_ret_0,0.7296,0.7296
