date,etf,period,position,z_composite,trade_return_target,r_1125,r_1305,r_1330,r_1435,pnl_at_1125,pnl_at_1305,pnl_at_1330,lunch_move,hold_benefit_1125,hold_benefit_1305,hold_benefit_1330,morning_vol,first30_vol,best_exit,gain_vs_1435,stop_hit,stop_minute
2010-04-06,300ETF,IS,0.0,0.0,-0.010645855109210048,,,,,,,,,,,,,,,,,
2010-04-07,300ETF,IS,0.0,0.0,-0.0018570986249791925,,,,,,,,,,,,,,,,,
2010-04-08,300ETF,IS,0.0,0.0,-0.008713652113188761,,,,,,,,,,,,,,,,,
2010-04-09,300ETF,IS,0.0,0.0,0.002777137601630668,,,,,,,,,,,,,,,,,
2010-04-12,300ETF,IS,0.0,0.0,-0.012022087001036633,,,,,,,,,,,,,,,,,
2010-04-13,300ETF,IS,0.0,0.0,0.0016105935272044286,,,,,,,,,,,,,,,,,
2010-04-14,300ETF,IS,0.0,0.0,0.005151684656367382,,,,,,,,,,,,,,,,,
2010-04-15,300ETF,IS,0.0,0.0,-0.0005096993237950927,,,,,,,,,,,,,,,,,
2010-04-16,300ETF,IS,0.0,0.0,0.001646045388729945,,,,,,,,,,,,,,,,,
2010-04-19,300ETF,IS,0.0,0.0,-0.02978084140531326,,,,,,,,,,,,,,,,,
2010-04-20,300ETF,IS,0.0,0.0,0.0008158870786234131,,,,,,,,,,,,,,,,,
2010-04-21,300ETF,IS,0.0,0.0,0.008913333534945613,,,,,,,,,,,,,,,,,
2010-04-22,300ETF,IS,0.0,0.0,-0.001974874761968191,,,,,,,,,,,,,,,,,
2010-04-23,300ETF,IS,0.0,0.0,-0.004222601426829209,,,,,,,,,,,,,,,,,
2010-04-26,300ETF,IS,0.0,0.0,-0.0012762686456075302,,,,,,,,,,,,,,,,,
2010-04-27,300ETF,IS,0.0,0.0,-0.014148138087573248,,,,,,,,,,,,,,,,,
2010-04-28,300ETF,IS,0.0,0.0,-0.0022071067449837283,,,,,,,,,,,,,,,,,
2010-04-29,300ETF,IS,0.0,0.0,-0.007234694092022014,,,,,,,,,,,,,,,,,
2010-04-30,300ETF,IS,0.0,0.0,0.005603998698026087,,,,,,,,,,,,,,,,,
2010-05-04,300ETF,IS,0.0,0.0,-0.004915248373790519,,,,,,,,,,,,,,,,,
2010-05-05,300ETF,IS,0.0,0.0,0.014441603032226054,,,,,,,,,,,,,,,,,
2010-05-06,300ETF,IS,0.0,0.0,-0.026832547842752356,,,,,,,,,,,,,,,,,
2010-05-07,300ETF,IS,0.0,0.0,-0.0046854364359958725,,,,,,,,,,,,,,,,,
2010-05-10,300ETF,IS,0.0,0.0,5.253565070458783e-05,,,,,,,,,,,,,,,,,
2010-05-11,300ETF,IS,0.0,0.0,-0.028190171223586954,,,,,,,,,,,,,,,,,
2010-05-12,300ETF,IS,0.0,0.0,-0.0026878673206551704,,,,,,,,,,,,,,,,,
2010-05-13,300ETF,IS,0.0,0.0,0.017665053067183408,,,,,,,,,,,,,,,,,
2010-05-14,300ETF,IS,0.0,0.0,0.0071803038688293885,,,,,,,,,,,,,,,,,
2010-05-17,300ETF,IS,0.0,0.0,-0.028333194424028343,,,,,,,,,,,,,,,,,
2010-05-18,300ETF,IS,0.0,0.0,0.027649398859622955,,,,,,,,,,,,,,,,,
2010-05-19,300ETF,IS,0.0,0.0,0.0006429998586916091,,,,,,,,,,,,,,,,,
2010-05-20,300ETF,IS,0.0,0.0,-0.013842072118446598,,,,,,,,,,,,,,,,,
2010-05-21,300ETF,IS,0.0,0.0,0.02720733505736332,,,,,,,,,,,,,,,,,
2010-05-24,300ETF,IS,0.0,0.0,0.015011570787128318,,,,,,,,,,,,,,,,,
2010-05-25,300ETF,IS,0.0,0.0,-0.010583026590204752,,,,,,,,,,,,,,,,,
2010-05-26,300ETF,IS,0.0,0.0,-0.009174459297298706,,,,,,,,,,,,,,,,,
2010-05-27,300ETF,IS,0.0,0.0,0.032158346926331696,,,,,,,,,,,,,,,,,
2010-05-28,300ETF,IS,0.0,0.0,-0.008513262445369546,,,,,,,,,,,,,,,,,
2010-05-31,300ETF,IS,0.0,0.0,-0.004914247472781374,,,,,,,,,,,,,,,,,
2010-06-01,300ETF,IS,0.0,0.0,-0.014905044956513396,,,,,,,,,,,,,,,,,
2010-06-02,300ETF,IS,0.0,0.0,0.0035055484919772053,,,,,,,,,,,,,,,,,
2010-06-03,300ETF,IS,0.0,0.0,-0.0013412357135236261,,,,,,,,,,,,,,,,,
2010-06-04,300ETF,IS,0.0,0.0,0.0041133504000738655,,,,,,,,,,,,,,,,,
2010-06-07,300ETF,IS,0.0,0.0,-0.0034299204870885057,,,,,,,,,,,,,,,,,
2010-06-08,300ETF,IS,0.0,0.0,-0.008322939675489263,,,,,,,,,,,,,,,,,
2010-06-09,300ETF,IS,0.0,0.0,0.02788510010765055,,,,,,,,,,,,,,,,,
2010-06-10,300ETF,IS,0.0,0.0,0.000487465001421023,,,,,,,,,,,,,,,,,
2010-06-11,300ETF,IS,0.0,0.0,-0.006111585696064822,,,,,,,,,,,,,,,,,
2010-06-17,300ETF,IS,0.0,0.0,-0.007425109057012823,,,,,,,,,,,,,,,,,
2010-06-18,300ETF,IS,0.0,0.0,-0.0097627616038596,,,,,,,,,,,,,,,,,
2010-06-21,300ETF,IS,0.0,0.0,0.022793798194230497,,,,,,,,,,,,,,,,,
2010-06-22,300ETF,IS,0.0,0.0,-0.0005059038075639682,,,,,,,,,,,,,,,,,
2010-06-23,300ETF,IS,0.0,0.0,-0.007154482020277521,,,,,,,,,,,,,,,,,
2010-06-24,300ETF,IS,0.0,0.0,0.003934182517235932,,,,,,,,,,,,,,,,,
2010-06-25,300ETF,IS,0.0,0.0,-0.002378415803417846,,,,,,,,,,,,,,,,,
2010-06-28,300ETF,IS,0.0,0.0,-0.005114092234215067,,,,,,,,,,,,,,,,,
2010-06-29,300ETF,IS,0.0,0.0,-0.03705773273345069,,,,,,,,,,,,,,,,,
2010-06-30,300ETF,IS,0.0,0.0,0.0021851795558399394,,,,,,,,,,,,,,,,,
2010-07-01,300ETF,IS,0.0,0.0,-0.008542275262341545,,,,,,,,,,,,,,,,,
2010-07-02,300ETF,IS,0.0,0.0,0.0029055328788781675,,,,,,,,,,,,,,,,,
2010-07-05,300ETF,IS,0.0,0.0,0.009223584425205515,,,,,,,,,,,,,,,,,
2010-07-06,300ETF,IS,0.0,0.0,0.006685409173948661,,,,,,,,,,,,,,,,,
2010-07-07,300ETF,IS,0.0,0.0,0.0007859715780092664,,,,,,,,,,,,,,,,,
2010-07-08,300ETF,IS,0.0,0.0,-0.0041977344386190515,,,,,,,,,,,,,,,,,
2010-07-09,300ETF,IS,0.0,0.0,0.03223701899293721,,,,,,,,,,,,,,,,,
2010-07-12,300ETF,IS,0.0,0.0,0.009029989264334331,,,,,,,,,,,,,,,,,
2010-07-13,300ETF,IS,0.0,0.0,-0.0029181197787702304,,,,,,,,,,,,,,,,,
2010-07-14,300ETF,IS,0.0,0.0,-0.009073676262530531,,,,,,,,,,,,,,,,,
2010-07-15,300ETF,IS,0.0,0.0,-0.00912073423268056,,,,,,,,,,,,,,,,,
2010-07-16,300ETF,IS,0.0,0.0,0.006868107816307742,,,,,,,,,,,,,,,,,
2010-07-19,300ETF,IS,0.0,0.0,0.02592305592799221,,,,,,,,,,,,,,,,,
2010-07-20,300ETF,IS,0.0,0.0,0.009043232599370338,,,,,,,,,,,,,,,,,
2010-07-21,300ETF,IS,0.0,0.0,0.005551851715338132,,,,,,,,,,,,,,,,,
2010-07-22,300ETF,IS,0.0,0.0,0.004736029926738282,,,,,,,,,,,,,,,,,
2010-07-23,300ETF,IS,0.0,0.0,0.0017702826988200999,,,,,,,,,,,,,,,,,
2010-07-26,300ETF,IS,0.0,0.0,-0.0013415824137196128,,,,,,,,,,,,,,,,,
2010-07-27,300ETF,IS,0.0,0.0,0.005139979616127358,,,,,,,,,,,,,,,,,
2010-07-28,300ETF,IS,0.0,0.0,0.02415417437199137,,,,,,,,,,,,,,,,,
2010-07-29,300ETF,IS,0.0,0.0,0.0023362292269079837,,,,,,,,,,,,,,,,,
2010-07-30,300ETF,IS,0.0,0.0,-0.0008949711472281208,,,,,,,,,,,,,,,,,
2010-08-02,300ETF,IS,0.0,0.0,0.009373319306020988,,,,,,,,,,,,,,,,,
2010-08-03,300ETF,IS,0.0,0.0,0.0009210966266313033,,,,,,,,,,,,,,,,,
2010-08-04,300ETF,IS,0.0,0.0,-0.003285585359198269,,,,,,,,,,,,,,,,,
2010-08-05,300ETF,IS,0.0,0.0,-0.005820289040416456,,,,,,,,,,,,,,,,,
2010-08-06,300ETF,IS,0.0,0.0,0.018366782468456962,,,,,,,,,,,,,,,,,
2010-08-09,300ETF,IS,0.0,0.0,0.0030470723871214344,,,,,,,,,,,,,,,,,
2010-08-10,300ETF,IS,0.0,0.0,-0.023573898046436587,,,,,,,,,,,,,,,,,
2010-08-11,300ETF,IS,0.0,0.0,0.0019652753764000668,,,,,,,,,,,,,,,,,
2010-08-12,300ETF,IS,0.0,0.0,-0.0011304983622898847,,,,,,,,,,,,,,,,,
2010-08-13,300ETF,IS,0.0,0.0,0.009784341275580586,,,,,,,,,,,,,,,,,
2010-08-16,300ETF,IS,0.0,0.0,0.019818346818207176,,,,,,,,,,,,,,,,,
2010-08-17,300ETF,IS,0.0,0.0,0.005791702699162858,,,,,,,,,,,,,,,,,
2010-08-18,300ETF,IS,0.0,0.0,-0.004320308154867047,,,,,,,,,,,,,,,,,
2010-08-19,300ETF,IS,0.0,0.0,0.0021635340669083317,,,,,,,,,,,,,,,,,
2010-08-20,300ETF,IS,0.0,0.0,-0.0135587911980138,,,,,,,,,,,,,,,,,
