conviction_bin,n_days,active_trades,total_pnl,cost_sharpe,win_rate
0.0 ~ 0.3,368,0,-0.0111,-5.187,0.0%
0.3 ~ 0.6,289,20,-0.0085,-4.578,30.0%
0.6 ~ 0.9,188,60,0.0079,0.778,45.0%
0.9 ~ 1.2,86,33,-0.0123,-1.167,45.5%
1.2 ~ 1.5,25,16,0.0373,4.525,68.8%
> 1.5,13,10,0.0641,6.132,70.0%
