config,mapping,w_min_max,z_th_prod,trades,cost_sharpe,raw_sharpe,total_pnl,max_dd,win_rate,turnover
Linear (0.5 ~ 1.5) [Default],linear,0.5~1.5,1.1,36,0.736,0.865,0.0556,0.0072,66.7%,3.5x
Linear (0.2 ~ 1.8) [Moderate Tilt],linear,0.2~1.8,1.1,42,0.739,0.891,0.0577,0.0086,64.3%,4.2x
Linear (0.0 ~ 2.0) [Max Tilt],linear,0.0~2.0,1.1,44,0.737,0.904,0.0589,0.0095,63.6%,4.7x
Linear (1.0 ~ 1.0) [Equal Weight Baseline],linear,1.0~1.0,1.0,40,0.731,0.862,0.057,0.0073,62.5%,3.6x
Power p=2.0 (0.2 ~ 1.8),power,0.2~1.8,1.1,48,0.724,0.906,0.0611,0.0109,58.3%,5.3x
Power p=3.0 (0.1 ~ 1.9),power,0.1~1.9,1.1,58,0.678,0.905,0.0615,0.0144,56.9%,7.1x
Softmax tau=1.0,softmax,0.5~1.5,1.1,36,0.733,0.86,0.0556,0.0072,66.7%,3.4x
Softmax tau=2.0,softmax,0.5~1.5,1.1,43,0.729,0.892,0.059,0.0094,65.1%,4.6x
Top-7 Truncated Linear,top_k,0.5~1.5,1.1,42,0.754,0.916,0.0613,0.0101,61.9%,4.6x
Top-5 Truncated Linear,top_k,0.5~1.5,0.8,111,0.605,1.022,0.0744,0.0259,51.4%,17.1x
