date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,159915ETF,Spot ETF,sortino,-1.541,0.9,-1.0,1,-0.006299,0.0,0.0,0.0,0.0
2022-01-05,159915ETF,Spot ETF,sortino,-1.4135,0.9,-1.0,1,-0.011132,0.0,0.0,0.0,0.0
2022-01-06,159915ETF,Spot ETF,sortino,-0.1124,0.9,0.0,0,-0.001098,0.0,0.0,0.0,0.0
2022-01-07,159915ETF,Spot ETF,sortino,-0.3123,0.9,0.0,0,-0.008072,0.0,0.0,0.0,0.0
2022-01-10,159915ETF,Spot ETF,sortino,-1.144,0.9,-0.5107,1,0.001693,0.0,0.0,0.0,0.0
2022-01-11,159915ETF,Spot ETF,sortino,-0.1329,0.9,0.0,0,-0.010078,0.0,0.0,0.0,0.0
2022-01-12,159915ETF,Spot ETF,sortino,0.3953,0.9,0.0,0,0.008525,0.0,0.0,0.0,0.0
2022-01-13,159915ETF,Spot ETF,sortino,-1.2966,0.9,-0.7147,1,-0.004402,0.0,0.0,0.0,0.0
2022-01-14,159915ETF,Spot ETF,sortino,0.7925,0.9,0.0,0,0.005093,0.0,0.0,0.0,0.0
2022-01-17,159915ETF,Spot ETF,sortino,0.9468,0.9,0.5122,1,0.008146,0.0,0.0,0.0,0.0
2022-01-18,159915ETF,Spot ETF,sortino,-0.4871,0.9,0.0,0,-0.010604,0.0,0.0,0.0,0.0
2022-01-19,159915ETF,Spot ETF,sortino,-1.1343,0.9,-0.5065,1,-0.013241,0.0,0.0,0.0,0.0
2022-01-20,159915ETF,Spot ETF,sortino,0.4716,0.9,0.0,0,-0.002725,0.0,0.0,0.0,0.0
2022-01-21,159915ETF,Spot ETF,sortino,-0.2808,0.9,0.0,0,-0.010527,0.0,0.0,0.0,0.0
2022-01-24,159915ETF,Spot ETF,sortino,1.1228,0.9,0.7757,1,0.00184,0.0,0.0,0.0,0.0
2022-01-25,159915ETF,Spot ETF,sortino,0.6163,0.9,0.0,0,-0.01902,0.0,0.0,0.0,0.0
2022-01-26,159915ETF,Spot ETF,sortino,0.7179,0.9,0.0,0,0.007109,0.0,0.0,0.0,0.0
2022-01-27,159915ETF,Spot ETF,sortino,-0.3942,0.9,0.0,0,-0.023091,0.0,0.0,0.0,0.0
2022-01-28,159915ETF,Spot ETF,sortino,-0.2433,0.9,0.0,0,0.006329,0.0,0.0,0.0,0.0
2022-02-07,159915ETF,Spot ETF,sortino,-0.1419,0.9,0.0,0,-0.016822,0.0,0.0,0.0,0.0
