rank_index,feature,weight,deflated_ic,ic_ir,mono,composite_score,oos_ic,total_weighted_pnl,rank
10,combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__bar_body_rng_0,0.15,0.295,0.7632,0.7279,0.9,0.1308,0.122613,1
4,combo_z_sum__max_up_ret__volume_weighted_price_position,0.1389,0.2111,0.666,0.7396,0.675,0.1242,0.122963,2
8,combo_mean__rbreaker_sell_setup_proximity_early__max_up_ret,0.1278,0.2658,0.6109,0.7003,0.665,0.116,0.090025,3
9,combo_rank_min__rbreaker_sell_setup_proximity_early__max_up_ret,0.1167,0.2939,0.5738,0.7126,0.625,0.1194,0.096713,4
1,combo_ratio__first_bar_sentiment__volume_surge_direction,0.1,0.1278,0.6295,0.7455,0.57,0.0443,3.7e-05,5
6,rbreaker_sell_setup_proximity_early,0.1,0.2299,0.555,0.7413,0.57,0.099,0.056939,6
2,combo_ratio__limit_down_proximity_early__volume_concentration,0.0833,0.1935,0.6003,0.7349,0.465,0.0555,0.025514,7
7,combo_tri_median__rbreaker_sell_setup_proximity_early__bar_body_rng_0__first_bar_sentiment,0.0667,0.2387,0.5428,0.6903,0.425,0.096,0.046897,8
5,combo_rank_min__star50_limit_proximity_early__bar_body_rng_0,0.0667,0.2265,0.5952,0.6698,0.425,0.117,0.055718,9
3,combo_product__rbreaker_sell_setup_proximity_early__max_up_ret,0.05,0.2034,0.4802,0.6346,0.18,0.1922,0.026769,10
