date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,159915ETF,Spot ETF,rank,-0.9325,0.9,-1.0,1,-0.006299,0.006299,0.0008,0.005499,0.005499
2022-01-05,159915ETF,Spot ETF,rank,-1.1828,0.9,-1.0,1,-0.011132,0.011132,0.0,0.011132,0.016631
2022-01-06,159915ETF,Spot ETF,rank,-0.4618,0.9,-1.0,1,-0.001098,0.001098,0.0,0.001098,0.017729
2022-01-07,159915ETF,Spot ETF,rank,0.1178,0.9,0.0,0,-0.008072,-0.0,0.0008,-0.0008,0.016929
2022-01-10,159915ETF,Spot ETF,rank,-1.1523,0.9,-1.0,1,0.001693,-0.001693,0.0008,-0.002493,0.014436
2022-01-11,159915ETF,Spot ETF,rank,-0.1363,0.9,0.0,0,-0.010078,-0.0,0.0008,-0.0008,0.013636
2022-01-12,159915ETF,Spot ETF,rank,0.9675,0.9,1.0,1,0.008525,0.008525,0.0008,0.007725,0.021361
2022-01-13,159915ETF,Spot ETF,rank,-0.9012,0.9,-1.0,1,-0.004402,0.004402,0.0016,0.002802,0.024163
2022-01-14,159915ETF,Spot ETF,rank,1.0357,0.9,1.0,1,0.005093,0.005093,0.0016,0.003493,0.027657
2022-01-17,159915ETF,Spot ETF,rank,0.7713,0.9,0.0,0,0.008146,0.0,0.0008,-0.0008,0.026857
2022-01-18,159915ETF,Spot ETF,rank,-0.7486,0.9,-1.0,1,-0.010604,0.010604,0.0008,0.009804,0.036661
2022-01-19,159915ETF,Spot ETF,rank,-0.9928,0.9,-1.0,1,-0.013241,0.013241,0.0,0.013241,0.049901
2022-01-20,159915ETF,Spot ETF,rank,0.6797,0.9,0.0,0,-0.002725,-0.0,0.0008,-0.0008,0.049101
2022-01-21,159915ETF,Spot ETF,rank,-0.7406,0.9,-1.0,1,-0.010527,0.010527,0.0008,0.009727,0.058828
2022-01-24,159915ETF,Spot ETF,rank,1.0584,0.9,1.0,1,0.00184,0.00184,0.0016,0.00024,0.059068
2022-01-25,159915ETF,Spot ETF,rank,-0.0422,0.9,0.0,0,-0.01902,-0.0,0.0008,-0.0008,0.058268
2022-01-26,159915ETF,Spot ETF,rank,0.6366,0.9,0.0,0,0.007109,0.0,0.0,0.0,0.058268
2022-01-27,159915ETF,Spot ETF,rank,-0.4668,0.9,-1.0,1,-0.023091,0.023091,0.0008,0.022291,0.080559
2022-01-28,159915ETF,Spot ETF,rank,0.0719,0.9,0.0,0,0.006329,0.0,0.0008,-0.0008,0.079759
2022-02-07,159915ETF,Spot ETF,rank,0.3545,0.9,0.0,0,-0.016822,-0.0,0.0,-0.0,0.079759
2022-02-08,159915ETF,Spot ETF,rank,-1.2803,0.9,-1.0,1,-0.005085,0.005085,0.0008,0.004285,0.084043
2022-02-09,159915ETF,Spot ETF,rank,-0.689,0.9,-1.0,1,0.021749,-0.021749,0.0,-0.021749,0.062294
2022-02-10,159915ETF,Spot ETF,rank,-0.9275,0.9,-1.0,1,-0.002752,0.002752,0.0,0.002752,0.065046
2022-02-11,159915ETF,Spot ETF,rank,-0.9887,0.9,-1.0,1,-0.020078,0.020078,0.0,0.020078,0.085124
2022-02-14,159915ETF,Spot ETF,rank,1.5824,0.9,1.0,1,-0.021495,-0.021495,0.0016,-0.023095,0.062029
2022-02-15,159915ETF,Spot ETF,rank,0.8611,0.9,0.0,0,0.014178,0.0,0.0008,-0.0008,0.061229
2022-02-16,159915ETF,Spot ETF,rank,-0.5502,0.9,-1.0,1,-0.005412,0.005412,0.0008,0.004612,0.065842
2022-02-17,159915ETF,Spot ETF,rank,-0.0766,0.9,0.0,0,0.006443,0.0,0.0008,-0.0008,0.065042
2022-02-18,159915ETF,Spot ETF,rank,-0.584,0.9,-1.0,1,0.000469,-0.000469,0.0008,-0.001269,0.063773
2022-02-21,159915ETF,Spot ETF,rank,-0.0924,0.9,0.0,0,-0.008721,-0.0,0.0008,-0.0008,0.062973
2022-02-22,159915ETF,Spot ETF,rank,-1.5167,0.9,-1.0,1,0.005256,-0.005256,0.0008,-0.006056,0.056917
2022-02-23,159915ETF,Spot ETF,rank,1.209,0.9,1.0,1,0.013222,0.013222,0.0016,0.011622,0.068539
2022-02-24,159915ETF,Spot ETF,rank,-0.0797,0.9,0.0,0,-0.026274,-0.0,0.0008,-0.0008,0.067739
2022-02-25,159915ETF,Spot ETF,rank,1.5515,0.9,1.0,1,-0.003787,-0.003787,0.0008,-0.004587,0.063152
2022-02-28,159915ETF,Spot ETF,rank,0.7956,0.9,0.0,0,0.005167,0.0,0.0008,-0.0008,0.062352
2022-03-01,159915ETF,Spot ETF,rank,0.3102,0.9,0.0,0,-0.004081,-0.0,0.0,-0.0,0.062352
2022-03-02,159915ETF,Spot ETF,rank,-1.4397,0.9,-1.0,1,0.004243,-0.004243,0.0008,-0.005043,0.057309
2022-03-03,159915ETF,Spot ETF,rank,-0.7118,0.9,-1.0,1,-0.005759,0.005759,0.0,0.005759,0.063068
2022-03-04,159915ETF,Spot ETF,rank,0.1208,0.9,0.0,0,-0.017465,-0.0,0.0008,-0.0008,0.062268
2022-03-07,159915ETF,Spot ETF,rank,-1.5313,0.9,-1.0,1,-0.013148,0.013148,0.0008,0.012348,0.074616
2022-03-08,159915ETF,Spot ETF,rank,-0.263,0.9,0.0,0,-0.012942,-0.0,0.0008,-0.0008,0.073816
2022-03-09,159915ETF,Spot ETF,rank,-0.6632,0.9,-1.0,1,-0.010131,0.010131,0.0008,0.009331,0.083147
2022-03-10,159915ETF,Spot ETF,rank,0.8208,0.9,0.0,0,0.00069,0.0,0.0008,-0.0008,0.082347
2022-03-11,159915ETF,Spot ETF,rank,-0.1466,0.9,0.0,0,0.016203,0.0,0.0,0.0,0.082347
2022-03-14,159915ETF,Spot ETF,rank,-1.2724,0.9,-1.0,1,-0.021727,0.021727,0.0008,0.020927,0.103275
2022-03-15,159915ETF,Spot ETF,rank,-0.9379,0.9,-1.0,1,-0.008505,0.008505,0.0,0.008505,0.111779
2022-03-16,159915ETF,Spot ETF,rank,-0.1877,0.9,0.0,0,0.035068,0.0,0.0008,-0.0008,0.110979
2022-03-17,159915ETF,Spot ETF,rank,1.7861,0.9,1.0,1,0.007068,0.007068,0.0008,0.006268,0.117247
2022-03-18,159915ETF,Spot ETF,rank,-0.7456,0.9,-1.0,1,0.006778,-0.006778,0.0016,-0.008378,0.10887
2022-03-21,159915ETF,Spot ETF,rank,0.8675,0.9,0.0,0,-0.00979,-0.0,0.0008,-0.0008,0.10807
2022-03-22,159915ETF,Spot ETF,rank,-1.2831,0.9,-1.0,1,-0.009741,0.009741,0.0008,0.008941,0.117011
2022-03-23,159915ETF,Spot ETF,rank,-0.7878,0.9,-1.0,1,0.010231,-0.010231,0.0,-0.010231,0.10678
2022-03-24,159915ETF,Spot ETF,rank,-1.4299,0.9,-1.0,1,0.014851,-0.014851,0.0,-0.014851,0.091929
2022-03-25,159915ETF,Spot ETF,rank,0.0844,0.9,0.0,0,-0.020178,-0.0,0.0008,-0.0008,0.091129
2022-03-28,159915ETF,Spot ETF,rank,-0.8577,0.9,-1.0,1,-0.008686,0.008686,0.0008,0.007886,0.099015
2022-03-29,159915ETF,Spot ETF,rank,0.7767,0.9,0.0,0,-0.015846,-0.0,0.0008,-0.0008,0.098215
2022-03-30,159915ETF,Spot ETF,rank,1.5842,0.9,1.0,1,0.01243,0.01243,0.0008,0.01163,0.109845
