config,mapping,w_min_max,z_th_prod,trades,cost_sharpe,raw_sharpe,total_pnl,max_dd,win_rate,turnover
Linear (0.5 ~ 1.5) [Default],linear,0.5~1.5,0.5,253,0.443,1.042,0.0577,0.0453,53.8%,25.4x
Linear (0.2 ~ 1.8) [Moderate Tilt],linear,0.2~1.8,0.5,259,0.472,1.075,0.0635,0.0459,54.1%,26.5x
Linear (0.0 ~ 2.0) [Max Tilt],linear,0.0~2.0,0.5,264,0.488,1.094,0.0671,0.0462,53.0%,27.1x
Linear (1.0 ~ 1.0) [Equal Weight Baseline],linear,1.0~1.0,0.5,244,0.391,0.984,0.0483,0.0444,53.7%,23.8x
Power p=2.0 (0.2 ~ 1.8),power,0.2~1.8,0.5,267,0.491,1.105,0.068,0.0467,52.4%,27.7x
Power p=3.0 (0.1 ~ 1.9),power,0.1~1.9,0.5,267,0.514,1.14,0.0742,0.0479,52.8%,29.4x
Softmax tau=1.0,softmax,0.5~1.5,0.5,253,0.44,1.04,0.0573,0.0453,53.8%,25.4x
Softmax tau=2.0,softmax,0.5~1.5,0.5,263,0.482,1.092,0.0657,0.0464,53.6%,27.1x
Top-7 Truncated Linear,top_k,0.5~1.5,0.5,282,0.621,1.273,0.1069,0.0551,52.1%,36.4x
Top-5 Truncated Linear,top_k,0.5~1.5,0.5,283,0.597,1.238,0.1103,0.062,52.7%,38.5x
