date,direction,option_type,contract,strike,expiry,dtm,contracts,entry_px,exit_px,spot_entry,spot_exit,gross_pnl,commission,net_pnl,capital,stop_hit
2022-07-11,Short,P,10004315,4.300000190734863,2022-07-27,16,24.8833,0.0429,0.0408,4.398,4.391,-534.0,8.0,-542.0,106207.23,True
2022-08-02,Short,P,10004370,4.099999904632568,2022-08-24,22,18.7645,0.0566,0.0699,4.194,4.173,2499.44,8.0,2491.44,108698.66,True
2022-08-03,Long,C,10004362,4.199999809265137,2022-08-24,21,14.2837,0.0761,0.0641,4.172,4.135,-1720.9,8.0,-1728.9,106969.77,True
2022-09-26,Long,C,10004478,4.0,2022-10-26,30,19.6723,0.0544,0.0532,3.928,3.902,-225.19,8.0,-233.19,106736.58,True
2022-10-14,Long,C,10004477,3.9000000953674316,2022-10-26,12,26.3547,0.0405,0.0523,3.876,3.905,3099.67,8.0,3091.67,109828.25,True
2022-11-04,Long,C,10004616,3.799999952316284,2022-11-23,19,18.3967,0.0597,0.0944,3.773,3.834,6383.65,8.0,6375.65,116203.9,False
2022-11-14,Long,C,10004617,3.9000000953674316,2022-11-23,9,20.6401,0.0563,0.0424,3.898,3.852,-2878.27,8.0,-2886.27,113317.63,True
2022-11-21,Short,P,10004266,3.700000047683716,2022-12-28,37,23.8964,0.0474,0.0389,3.798,3.821,-2044.11,8.0,-2052.11,111265.52,True
2022-11-28,Short,P,10004266,3.700000047683716,2022-12-28,30,16.1254,0.069,0.059,3.75,3.79,-1604.8,8.0,-1612.8,109652.72,True
2022-11-29,Long,C,10004259,3.9000000953674316,2022-12-28,29,16.5639,0.0662,0.1041,3.835,3.906,6277.7,8.0,6269.7,115922.42,False
2022-12-01,Long,C,10004260,4.0,2022-12-28,27,13.6059,0.0852,0.0732,3.98,3.964,-1630.85,8.0,-1638.85,114283.57,True
2023-01-05,Long,C,10004804,4.099999904632568,2023-01-30,25,39.6818,0.0288,0.0301,4.008,4.034,508.99,8.0,500.99,114784.56,True
2023-01-16,Long,C,10004805,4.135000228881836,2023-01-30,14,26.0994,0.0433,0.0677,4.114,4.15,6474.95,8.0,6466.95,121251.5,True
2023-02-02,Short,P,10004973,4.135000228881836,2023-02-22,20,28.3556,0.0421,0.0452,4.185,4.177,892.83,8.0,884.83,122136.33,False
2023-02-06,Short,P,10004972,4.0370001792907715,2023-02-22,16,35.0579,0.0343,0.0396,4.098,4.071,1879.76,8.0,1871.76,124008.09,True
2023-02-09,Long,C,10004964,4.135000228881836,2023-02-22,13,31.2254,0.0391,0.0513,4.101,4.127,3869.31,8.0,3861.31,127869.39,False
2023-03-13,Long,C,10005054,4.0,2023-03-22,9,35.4209,0.0361,0.0429,3.978,3.998,2408.62,8.0,2400.62,130270.01,False
2023-04-17,Long,C,10005206,4.199999809265137,2023-04-26,9,149.7356,0.0087,0.0148,4.109,4.134,9133.87,8.0,9125.87,139395.89,False
2023-04-28,Long,C,10005284,4.099999904632568,2023-05-24,26,48.9108,0.0285,0.0273,4.013,4.016,-586.93,8.0,-594.93,138800.96,False
2023-05-17,Short,P,10005291,3.9000000953674316,2023-05-24,7,137.4267,0.0101,0.0077,3.964,3.948,-3298.24,8.0,-3306.24,135494.72,True
2023-05-24,Short,P,10004712,3.8399999141693115,2023-06-28,35,24.9564,0.0535,0.0584,3.877,3.865,1241.68,8.0,1233.68,136728.4,False
2023-06-01,Long,C,10004703,3.8399999141693115,2023-06-28,27,20.9354,0.0643,0.0561,3.829,3.807,-1736.64,8.0,-1744.64,134983.76,True
2023-06-19,Short,P,10004713,3.937999963760376,2023-06-28,9,61.5265,0.0216,0.0264,3.962,3.945,2999.64,8.0,2991.64,137975.39,False
2023-07-03,Long,C,10005422,4.0,2023-07-26,23,50.9134,0.0271,0.0281,3.919,3.927,509.13,8.0,501.13,138476.53,False
2023-07-13,Long,C,10005422,4.0,2023-07-26,13,77.7958,0.0178,0.021,3.937,3.951,2489.47,8.0,2481.47,140957.99,False
2023-07-17,Short,P,10005430,3.9000000953674316,2023-07-26,9,52.9917,0.0266,0.0244,3.918,3.918,-1190.19,8.0,-1198.19,139759.8,True
2023-07-25,Long,C,10005666,4.0,2023-08-23,29,30.032,0.0465,0.0584,3.952,3.979,3567.5,8.0,3559.5,143319.3,False
2023-07-31,Long,C,10005668,4.199999809265137,2023-08-23,23,33.8816,0.0423,0.0359,4.116,4.083,-2158.94,8.0,-2166.94,141152.36,True
2023-08-04,Long,C,10005668,4.199999809265137,2023-08-23,19,37.8425,0.0373,0.0277,4.113,4.097,-3628.59,8.0,-3636.59,137515.77,True
2023-08-07,Short,P,10005675,4.0,2023-08-23,16,55.2272,0.0249,0.0282,4.068,4.053,1822.5,8.0,1814.5,139330.27,False
2023-08-08,Short,P,10005675,4.0,2023-08-23,15,44.6571,0.0312,0.0244,4.043,4.052,-3029.54,8.0,-3037.54,136292.73,True
2023-08-11,Short,P,10005675,4.0,2023-08-23,12,37.9645,0.0359,0.0653,4.022,3.967,11161.58,8.0,11153.58,147446.31,False
2023-09-07,Short,P,10005132,3.799999952316284,2023-09-27,20,50.8436,0.029,0.0351,3.859,3.831,3087.73,8.0,3079.73,150526.04,True
2023-09-25,Short,P,10005943,3.700000047683716,2023-10-25,30,43.9827,0.0342,0.0357,3.789,3.784,649.98,8.0,641.98,151168.01,False
2023-09-27,Long,C,10005935,3.799999952316284,2023-10-25,28,21.0307,0.0719,0.0586,3.797,3.779,-2797.15,8.0,-2805.15,148362.86,True
2023-10-09,Short,P,10005943,3.700000047683716,2023-10-25,16,55.7755,0.0266,0.0228,3.746,3.754,-2112.03,8.0,-2120.03,146242.83,True
2023-11-20,Short,P,10005356,3.5999999046325684,2023-12-27,37,26.9791,0.0542,0.0417,3.613,3.644,-3386.26,8.0,-3394.26,142848.57,True
2023-11-21,Long,C,10005348,3.700000047683716,2023-12-27,36,24.2379,0.0589,0.0485,3.679,3.646,-2529.4,8.0,-2537.4,140311.17,True
2023-11-27,Short,P,10005392,3.5,2023-12-27,30,48.2169,0.0291,0.0266,3.569,3.578,-1186.3,8.0,-1194.3,139116.88,True
2023-11-29,Short,P,10005392,3.5,2023-12-27,28,52.6958,0.0264,0.0303,3.568,3.554,2055.14,8.0,2047.14,141164.01,False
2023-12-01,Short,P,10005392,3.5,2023-12-27,26,41.8884,0.0337,0.0345,3.539,3.547,353.96,8.0,345.96,141509.97,True
2023-12-11,Short,P,10005468,3.4000000953674316,2023-12-27,16,36.5659,0.0387,0.0305,3.421,3.495,-2994.75,8.0,-3002.75,138507.22,True
2023-12-13,Short,P,10005468,3.4000000953674316,2023-12-27,14,89.9398,0.0154,0.0234,3.471,3.445,7195.18,8.0,7187.18,145694.4,False
2023-12-21,Long,C,10006293,3.4000000953674316,2024-01-24,34,22.7454,0.0641,0.078,3.373,3.401,3162.57,8.0,3154.57,148848.98,False
2023-12-28,Long,C,10006294,3.5,2024-01-24,27,42.896,0.0347,0.0555,3.439,3.484,8922.36,8.0,8914.36,157763.34,False
2024-01-02,Short,P,10006302,3.4000000953674316,2024-01-24,22,72.702,0.0217,0.0244,3.476,3.461,1962.95,8.0,1954.95,159718.29,False
2024-02-06,Long,C,10006656,3.299999952316284,2024-02-28,22,38.5793,0.0414,0.0395,3.241,3.281,-725.29,8.0,-733.29,158985.0,True
2024-02-19,Short,P,10006532,3.3289999961853027,2024-02-28,9,60.8023,0.0256,0.0222,3.365,3.386,-2136.36,8.0,-2144.36,156840.64,True
2024-02-22,Long,C,10006676,3.5,2024-03-27,34,28.3405,0.0553,0.0612,3.46,3.473,1657.01,8.0,1649.01,158489.65,False
2024-02-29,Long,C,10006676,3.5,2024-03-27,27,27.2788,0.0581,0.0585,3.47,3.496,101.3,8.0,93.3,158582.94,True
2024-03-14,Long,C,10006677,3.5999999046325684,2024-03-27,13,45.7011,0.0347,0.026,3.584,3.549,-3964.57,8.0,-3972.57,154610.37,True
2024-04-01,Long,C,10006939,3.5999999046325684,2024-04-24,23,35.2188,0.0439,0.0411,3.578,3.585,-971.1,8.0,-979.1,153631.27,True
2024-04-15,Long,C,10006938,3.5,2024-04-24,9,47.4171,0.0324,0.0501,3.497,3.524,8385.23,8.0,8377.23,162008.5,True
2024-04-26,Long,C,10007058,3.5999999046325684,2024-05-22,26,55.673,0.0291,0.0477,3.541,3.579,10355.18,8.0,10347.18,172355.68,False
2024-05-09,Long,C,10007059,3.700000047683716,2024-05-22,13,85.7491,0.0201,0.0206,3.646,3.656,394.45,8.0,386.45,172742.13,True
2024-05-20,Long,C,10006711,3.700000047683716,2024-06-26,37,24.8949,0.0694,0.0644,3.694,3.684,-1247.62,8.0,-1255.62,171486.51,False
2024-06-27,Short,P,10007361,3.4000000953674316,2024-07-24,27,80.1339,0.0214,0.0171,3.477,3.488,-3445.76,8.0,-3453.76,168032.75,True
2024-06-28,Long,C,10007354,3.5999999046325684,2024-07-24,26,103.0876,0.0163,0.0147,3.502,3.484,-1609.88,8.0,-1617.88,166414.86,True
2024-07-23,Short,P,10007482,3.5,2024-08-28,36,66.4627,0.025,0.0412,3.551,3.508,10754.84,8.0,10746.84,177161.71,False
2024-07-30,Short,P,10007481,3.4000000953674316,2024-08-28,29,40.8207,0.0434,0.041,3.429,3.433,-979.7,8.0,-987.7,176174.01,False
2024-08-05,Long,C,10007473,3.5,2024-08-28,23,48.9372,0.036,0.0307,3.448,3.413,-2609.99,8.0,-2617.99,173556.03,True
2024-08-14,Short,P,10007480,3.299999952316284,2024-08-28,14,175.3091,0.0099,0.0087,3.379,3.38,-2056.96,8.0,-2064.96,171491.07,True
2024-08-15,Long,C,10007472,3.4000000953674316,2024-08-28,13,53.2581,0.0322,0.0358,3.396,3.398,1919.07,8.0,1911.07,173402.13,True
2024-08-19,Long,C,10007473,3.5,2024-08-28,9,173.4021,0.01,0.0074,3.441,3.423,-4540.25,8.0,-4548.25,168853.89,True
2024-08-20,Short,P,10007481,3.4000000953674316,2024-08-28,8,72.7818,0.0232,0.0293,3.404,3.395,4439.69,8.0,4431.69,173285.58,False
2024-08-30,Long,C,10006752,3.4000000953674316,2024-09-25,26,45.6015,0.038,0.0489,3.382,3.398,4978.92,8.0,4970.92,178256.5,True
2024-09-23,Long,C,10007730,3.299999952316284,2024-10-23,30,39.6211,0.045,0.039,3.293,3.284,-2361.37,8.0,-2369.37,175887.13,True
2024-09-25,Long,C,10007733,3.5999999046325684,2024-10-23,28,58.6811,0.03,0.0286,3.519,3.474,-807.78,8.0,-815.78,175071.35,True
2024-09-27,Long,C,10007735,3.799999952316284,2024-10-23,26,17.9745,0.0974,0.195,3.718,3.842,17545.96,8.0,17537.96,192609.31,True
2024-09-30,Long,C,10007965,4.0,2024-10-23,23,12.5642,0.1533,0.2789,3.939,4.127,15778.51,8.0,15770.51,208379.82,True
2024-10-08,Short,P,10008075,4.5,2024-10-23,15,8.1718,0.255,0.2863,4.554,4.363,2561.57,8.0,2553.57,210933.39,True
2024-10-16,Long,C,10007965,4.0,2024-10-23,7,65.9167,0.032,0.0231,3.934,3.901,-5840.44,8.0,-5848.44,205084.95,True
2024-10-22,Long,C,10008003,4.099999904632568,2024-11-27,36,16.963,0.1209,0.1223,4.026,4.029,229.61,8.0,221.61,205306.57,False
2024-10-28,Short,P,10007968,4.0,2024-11-27,30,19.2415,0.1067,0.1,4.017,4.032,-1289.18,8.0,-1297.18,204009.39,False
2024-11-01,Long,C,10008003,4.099999904632568,2024-11-27,26,20.9886,0.0972,0.0923,4.002,3.992,-1028.44,8.0,-1036.44,202972.95,False
2024-11-07,Long,C,10008004,4.199999809265137,2024-11-27,20,22.628,0.0897,0.1241,4.116,4.208,7784.02,8.0,7776.02,210748.97,False
2024-11-12,Long,C,10008005,4.300000190734863,2024-11-27,15,31.0839,0.0678,0.0497,4.253,4.157,-5622.15,8.0,-5630.15,205118.82,True
2024-11-29,Long,C,10007231,4.0,2024-12-25,26,27.6068,0.0743,0.1021,3.968,4.009,7681.33,8.0,7673.33,212792.15,True
2024-12-10,Short,P,10007254,4.099999904632568,2024-12-25,15,30.3989,0.07,0.0801,4.125,4.09,3070.29,8.0,3062.29,215854.43,False
2024-12-17,Long,C,10007253,4.099999904632568,2024-12-25,8,98.1157,0.022,0.0174,4.029,4.004,-4474.07,8.0,-4482.07,211372.36,True
2024-12-23,Long,C,10008414,4.099999904632568,2025-01-22,30,32.5919,0.0649,0.0581,4.037,4.024,-2214.71,8.0,-2222.71,209149.65,True
2024-12-30,Long,C,10008414,4.099999904632568,2025-01-22,23,29.0083,0.0721,0.0722,4.088,4.091,29.01,8.0,21.01,209170.66,False
2025-01-16,Long,C,10008594,4.0,2025-02-26,41,34.1512,0.0612,0.0494,3.908,3.879,-4046.12,8.0,-4054.12,205116.54,True
2025-02-05,Short,P,10008601,3.799999952316284,2025-02-26,21,86.1834,0.0238,0.0255,3.897,3.886,1447.88,8.0,1439.88,206556.42,True
2025-02-11,Short,P,10008602,3.9000000953674316,2025-02-26,15,86.4253,0.0239,0.0208,3.976,3.974,-2711.45,8.0,-2719.45,203836.97,True
2025-03-12,Short,P,10007970,4.0,2025-03-26,14,60.3068,0.0338,0.0302,4.033,4.033,-2163.61,8.0,-2171.61,201665.36,True
2025-03-14,Long,C,10008013,4.099999904632568,2025-03-26,12,61.8605,0.0326,0.0476,4.063,4.1,9274.96,8.0,9266.96,210932.32,True
2025-05-07,Short,P,10009081,3.9000000953674316,2025-05-28,21,52.9981,0.0398,0.0436,3.926,3.915,2013.93,8.0,2005.93,212938.25,False
2025-05-08,Long,C,10009073,4.0,2025-05-28,20,79.1592,0.0269,0.0264,3.954,3.952,-416.91,8.0,-424.91,212513.34,True
2025-05-13,Short,P,10009082,4.0,2025-05-28,15,48.7416,0.0436,0.0443,4.001,3.997,341.19,8.0,333.19,212846.53,False
2025-06-11,Long,C,10008283,4.099999904632568,2025-06-25,14,147.8101,0.0144,0.0116,4.019,4.007,-4203.72,8.0,-4211.72,208634.82,True
2025-06-24,Long,C,10009442,4.0,2025-07-23,29,77.5021,0.0269,0.0257,3.932,3.934,-957.47,8.0,-965.47,207669.35,True
2025-08-14,Long,C,10009534,4.300000190734863,2025-08-27,13,45.8431,0.0453,0.0437,4.283,4.271,-721.11,8.0,-729.11,206940.24,True
2025-08-22,Long,C,10009607,4.5,2025-09-24,33,34.6231,0.0598,0.0866,4.403,4.467,9297.14,8.0,9289.14,216229.38,False
2025-08-25,Long,C,10009629,4.599999904632568,2025-09-24,30,31.1114,0.0695,0.0721,4.513,4.545,794.02,8.0,786.02,217015.4,True
2025-08-29,Long,C,10009629,4.599999904632568,2025-09-24,26,19.2731,0.1126,0.1139,4.582,4.592,250.55,8.0,242.55,217257.95,False
2025-10-13,Long,C,10009913,4.699999809265137,2025-10-22,9,51.4829,0.0422,0.039,4.648,4.7,-1635.78,8.0,-1643.78,215614.16,True
2025-10-16,Long,C,10010088,4.800000190734863,2025-11-26,41,25.6308,0.0841,0.0731,4.725,4.718,-2819.06,8.0,-2827.06,212787.1,True
2022-01-20,Long,C,10003862,4.824999809265137,2022-02-23,34,10.7858,0.0913,0.0964,4.812,4.822,560.15,8.0,552.15,100552.15,False
2022-02-07,Long,C,10003916,4.699999809265137,2022-02-23,16,23.7712,0.0423,0.0333,4.63,4.619,-2139.09,8.0,-2147.09,98405.06,True
2022-02-22,Short,P,10003560,4.5289998054504395,2022-03-23,29,18.1648,0.0533,0.0509,4.555,4.561,-453.14,8.0,-461.14,97943.92,False
2022-02-25,Long,C,10003933,4.599999904632568,2022-03-23,26,12.8367,0.0763,0.0625,4.599,4.56,-1768.04,8.0,-1776.04,96167.88,True
2022-03-07,Short,P,10003558,4.331999778747559,2022-03-23,16,19.207,0.0493,0.07,4.39,4.344,4037.88,8.0,4029.88,100197.76,False
2022-03-15,Short,P,10004086,4.0,2022-03-23,8,14.6702,0.0683,0.0487,4.072,4.02,-2869.35,8.0,-2877.35,97320.4,True
2022-04-11,Short,P,10004074,4.099999904632568,2022-04-27,16,16.6645,0.0584,0.0659,4.152,4.101,1248.5,8.0,1240.5,98560.9,True
2022-04-18,Short,P,10004074,4.099999904632568,2022-04-27,9,21.9512,0.0449,0.037,4.141,4.147,-1726.54,8.0,-1734.54,96826.37,True
2022-04-27,Long,C,10004181,3.9000000953674316,2022-05-25,28,12.2074,0.0793,0.1088,3.804,3.871,3602.52,8.0,3594.52,100420.89,False
2022-05-06,Short,P,10004190,3.9000000953674316,2022-05-25,19,13.6441,0.0736,0.0875,3.93,3.903,1896.54,8.0,1888.54,102309.42,False
2022-05-11,Long,C,10004182,4.0,2022-05-25,14,21.9078,0.0467,0.0685,3.946,3.982,4772.83,8.0,4764.83,107074.26,True
2022-05-20,Long,C,10004031,4.099999904632568,2022-06-22,33,14.2998,0.0749,0.0831,4.051,4.069,1175.46,8.0,1167.46,108241.71,False
2022-05-23,Short,P,10004094,4.0,2022-06-22,30,17.6223,0.0614,0.0634,4.05,4.045,344.88,8.0,336.88,108578.6,False
2022-05-27,Long,C,10004031,4.099999904632568,2022-06-22,26,21.7157,0.05,0.0446,4.034,3.998,-1168.02,8.0,-1176.02,107402.58,True
2022-06-15,Long,C,10003973,4.300000190734863,2022-06-22,7,30.3397,0.0354,0.0416,4.251,4.326,1877.42,8.0,1869.42,109272.0,True
2022-06-17,Long,C,10004306,4.300000190734863,2022-07-27,40,9.3586,0.1168,0.0925,4.288,4.326,-2266.05,8.0,-2274.05,106997.95,True
2022-06-22,Short,P,10004315,4.300000190734863,2022-07-27,35,13.0891,0.0817,0.1024,4.341,4.295,2697.9,8.0,2689.9,109687.85,False
2022-06-28,Short,P,10004316,4.400000095367432,2022-07-27,29,13.0581,0.084,0.0706,4.446,4.51,-1751.78,8.0,-1759.78,107928.07,True
2022-06-30,Long,C,10004319,4.5,2022-07-27,27,11.421,0.0945,0.1055,4.48,4.51,1250.82,8.0,1242.82,109170.89,True
2022-07-11,Short,P,10004315,4.300000190734863,2022-07-27,16,25.4478,0.0429,0.0408,4.398,4.391,-546.11,8.0,-554.11,108616.78,True
2022-08-02,Short,P,10004370,4.099999904632568,2022-08-24,22,19.1902,0.0566,0.0699,4.194,4.173,2556.14,8.0,2548.14,111164.92,True
2022-08-03,Long,C,10004362,4.199999809265137,2022-08-24,21,14.6077,0.0761,0.0641,4.172,4.135,-1759.94,8.0,-1767.94,109396.98,True
2022-09-21,Short,P,10004097,3.9000000953674316,2022-09-28,7,53.8901,0.0203,0.0151,3.951,3.972,-2794.38,8.0,-2802.38,106594.6,True
2022-09-28,Short,P,10004486,3.9000000953674316,2022-10-26,28,15.4566,0.069,0.0786,3.921,3.9,1485.07,8.0,1477.07,108071.67,False
2022-11-04,Long,C,10004616,3.799999952316284,2022-11-23,19,18.1025,0.0597,0.0944,3.773,3.834,6281.55,8.0,6273.55,114345.22,False
2022-11-10,Short,P,10004624,3.700000047683716,2022-11-23,13,27.096,0.0422,0.0338,3.74,3.745,-2270.2,8.0,-2278.2,112067.02,True
2022-11-14,Long,C,10004617,3.9000000953674316,2022-11-23,9,19.9053,0.0563,0.0424,3.898,3.852,-2775.8,8.0,-2783.8,109283.22,True
2022-11-21,Short,P,10004266,3.700000047683716,2022-12-28,37,23.0456,0.0474,0.0389,3.798,3.821,-1971.33,8.0,-1979.33,107303.89,True
2022-11-28,Short,P,10004266,3.700000047683716,2022-12-28,30,15.5513,0.069,0.059,3.75,3.79,-1547.66,8.0,-1555.66,105748.23,True
2023-01-05,Long,C,10004804,4.099999904632568,2023-01-30,25,36.7181,0.0288,0.0301,4.008,4.034,470.97,8.0,462.97,106211.2,True
2023-02-02,Short,P,10004973,4.135000228881836,2023-02-22,20,24.8384,0.0421,0.0452,4.185,4.177,782.08,8.0,774.08,106985.28,False
2023-02-06,Short,P,10004972,4.0370001792907715,2023-02-22,16,30.7089,0.0343,0.0396,4.098,4.071,1646.58,8.0,1638.58,108623.85,True
2023-03-13,Long,C,10005054,4.0,2023-03-22,9,30.0897,0.0361,0.0429,3.978,3.998,2046.1,8.0,2038.1,110661.95,False
2023-04-21,Short,P,10005292,4.0,2023-05-24,33,42.8325,0.0258,0.0444,4.098,4.039,7967.91,8.0,7959.91,118621.86,False
2023-05-17,Short,P,10005291,3.9000000953674316,2023-05-24,7,117.4474,0.0101,0.0077,3.964,3.948,-2818.74,8.0,-2826.74,115795.12,True
2023-05-24,Short,P,10004712,3.8399999141693115,2023-06-28,35,21.328,0.0535,0.0584,3.877,3.865,1061.15,8.0,1053.15,116848.27,False
2023-05-26,Short,P,10005079,3.799999952316284,2023-06-28,33,23.323,0.0501,0.0458,3.833,3.858,-1014.08,8.0,-1022.08,115826.19,True
2023-05-31,Short,P,10005079,3.799999952316284,2023-06-28,28,22.1889,0.0522,0.0542,3.814,3.798,437.86,8.0,429.86,116256.05,True
2023-06-05,Short,P,10004712,3.8399999141693115,2023-06-28,23,25.7791,0.0444,0.0452,3.856,3.848,209.47,8.0,201.47,116457.52,False
2023-06-19,Short,P,10004713,3.937999963760376,2023-06-28,9,53.0821,0.0216,0.0264,3.962,3.945,2587.94,8.0,2579.94,119037.47,False
2023-07-03,Long,C,10005422,4.0,2023-07-26,23,43.9253,0.0271,0.0281,3.919,3.927,439.25,8.0,431.25,119468.72,False
2023-07-13,Long,C,10005422,4.0,2023-07-26,13,67.1173,0.0178,0.021,3.937,3.951,2147.75,8.0,2139.75,121608.47,False
2023-07-17,Short,P,10005430,3.9000000953674316,2023-07-26,9,45.7175,0.0266,0.0244,3.918,3.918,-1026.81,8.0,-1034.81,120573.66,True
2023-07-25,Long,C,10005666,4.0,2023-08-23,29,25.9092,0.0465,0.0584,3.952,3.979,3077.75,8.0,3069.75,123643.41,False
2023-07-31,Long,C,10005668,4.199999809265137,2023-08-23,23,29.2301,0.0423,0.0359,4.116,4.083,-1862.54,8.0,-1870.54,121772.86,True
2023-08-07,Short,P,10005675,4.0,2023-08-23,16,48.9048,0.0249,0.0282,4.068,4.053,1613.86,8.0,1605.86,123378.72,False
2023-08-08,Short,P,10005675,4.0,2023-08-23,15,39.5445,0.0312,0.0244,4.043,4.052,-2682.7,8.0,-2690.7,120688.02,True
2023-08-11,Short,P,10005675,4.0,2023-08-23,12,33.6178,0.0359,0.0653,4.022,3.967,9883.64,8.0,9875.64,130563.67,False
2023-09-06,Short,P,10005132,3.799999952316284,2023-09-27,21,48.7178,0.0268,0.0223,3.871,3.889,-2188.4,8.0,-2196.4,128367.27,True
2023-09-07,Short,P,10005132,3.799999952316284,2023-09-27,20,44.2646,0.029,0.0351,3.859,3.831,2688.19,8.0,2680.19,131047.45,True
2023-09-25,Short,P,10005943,3.700000047683716,2023-10-25,30,38.2912,0.0342,0.0357,3.789,3.784,565.87,8.0,557.87,131605.32,False
2023-10-09,Short,P,10005943,3.700000047683716,2023-10-25,16,49.4757,0.0266,0.0228,3.746,3.754,-1873.48,8.0,-1881.48,129723.84,True
2023-10-13,Short,P,10005943,3.700000047683716,2023-10-25,12,71.6706,0.0181,0.022,3.738,3.728,2795.15,8.0,2787.15,132511.0,False
2023-10-18,Short,P,10005942,3.5999999046325684,2023-10-25,7,276.0646,0.0048,0.0034,3.686,3.681,-3782.09,8.0,-3790.09,128720.91,True
2023-11-01,Short,P,10006054,3.5999999046325684,2023-11-22,21,41.6573,0.0309,0.0282,3.642,3.641,-1144.46,8.0,-1152.46,127568.45,True
2023-11-20,Short,P,10005356,3.5999999046325684,2023-12-27,37,23.534,0.0542,0.0417,3.613,3.644,-2953.85,8.0,-2961.85,124606.6,True
2023-11-21,Long,C,10005348,3.700000047683716,2023-12-27,36,21.1427,0.0589,0.0485,3.679,3.646,-2206.39,8.0,-2214.39,122392.2,True
2023-11-27,Short,P,10005392,3.5,2023-12-27,30,42.0592,0.0291,0.0266,3.569,3.578,-1034.8,8.0,-1042.8,121349.41,True
2023-11-29,Short,P,10005392,3.5,2023-12-27,28,45.9657,0.0264,0.0303,3.568,3.554,1792.66,8.0,1784.66,123134.07,False
2023-12-01,Short,P,10005392,3.5,2023-12-27,26,36.5383,0.0337,0.0345,3.539,3.547,308.75,8.0,300.75,123434.82,True
2023-12-11,Short,P,10005468,3.4000000953674316,2023-12-27,16,31.8953,0.0387,0.0305,3.421,3.495,-2612.23,8.0,-2620.23,120814.59,True
2023-12-13,Short,P,10005468,3.4000000953674316,2023-12-27,14,78.451,0.0154,0.0234,3.471,3.445,6276.08,8.0,6268.08,127082.68,False
2023-12-28,Long,C,10006294,3.5,2024-01-24,27,36.6233,0.0347,0.0555,3.439,3.484,7617.64,8.0,7609.64,134692.31,False
