date,direction,option_type,contract,strike,expiry,dtm,contracts,entry_px,exit_px,spot_entry,spot_exit,gross_pnl,commission,net_pnl,capital,stop_hit
2022-01-17,Long,C,10003730,4.900000095367432,2022-01-26,9,40.0,0.025,0.0242,4.824,4.838,-312.4,8.0,-320.4,99679.6,True
2022-01-20,Long,C,10003862,4.824999809265137,2022-02-23,34,10.7513,0.0913,0.0964,4.812,4.822,558.35,8.0,550.35,100229.95,False
2022-02-07,Long,C,10003916,4.699999809265137,2022-02-23,16,23.695,0.0423,0.0333,4.63,4.619,-2132.24,8.0,-2140.24,98089.71,True
2022-02-22,Short,P,10003560,4.5289998054504395,2022-03-23,29,18.1066,0.0533,0.0509,4.555,4.561,-451.69,8.0,-459.69,97630.03,False
2022-02-25,Long,C,10003933,4.599999904632568,2022-03-23,26,12.7955,0.0763,0.0625,4.599,4.56,-1762.37,8.0,-1770.37,95859.65,True
2022-03-07,Short,P,10003558,4.331999778747559,2022-03-23,16,19.1455,0.0493,0.07,4.39,4.344,4024.94,8.0,4016.94,99876.59,False
2022-03-15,Short,P,10004086,4.0,2022-03-23,8,14.6232,0.0683,0.0487,4.072,4.02,-2860.16,8.0,-2868.16,97008.44,True
2022-03-30,Long,C,10004053,4.199999809265137,2022-04-27,28,12.9345,0.075,0.1083,4.18,4.238,4307.17,8.0,4299.17,101307.61,False
2022-04-11,Short,P,10004074,4.099999904632568,2022-04-27,16,17.3472,0.0584,0.0659,4.152,4.101,1299.65,8.0,1291.65,102599.26,True
2022-04-18,Short,P,10004074,4.099999904632568,2022-04-27,9,22.8506,0.0449,0.037,4.141,4.147,-1797.28,8.0,-1805.28,100793.98,True
2022-04-21,Long,C,10004183,4.099999904632568,2022-05-25,34,10.9389,0.0921,0.0719,4.063,3.997,-2212.65,8.0,-2220.65,98573.33,True
2022-04-27,Long,C,10004181,3.9000000953674316,2022-05-25,28,12.4276,0.0793,0.1088,3.804,3.871,3667.52,8.0,3659.52,102232.85,False
2022-05-11,Long,C,10004182,4.0,2022-05-25,14,21.8914,0.0467,0.0685,3.946,3.982,4769.26,8.0,4761.26,106994.11,True
2022-05-20,Long,C,10004031,4.099999904632568,2022-06-22,33,14.2891,0.0749,0.0831,4.051,4.069,1174.58,8.0,1166.58,108160.69,False
2022-05-27,Long,C,10004031,4.099999904632568,2022-06-22,26,21.6321,0.05,0.0446,4.034,3.998,-1163.52,8.0,-1171.52,106989.16,True
2022-06-07,Long,C,10004015,4.199999809265137,2022-06-22,15,18.4147,0.0581,0.0551,4.178,4.185,-545.32,8.0,-553.32,106435.85,True
2022-06-15,Long,C,10003973,4.300000190734863,2022-06-22,7,30.0666,0.0354,0.0416,4.251,4.326,1860.52,8.0,1852.52,108288.37,True
2022-06-17,Long,C,10004306,4.300000190734863,2022-07-27,40,9.2744,0.1168,0.0925,4.288,4.326,-2245.66,8.0,-2253.66,106034.71,True
2022-06-27,Long,C,10004319,4.5,2022-07-27,30,12.3296,0.086,0.082,4.457,4.478,-492.57,8.0,-500.57,105534.14,True
2022-06-30,Long,C,10004319,4.5,2022-07-27,27,11.1676,0.0945,0.1055,4.48,4.51,1223.08,8.0,1215.08,106749.22,True
