conviction_bin,n_days,active_trades,total_pnl,cost_sharpe,win_rate
0.0 ~ 0.3,368,0,-0.0111,-5.187,0.0%
0.3 ~ 0.6,289,20,-0.0084,-4.645,20.0%
0.6 ~ 0.9,188,60,0.0094,0.973,45.0%
0.9 ~ 1.2,86,33,-0.0114,-1.13,42.4%
1.2 ~ 1.5,25,16,0.0358,4.924,68.8%
> 1.5,13,10,0.0549,5.9,70.0%
