etf,glm_sharpe,glm_pnl,glm_maxdd,glm_winrate,glm_alpha,rank_sharpe,rank_pnl,rank_maxdd,rank_winrate,gate_verdict
300ETF,0.919,0.1663,0.0469,63.0,0.01,0.707,0.1447,0.0474,55.9,PASS
500ETF,0.711,0.2871,0.103,57.0,3.2,0.768,0.2799,0.1182,55.9,FAIL
50ETF,,,,,,,,,,SKIP
588000ETF,,,,,,,,,,SKIP
159915ETF,1.184,0.586,0.1098,59.0,0.011000000000000001,1.46,0.6359,0.091,61.1,FAIL
