conviction_bin,n_days,active_trades,total_pnl,cost_sharpe,win_rate
0.0 ~ 0.3,252,0,-0.0115,-7.265,0.0%
0.3 ~ 0.6,290,46,-0.0148,-5.037,39.1%
0.6 ~ 0.9,235,102,0.0219,1.706,58.8%
0.9 ~ 1.2,146,74,0.0488,2.386,59.5%
1.2 ~ 1.5,33,22,-0.0292,-2.218,36.4%
> 1.5,13,9,0.0424,4.162,66.7%
