rank_index,feature,weight,deflated_ic,ic_ir,mono,composite_score,oos_ic,total_weighted_pnl,rank
29,combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,0.0469,0.343,1.0529,0.8358,0.9891,0.0976,0.039591,1
30,combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,0.0459,0.2935,1.0535,0.8287,0.9047,0.1136,0.047259,2
22,combo_clamp_diff__max_up_ret__volume_weighted_momentum_acceleration,0.0449,0.3175,0.8965,0.7965,0.8766,0.1001,0.046089,3
32,combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,0.0439,0.3181,0.8001,0.7789,0.8328,0.1183,0.050916,4
20,combo_ratio__max_down_ret__volume_weighted_momentum_acceleration,0.0423,0.2624,0.9245,0.8188,0.7531,0.0136,0.002251,5
27,combo_rel_diff__max_up_ret__late_bar_momentum,0.0423,0.2746,0.9765,0.7777,0.7531,0.0619,0.02697,6
31,combo_rel_diff__star50_limit_proximity_early__volume_weighted_momentum_acceleration,0.0408,0.3273,0.7514,0.7625,0.7516,0.0701,0.029452,7
23,combo_clamp_diff__first_bar_return__demark_setup_reversal_early,0.0398,0.3022,0.752,0.7654,0.7281,0.1135,0.047255,8
26,combo_sig_product__max_up_ret__close_vs_open_range,0.0388,0.2832,0.838,0.7607,0.6766,0.1185,0.03477,9
16,combo_rank_max__max_up_ret__early_body_momentum,0.0378,0.2435,0.9504,0.8111,0.6688,0.1241,0.048607,10
10,combo_rank_min__max_up_ret__close_vs_open_range,0.0368,0.26,0.7362,0.7871,0.5891,0.122,0.04447,11
13,combo_sig_product__max_up_ret__volume_weighted_momentum_acceleration,0.0358,0.2542,0.7886,0.7695,0.5812,0.1013,0.03444,12
6,combo_ratio__max_down_ret__net_volume_flow,0.0348,0.2235,0.8478,0.7883,0.5703,0.0174,0.001539,13
15,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.0338,0.2841,0.7264,0.7355,0.5672,0.103,0.034499,14
25,combo_min__star50_limit_proximity_early__max_down_ret,0.0328,0.2586,0.779,0.7619,0.5641,0.089,0.018922,15
28,combo_rank_min__rbreaker_sell_setup_proximity_early__bar_ret_0,0.0318,0.3071,0.6262,0.7314,0.5242,0.0921,0.029947,16
14,combo_tri_min__net_volume_flow__star50_limit_proximity_early__close_vs_open_range,0.0307,0.2903,0.6385,0.739,0.5234,0.1172,0.028454,17
8,combo_mean__star50_limit_proximity_early__close_vs_open_range,0.0297,0.2588,0.7485,0.7507,0.5172,0.0985,0.023826,18
19,combo_diff__star50_limit_proximity_early__volume_weighted_momentum_acceleration,0.0287,0.2867,0.7018,0.7226,0.5109,0.0583,0.014977,19
18,combo_rank_min__close_vs_open_range__bar_ret_0,0.0277,0.2419,0.7706,0.763,0.5062,0.094,0.0261,20
4,rbreaker_sell_setup_proximity_early,0.0267,0.2831,0.6705,0.7337,0.4906,0.0726,0.015083,21
21,combo_min__star50_limit_proximity_early__bar_ret_0,0.0257,0.2961,0.5518,0.6962,0.4266,0.114,0.022883,22
24,combo_rank_max__first_bar_sentiment__max_down_ret,0.0247,0.2649,0.6328,0.7314,0.4102,0.08,0.02016,23
12,combo_rel_diff__max_up_ret__early_order_flow_imbalance,0.0237,0.2554,0.651,0.7238,0.3609,0.0047,0.000972,24
9,combo_rank_max__rbreaker_sell_setup_proximity_early__max_up_ret,0.0227,0.2078,0.671,0.7284,0.2906,0.0905,0.020588,25
3,combo_rel_diff__max_up_ret__early_body_momentum,0.0217,0.2417,0.6395,0.7067,0.2641,0.0341,0.006906,26
7,combo_max__star50_limit_proximity_early__bar_ret_0,0.0207,0.1946,0.726,0.7214,0.2516,0.0642,0.011993,27
17,combo_rank_min__bar_ret_0__rbreaker_buy_setup_proximity_early,0.0197,0.2534,0.4654,0.6323,0.1969,0.0762,0.014649,28
11,combo_mean__bar_ret_0__max_down_ret,0.0186,0.2263,0.5667,0.6481,0.1766,0.137,0.022271,29
2,combo_sig_product__star50_limit_proximity_early__bar_ret_0,0.0176,0.1999,0.3439,0.6633,0.0906,0.0891,0.014725,30
5,combo_ratio__max_down_ret__early_order_flow_imbalance,0.0166,0.1618,0.4571,0.6716,0.0844,0.088,0.003352,31
1,combo_sig_product__rbreaker_sell_setup_proximity_early__max_up_ret,0.0156,0.2013,0.3379,0.6129,0.0688,0.098,0.013542,32
