date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,300ETF,Spot ETF,ensemble,-1.251,1.3,-1.0,1,0.003412,-0.002611,0.0008,-0.003411,-0.003411
2022-01-05,300ETF,Spot ETF,ensemble,-0.6646,1.3,0.0,0,-0.004237,0.0,0.0,0.0,-0.003411
2022-01-06,300ETF,Spot ETF,ensemble,0.0362,1.3,0.0,0,-0.004901,0.0,0.0,0.0,-0.003411
2022-01-07,300ETF,Spot ETF,ensemble,1.0533,1.3,0.0,0,-0.003257,0.0,0.0,0.0,-0.003411
2022-01-10,300ETF,Spot ETF,ensemble,-0.0396,1.3,0.0,0,0.003877,0.0,0.0,0.0,-0.003411
2022-01-11,300ETF,Spot ETF,ensemble,-0.4857,1.3,0.0,0,-0.005926,0.0,0.0,0.0,-0.003411
2022-01-12,300ETF,Spot ETF,ensemble,-0.137,1.3,0.0,0,0.005708,0.0,0.0,0.0,-0.003411
2022-01-13,300ETF,Spot ETF,ensemble,-0.9602,1.3,0.0,0,-0.0123,0.0,0.0,0.0,-0.003411
2022-01-14,300ETF,Spot ETF,ensemble,-0.7354,1.3,0.0,0,-0.000831,0.0,0.0,0.0,-0.003411
2022-01-17,300ETF,Spot ETF,ensemble,1.2023,1.3,0.0,0,0.002898,0.0,0.0,0.0,-0.003411
2022-01-18,300ETF,Spot ETF,ensemble,0.6012,1.3,0.0,0,0.004518,0.0,0.0,0.0,-0.003411
2022-01-19,300ETF,Spot ETF,ensemble,0.0104,1.3,0.0,0,-0.004805,0.0,0.0,0.0,-0.003411
2022-01-20,300ETF,Spot ETF,ensemble,1.5551,1.3,1.0,1,0.002076,0.00187,0.0008,0.00107,-0.002342
2022-01-21,300ETF,Spot ETF,ensemble,-1.0231,1.3,0.0,0,-0.005218,0.0,0.0,0.0,-0.002342
2022-01-24,300ETF,Spot ETF,ensemble,0.4781,1.3,0.0,0,0.003353,0.0,0.0,0.0,-0.002342
2022-01-25,300ETF,Spot ETF,ensemble,0.1095,1.3,0.0,0,-0.013315,0.0,0.0,0.0,-0.002342
2022-01-26,300ETF,Spot ETF,ensemble,0.8615,1.3,0.0,0,0.001703,0.0,0.0,0.0,-0.002342
2022-01-27,300ETF,Spot ETF,ensemble,-0.6778,1.3,0.0,0,-0.013109,0.0,0.0,0.0,-0.002342
2022-01-28,300ETF,Spot ETF,ensemble,0.1684,1.3,0.0,0,-0.004789,0.0,0.0,0.0,-0.002342
2022-02-07,300ETF,Spot ETF,ensemble,1.5851,1.3,1.0,1,-0.002379,-0.001081,0.0008,-0.001881,-0.004223
2022-02-08,300ETF,Spot ETF,ensemble,-1.1851,1.3,0.0,0,-0.000218,0.0,0.0,0.0,-0.004223
2022-02-09,300ETF,Spot ETF,ensemble,0.2274,1.3,0.0,0,0.011906,0.0,0.0,0.0,-0.004223
2022-02-10,300ETF,Spot ETF,ensemble,-1.1798,1.3,0.0,0,0.000432,0.0,0.0,0.0,-0.004223
2022-02-11,300ETF,Spot ETF,ensemble,1.0534,1.3,0.0,0,-0.010159,0.0,0.0,0.0,-0.004223
2022-02-14,300ETF,Spot ETF,ensemble,-0.1089,1.3,0.0,0,-0.011178,0.0,0.0,0.0,-0.004223
2022-02-15,300ETF,Spot ETF,ensemble,0.6966,1.3,0.0,0,0.001531,0.0,0.0,0.0,-0.004223
2022-02-16,300ETF,Spot ETF,ensemble,-0.1828,1.3,0.0,0,-0.003467,0.0,0.0,0.0,-0.004223
2022-02-17,300ETF,Spot ETF,ensemble,-0.4607,1.3,0.0,0,-0.000433,0.0,0.0,0.0,-0.004223
2022-02-18,300ETF,Spot ETF,ensemble,0.0842,1.3,0.0,0,0.004543,0.0,0.0,0.0,-0.004223
2022-02-21,300ETF,Spot ETF,ensemble,-0.865,1.3,0.0,0,-0.000433,0.0,0.0,0.0,-0.004223
2022-02-22,300ETF,Spot ETF,ensemble,-1.4451,1.3,-1.0,1,0.001316,-0.000658,0.0008,-0.001458,-0.005681
2022-02-23,300ETF,Spot ETF,ensemble,0.5674,1.3,0.0,0,0.006313,0.0,0.0,0.0,-0.005681
2022-02-24,300ETF,Spot ETF,ensemble,-0.312,1.3,0.0,0,-0.018244,0.0,0.0,0.0,-0.005681
2022-02-25,300ETF,Spot ETF,ensemble,1.4953,1.3,1.0,1,-0.008516,-0.007401,0.0008,-0.008201,-0.013882
2022-02-28,300ETF,Spot ETF,ensemble,-0.0183,1.3,0.0,0,0.004836,0.0,0.0,0.0,-0.013882
2022-03-01,300ETF,Spot ETF,ensemble,0.7186,1.3,0.0,0,0.003259,0.0,0.0,0.0,-0.013882
2022-03-02,300ETF,Spot ETF,ensemble,-1.1632,1.3,0.0,0,0.002625,0.0,0.0,0.0,-0.013882
2022-03-03,300ETF,Spot ETF,ensemble,-0.5922,1.3,0.0,0,-0.004832,0.0,0.0,0.0,-0.013882
2022-03-04,300ETF,Spot ETF,ensemble,-1.2199,1.3,-1.0,1,-0.00534,0.005988,0.0008,0.005188,-0.008694
2022-03-07,300ETF,Spot ETF,ensemble,-1.679,1.3,-1.0,1,-0.010534,0.011379,0.0008,0.010579,0.001885
2022-03-08,300ETF,Spot ETF,ensemble,0.9057,1.3,0.0,0,-0.017889,0.0,0.0,0.0,0.001885
2022-03-09,300ETF,Spot ETF,ensemble,-0.1974,1.3,0.0,0,-0.01391,0.0,0.0,0.0,0.001885
2022-03-10,300ETF,Spot ETF,ensemble,-0.2475,1.3,0.0,0,-0.002098,0.0,0.0,0.0,0.001885
2022-03-11,300ETF,Spot ETF,ensemble,-1.0604,1.3,0.0,0,0.014746,0.0,0.0,0.0,0.001885
2022-03-14,300ETF,Spot ETF,ensemble,-0.7582,1.3,0.0,0,-0.017963,0.0,0.0,0.0,0.001885
2022-03-15,300ETF,Spot ETF,ensemble,-1.9307,1.3,-1.0,1,-0.012852,0.012042,0.0008,0.011242,0.013127
2022-03-16,300ETF,Spot ETF,ensemble,-0.7771,1.3,0.0,0,0.031298,0.0,0.0,0.0,0.013127
2022-03-17,300ETF,Spot ETF,ensemble,1.0898,1.3,0.0,0,0.007572,0.0,0.0,0.0,0.013127
2022-03-18,300ETF,Spot ETF,ensemble,0.093,1.3,0.0,0,0.011092,0.0,0.0,0.0,0.013127
2022-03-21,300ETF,Spot ETF,ensemble,-0.9665,1.3,0.0,0,-0.003995,0.0,0.0,0.0,0.013127
2022-03-22,300ETF,Spot ETF,ensemble,0.263,1.3,0.0,0,-0.002826,0.0,0.0,0.0,0.013127
2022-03-23,300ETF,Spot ETF,ensemble,-1.0477,1.3,0.0,0,0.00399,0.0,0.0,0.0,0.013127
2022-03-24,300ETF,Spot ETF,ensemble,-0.9352,1.3,0.0,0,0.00589,0.0,0.0,0.0,0.013127
2022-03-25,300ETF,Spot ETF,ensemble,-0.1097,1.3,0.0,0,-0.015666,0.0,0.0,0.0,0.013127
2022-03-28,300ETF,Spot ETF,ensemble,-1.0464,1.3,0.0,0,0.007278,0.0,0.0,0.0,0.013127
2022-03-29,300ETF,Spot ETF,ensemble,0.7727,1.3,0.0,0,-0.009406,0.0,0.0,0.0,0.013127
2022-03-30,300ETF,Spot ETF,ensemble,1.1745,1.3,0.0,0,0.01378,0.0,0.0,0.0,0.013127
2022-03-31,300ETF,Spot ETF,ensemble,-0.1567,1.3,0.0,0,0.0,0.0,0.0,0.0,0.013127
2022-04-01,300ETF,Spot ETF,ensemble,0.601,1.3,0.0,0,0.01131,0.0,0.0,0.0,0.013127
2022-04-06,300ETF,Spot ETF,ensemble,-0.0752,1.3,0.0,0,-0.003531,0.0,0.0,0.0,0.013127
2022-04-07,300ETF,Spot ETF,ensemble,0.9116,1.3,0.0,0,-0.008507,0.0,0.0,0.0,0.013127
