conviction_bin,n_days,active_trades,total_pnl,cost_sharpe,win_rate
0.0 ~ 0.3,246,0,-0.0106,-7.265,0.0%
0.3 ~ 0.6,286,37,-0.0144,-6.004,29.7%
0.6 ~ 0.9,258,118,0.0206,1.186,55.9%
0.9 ~ 1.2,145,72,0.0446,1.935,59.7%
1.2 ~ 1.5,30,27,0.0399,1.986,44.4%
> 1.5,4,3,-0.0273,-11.147,33.3%
