etf,metric,span,trades,cost_sharpe,raw_sharpe,pnl,max_dd,win_rate,turnover
300ETF,static,10,143,0.707,1.68,0.1447,0.0474,55.9,66.06
300ETF,true_ic,10,24,1.081,1.306,0.1607,0.0278,75.0,11.96
300ETF,prod_ic,10,91,0.517,1.242,0.0942,0.0607,53.8,43.69
300ETF,ic_ir,10,89,0.616,1.326,0.1099,0.0433,56.2,42.13
300ETF,mono,10,92,0.757,1.442,0.1459,0.0551,57.6,43.69
300ETF,multi_b3,10,118,0.49,1.337,0.1032,0.0547,54.2,58.25
300ETF,multi_equal,10,85,0.788,1.442,0.1492,0.0421,57.6,41.09
300ETF,ic_plus_mono,10,79,0.65,1.276,0.1227,0.0597,57.0,39.01
500ETF,static,10,270,0.768,1.71,0.2799,0.1182,55.9,111.83
500ETF,true_ic,10,221,0.801,1.669,0.2602,0.1176,58.4,92.06
500ETF,prod_ic,10,292,0.929,1.957,0.3518,0.1064,58.2,126.39
500ETF,ic_ir,10,263,0.982,1.874,0.353,0.1222,56.7,104.54
500ETF,mono,10,360,0.665,1.834,0.2659,0.1391,55.8,151.36
500ETF,multi_b3,10,228,1.002,1.83,0.3482,0.1167,58.8,94.14
500ETF,multi_equal,10,228,1.0,1.832,0.3472,0.1167,58.8,94.66
500ETF,ic_plus_mono,10,322,0.577,1.722,0.2171,0.1436,57.1,139.39
159915ETF,static,10,239,1.46,2.22,0.6359,0.091,61.1,108.71
159915ETF,true_ic,10,701,1.074,2.219,0.6814,0.1629,54.4,234.32
159915ETF,prod_ic,10,743,1.074,2.254,0.6945,0.1739,53.6,245.76
159915ETF,ic_ir,10,721,0.974,2.141,0.6277,0.1551,53.4,242.64
159915ETF,mono,10,330,1.063,2.0,0.5077,0.1193,56.7,145.63
159915ETF,multi_b3,10,696,1.081,2.23,0.6858,0.1621,54.5,234.84
159915ETF,multi_equal,10,567,1.181,2.277,0.6375,0.0963,57.0,192.19
159915ETF,ic_plus_mono,10,566,1.178,2.274,0.6365,0.093,57.1,192.19
