date,etf,asset_type,scheme,z_composite,z_th,position,is_trade,trade_return,raw_pnl,fee,net_pnl,cum_pnl
2022-01-04,159915ETF,Spot ETF,ew,-1.3376,0.9,-1.0,1,-0.006299,0.008204,0.0008,0.007404,0.007404
2022-01-05,159915ETF,Spot ETF,ew,-1.2807,0.9,-1.0,1,-0.011132,0.011609,0.0008,0.010809,0.018214
2022-01-06,159915ETF,Spot ETF,ew,-0.5353,0.9,0.0,0,-0.001098,0.0,0.0,0.0,0.018214
2022-01-07,159915ETF,Spot ETF,ew,-0.0331,0.9,0.0,0,-0.008072,0.0,0.0,0.0,0.018214
2022-01-10,159915ETF,Spot ETF,ew,-1.1869,0.9,0.0,0,0.001693,0.0,0.0,0.0,0.018214
2022-01-11,159915ETF,Spot ETF,ew,-0.1734,0.9,0.0,0,-0.010078,0.0,0.0,0.0,0.018214
2022-01-12,159915ETF,Spot ETF,ew,0.9194,0.9,1.0,1,0.008525,0.007984,0.0008,0.007184,0.025398
2022-01-13,159915ETF,Spot ETF,ew,-1.1487,0.9,0.0,0,-0.004402,0.0,0.0,0.0,0.025398
2022-01-14,159915ETF,Spot ETF,ew,0.9852,0.9,1.0,1,0.005093,0.005996,0.0008,0.005196,0.030594
2022-01-17,159915ETF,Spot ETF,ew,0.886,0.9,0.0,0,0.008146,0.0,0.0,0.0,0.030594
2022-01-18,159915ETF,Spot ETF,ew,-0.9178,0.9,0.0,0,-0.010604,0.0,0.0,0.0,0.030594
2022-01-19,159915ETF,Spot ETF,ew,-1.0712,0.9,0.0,0,-0.013241,0.0,0.0,0.0,0.030594
2022-01-20,159915ETF,Spot ETF,ew,0.6989,0.9,0.0,0,-0.002725,0.0,0.0,0.0,0.030594
2022-01-21,159915ETF,Spot ETF,ew,-0.8914,0.9,0.0,0,-0.010527,0.0,0.0,0.0,0.030594
2022-01-24,159915ETF,Spot ETF,ew,0.993,0.9,1.0,1,0.00184,0.001695,0.0008,0.000895,0.031489
2022-01-25,159915ETF,Spot ETF,ew,0.1336,0.9,0.0,0,-0.01902,0.0,0.0,0.0,0.031489
2022-01-26,159915ETF,Spot ETF,ew,0.7262,0.9,0.0,0,0.007109,0.0,0.0,0.0,0.031489
2022-01-27,159915ETF,Spot ETF,ew,-0.4119,0.9,0.0,0,-0.023091,0.0,0.0,0.0,0.031489
2022-01-28,159915ETF,Spot ETF,ew,-0.1208,0.9,0.0,0,0.006329,0.0,0.0,0.0,0.031489
2022-02-07,159915ETF,Spot ETF,ew,0.1045,0.9,0.0,0,-0.016822,0.0,0.0,0.0,0.031489
2022-02-08,159915ETF,Spot ETF,ew,-1.5051,0.9,-1.0,1,-0.005085,0.003984,0.0008,0.003184,0.034673
2022-02-09,159915ETF,Spot ETF,ew,-0.7109,0.9,0.0,0,0.021749,0.0,0.0,0.0,0.034673
2022-02-10,159915ETF,Spot ETF,ew,-1.116,0.9,0.0,0,-0.002752,0.0,0.0,0.0,0.034673
2022-02-11,159915ETF,Spot ETF,ew,-1.0372,0.9,0.0,0,-0.020078,0.0,0.0,0.0,0.034673
2022-02-14,159915ETF,Spot ETF,ew,1.6495,0.9,1.0,1,-0.021495,-0.020484,0.001,-0.021484,0.013188
2022-02-15,159915ETF,Spot ETF,ew,0.8833,0.9,0.0,0,0.014178,0.0,0.0,0.0,0.013188
2022-02-16,159915ETF,Spot ETF,ew,-0.9429,0.9,0.0,0,-0.005412,0.0,0.0,0.0,0.013188
2022-02-17,159915ETF,Spot ETF,ew,-0.049,0.9,0.0,0,0.006443,0.0,0.0,0.0,0.013188
2022-02-18,159915ETF,Spot ETF,ew,-0.6743,0.9,0.0,0,0.000469,0.0,0.0,0.0,0.013188
2022-02-21,159915ETF,Spot ETF,ew,-0.0157,0.9,0.0,0,-0.008721,0.0,0.0,0.0,0.013188
2022-02-22,159915ETF,Spot ETF,ew,-1.619,0.9,-1.0,1,0.005256,-0.004513,0.0008,-0.005313,0.007876
2022-02-23,159915ETF,Spot ETF,ew,1.4956,0.9,1.0,1,0.013222,0.015521,0.0008,0.014721,0.022597
2022-02-24,159915ETF,Spot ETF,ew,-0.1333,0.9,0.0,0,-0.026274,0.0,0.0,0.0,0.022597
2022-02-25,159915ETF,Spot ETF,ew,1.5378,0.9,1.0,1,-0.003787,-0.002528,0.0008,-0.003328,0.019269
2022-02-28,159915ETF,Spot ETF,ew,0.7115,0.9,0.0,0,0.005167,0.0,0.0,0.0,0.019269
2022-03-01,159915ETF,Spot ETF,ew,0.0554,0.9,0.0,0,-0.004081,0.0,0.0,0.0,0.019269
2022-03-02,159915ETF,Spot ETF,ew,-1.5631,0.9,-1.0,1,0.004243,-0.003287,0.0008,-0.004087,0.015182
2022-03-03,159915ETF,Spot ETF,ew,-0.9655,0.9,0.0,0,-0.005759,0.0,0.0,0.0,0.015182
2022-03-04,159915ETF,Spot ETF,ew,0.0988,0.9,0.0,0,-0.017465,0.0,0.0,0.0,0.015182
2022-03-07,159915ETF,Spot ETF,ew,-1.7022,0.9,-1.0,1,-0.013148,0.014336,0.0008,0.013536,0.028717
2022-03-08,159915ETF,Spot ETF,ew,-0.4173,0.9,0.0,0,-0.012942,0.0,0.0,0.0,0.028717
2022-03-09,159915ETF,Spot ETF,ew,-0.7956,0.9,0.0,0,-0.010131,0.0,0.0,0.0,0.028717
2022-03-10,159915ETF,Spot ETF,ew,0.5496,0.9,0.0,0,0.00069,0.0,0.0,0.0,0.028717
2022-03-11,159915ETF,Spot ETF,ew,-0.3156,0.9,0.0,0,0.016203,0.0,0.0,0.0,0.028717
2022-03-14,159915ETF,Spot ETF,ew,-1.3298,0.9,-1.0,1,-0.021727,0.019178,0.0008,0.018378,0.047095
2022-03-15,159915ETF,Spot ETF,ew,-1.0797,0.9,0.0,0,-0.008505,0.0,0.0,0.0,0.047095
2022-03-16,159915ETF,Spot ETF,ew,-0.8107,0.9,0.0,0,0.035068,0.0,0.0,0.0,0.047095
2022-03-17,159915ETF,Spot ETF,ew,2.0169,0.9,1.0,1,0.007068,0.006886,0.0008,0.006086,0.053181
2022-03-18,159915ETF,Spot ETF,ew,-0.6783,0.9,0.0,0,0.006778,0.0,0.0,0.0,0.053181
2022-03-21,159915ETF,Spot ETF,ew,0.9503,0.9,1.0,1,-0.00979,-0.011637,0.0008,-0.012437,0.040744
2022-03-22,159915ETF,Spot ETF,ew,-1.3989,0.9,-1.0,1,-0.009741,0.00841,0.0008,0.00761,0.048354
2022-03-23,159915ETF,Spot ETF,ew,-1.0152,0.9,0.0,0,0.010231,0.0,0.0,0.0,0.048354
2022-03-24,159915ETF,Spot ETF,ew,-1.5141,0.9,-1.0,1,0.014851,-0.015032,0.001,-0.016032,0.032322
2022-03-25,159915ETF,Spot ETF,ew,0.2702,0.9,0.0,0,-0.020178,0.0,0.0,0.0,0.032322
2022-03-28,159915ETF,Spot ETF,ew,-0.9316,0.9,0.0,0,-0.008686,0.0,0.0,0.0,0.032322
2022-03-29,159915ETF,Spot ETF,ew,0.8532,0.9,0.0,0,-0.015846,0.0,0.0,0.0,0.032322
2022-03-30,159915ETF,Spot ETF,ew,1.6034,0.9,1.0,1,0.01243,0.012476,0.0008,0.011676,0.043998
2022-03-31,159915ETF,Spot ETF,ew,-1.0546,0.9,0.0,0,-0.003636,0.0,0.0,0.0,0.043998
2022-04-01,159915ETF,Spot ETF,ew,-0.6186,0.9,0.0,0,0.007365,0.0,0.0,0.0,0.043998
2022-04-06,159915ETF,Spot ETF,ew,-1.3521,0.9,-1.0,1,-0.007127,0.008216,0.0008,0.007416,0.051414
2022-04-07,159915ETF,Spot ETF,ew,-0.1155,0.9,0.0,0,-0.013062,0.0,0.0,0.0,0.051414
2022-04-08,159915ETF,Spot ETF,ew,-0.1269,0.9,0.0,0,0.003269,0.0,0.0,0.0,0.051414
2022-04-11,159915ETF,Spot ETF,ew,-1.5304,0.9,-1.0,1,-0.015513,0.016089,0.0008,0.015289,0.066703
2022-04-12,159915ETF,Spot ETF,ew,1.0878,0.9,1.0,1,0.010879,0.012464,0.0008,0.011664,0.078367
2022-04-13,159915ETF,Spot ETF,ew,-1.2147,0.9,-1.0,1,-0.002837,0.001665,0.0008,0.000865,0.079231
2022-04-14,159915ETF,Spot ETF,ew,-0.9195,0.9,0.0,0,0.000952,0.0,0.0,0.0,0.079231
2022-04-15,159915ETF,Spot ETF,ew,-1.6819,0.9,-1.0,1,0.009068,-0.01893,0.001,-0.01993,0.059301
2022-04-18,159915ETF,Spot ETF,ew,-1.3653,0.9,-1.0,1,0.014706,-0.015228,0.0008,-0.016028,0.043273
2022-04-19,159915ETF,Spot ETF,ew,1.0754,0.9,1.0,1,-0.01217,-0.012078,0.0008,-0.012878,0.030395
2022-04-20,159915ETF,Spot ETF,ew,-1.4146,0.9,-1.0,1,-0.017173,0.018884,0.0008,0.018084,0.048479
2022-04-21,159915ETF,Spot ETF,ew,0.9965,0.9,1.0,1,-0.023219,-0.019461,0.001,-0.020461,0.028018
2022-04-22,159915ETF,Spot ETF,ew,-0.1083,0.9,0.0,0,-0.00234,0.0,0.0,0.0,0.028018
2022-04-25,159915ETF,Spot ETF,ew,-0.9889,0.9,0.0,0,-0.017572,0.0,0.0,0.0,0.028018
2022-04-26,159915ETF,Spot ETF,ew,-0.512,0.9,0.0,0,-0.00293,0.0,0.0,0.0,0.028018
2022-04-27,159915ETF,Spot ETF,ew,1.1323,0.9,1.0,1,0.051087,0.05248,0.0008,0.05168,0.079697
2022-04-28,159915ETF,Spot ETF,ew,-1.556,0.9,-1.0,1,-0.006812,0.007404,0.0008,0.006604,0.086301
2022-04-29,159915ETF,Spot ETF,ew,-1.0636,0.9,0.0,0,0.03878,0.0,0.0,0.0,0.086301
2022-05-05,159915ETF,Spot ETF,ew,-1.1083,0.9,0.0,0,0.013552,0.0,0.0,0.0,0.086301
