rank_index,feature,weight,deflated_ic,ic_ir,mono,composite_score,oos_ic,total_weighted_pnl,rank
9,combo_mean__rbreaker_sell_setup_proximity_early__bar_ret_0,0.1364,0.2594,0.7322,0.739,0.9045,0.1613,0.252874,1
11,combo_tri_min__star50_limit_proximity_early__first_bar_sentiment__bar_body_rng_0,0.1273,0.2872,0.6249,0.7097,0.8682,0.1286,0.1676,2
3,combo_rank_max__max_up_ret__opening_auction_imbalance,0.1182,0.2186,0.66,0.7818,0.6773,0.1432,0.196155,3
5,combo_mean__rbreaker_sell_setup_proximity_early__max_up_ret,0.1091,0.2443,0.5912,0.7331,0.6409,0.1764,0.209325,4
8,combo_rank_max__rbreaker_sell_setup_proximity_early__first_bar_sentiment,0.1,0.2577,0.568,0.6921,0.6045,0.0891,0.105603,5
10,combo_rank_min__rbreaker_sell_setup_proximity_early__bar_body_rng_0,0.0909,0.2675,0.5631,0.6528,0.5773,0.1499,0.160703,6
7,combo_min__star50_limit_proximity_early__yesterday_first_30min_return,0.0818,0.2513,0.5263,0.6962,0.4318,0.1322,0.099387,7
6,combo_mean__rbreaker_sell_setup_proximity_early__early_range,0.0727,0.2498,0.5421,0.6856,0.4136,0.1273,0.094369,8
2,combo_z_sum__max_up_ret__first_bar_sentiment,0.0636,0.2129,0.5452,0.7079,0.3909,0.137,0.101765,9
1,combo_ratio__max_up_ret__volume_weighted_price_position,0.0545,0.1935,0.5324,0.6997,0.2682,0.166,0.09713,10
4,combo_clamp_diff__bar_ret_0__demark_setup_reversal_early,0.0455,0.2213,0.4124,0.6745,0.2227,0.14,0.077167,11
