feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass,n_valid
obv_slope_10d,300ETF,-0.023442,2.6438,4,False,2,False,3425
ad_line_slope_10d,300ETF,-0.039672,1.3717,4,False,2,False,3425
negative_volume_index_change,300ETF,0.005153,13.2098,6,False,2,False,3430
positive_volume_index_change,300ETF,-0.039982,2.0272,6,False,2,False,3430
force_index_10d,300ETF,-0.039412,1.5695,4,True,0,False,3416
ease_of_movement_10d,300ETF,-0.009007,8.327,8,False,3,False,3407
money_flow_index_14d,300ETF,-0.032303,1.5338,4,True,1,False,3422
pvt_slope_10d,300ETF,-0.035026,1.4657,4,False,1,False,3424
volume_differential_10d,300ETF,-0.024482,2.5459,4,False,2,False,3426
return_skewness_20d,300ETF,-0.015567,3.7411,6,False,2,False,3415
return_kurtosis_20d,300ETF,-0.000412,165.4094,7,False,4,False,3415
path_loopiness_5d,300ETF,-0.033514,1.7802,5,False,2,False,3430
ulcer_index_14d,300ETF,-0.021288,3.7111,5,False,3,False,3409
current_drawdown_from_peak_20d,300ETF,-0.047687,0.6865,2,True,1,True,3416
max_drawdown_20d,300ETF,0.038819,1.3761,5,False,2,False,3397
mfe_mae_ratio_5d,300ETF,-0.026414,2.9166,5,False,3,False,3431
pain_index_20d,300ETF,0.028461,1.9172,7,False,2,False,3397
liquidity_efficiency_ratio_10d,300ETF,0.006858,10.4773,7,False,4,False,3376
roll_spread_proxy_10d,300ETF,-0.023293,1.9685,5,False,2,False,3425
volume_per_trade_trend_5d,300ETF,0.007049,7.0497,6,False,2,False,3416
turnover_zscore_20d,300ETF,0.014701,2.9101,6,False,2,False,3416
weekly_return_5d,300ETF,-0.020776,3.3294,6,False,3,False,3415
weekly_atr_position,300ETF,-0.024442,2.173,4,False,2,False,3431
monthly_high_proximity,300ETF,-0.036783,1.3638,2,False,2,False,3415
quarterly_trend_direction,300ETF,-0.037541,1.3109,3,False,2,False,3422
monthly_momentum_zscore,300ETF,-0.034658,1.3623,4,False,2,False,3355
options_expiry_proximity,300ETF,0.047835,1.4712,5,False,1,False,3435
first_day_of_month_flag,300ETF,-0.001655,47.6187,9,False,4,False,3435
week_of_month,300ETF,-0.017789,2.762,7,False,2,False,3435
pre_holiday_flag,300ETF,-0.012582,6.248,8,False,4,False,3435
month_end_effect_5d,300ETF,0.012681,4.2858,5,False,2,False,3435
cross_asset_breadth_score,300ETF,-0.00287,21.7528,3,False,5,False,3435
size_rotation_50_300,300ETF,-0.000419,127.7216,8,False,3,False,3435
breadth_rotation_500_300,300ETF,-0.00375,13.7592,7,False,3,False,3435
growth_rotation_588_300,300ETF,0.009353,4.0395,2,False,5,False,3435
growth_rotation_159915_300,300ETF,0.025355,3.326,6,False,2,False,3435
cross_asset_return_dispersion_z,300ETF,0.000388,147.8059,9,False,3,False,3435
cross_asset_avg_correlation,300ETF,0.003329,12.1616,7,False,4,False,3435
relative_strength_vs_cross_5d,300ETF,0.009034,6.2483,2,False,6,False,3435
vix_level_zscore_60d,300ETF,0.001879,33.5037,4,False,3,False,1571
