feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass
h2_l2_pullback_continuation,300ETF,-0.032406,2.8065,4,False,2,False
first_ma_gap_bar_reversal,300ETF,0.028128,2.6998,8,False,3,False
failed_breakout_reversal_thrust,300ETF,0.019109,3.8473,4,False,3,False
shaved_bar_trend_conviction,300ETF,0.015437,5.2772,6,False,3,False
vwap_channel_compression,300ETF,-0.027068,2.447,6,False,1,False
morning_volume_weighted_momentum,300ETF,0.049322,1.6774,2,False,1,False
lunch_transition_volume_skew,300ETF,0.033947,1.4335,3,False,2,False
intraday_range_expansion_velocity,300ETF,-0.021264,2.9393,9,False,2,False
h2_l2_pullback_continuation,500ETF,-0.093567,0.8219,1,True,0,True
first_ma_gap_bar_reversal,500ETF,0.060153,1.4736,4,False,1,False
failed_breakout_reversal_thrust,500ETF,0.074284,0.906,3,True,0,False
shaved_bar_trend_conviction,500ETF,0.087402,0.9686,4,True,0,False
vwap_channel_compression,500ETF,-0.04556,1.1788,5,False,1,False
morning_volume_weighted_momentum,500ETF,0.128282,0.6085,1,True,0,True
lunch_transition_volume_skew,500ETF,0.037796,1.7456,4,False,1,False
intraday_range_expansion_velocity,500ETF,0.032235,1.7065,4,False,2,False
h2_l2_pullback_continuation,50ETF,-0.033348,1.9125,6,False,1,False
first_ma_gap_bar_reversal,50ETF,0.044862,1.3759,5,False,1,False
failed_breakout_reversal_thrust,50ETF,0.038516,1.6515,3,True,1,False
shaved_bar_trend_conviction,50ETF,0.01402,4.2848,6,False,3,False
vwap_channel_compression,50ETF,0.00753,9.2529,6,False,2,False
morning_volume_weighted_momentum,50ETF,0.033118,2.1573,5,False,2,False
lunch_transition_volume_skew,50ETF,0.014137,3.9941,8,False,3,False
intraday_range_expansion_velocity,50ETF,-0.00239,25.1113,6,False,4,False
h2_l2_pullback_continuation,588000ETF,-0.081474,1.8626,2,False,2,False
first_ma_gap_bar_reversal,588000ETF,0.035793,1.9039,2,False,2,False
failed_breakout_reversal_thrust,588000ETF,0.048507,2.7301,2,False,3,False
shaved_bar_trend_conviction,588000ETF,0.064499,2.433,2,False,3,False
vwap_channel_compression,588000ETF,0.018115,3.6363,2,False,3,False
morning_volume_weighted_momentum,588000ETF,0.099832,1.705,1,False,2,False
lunch_transition_volume_skew,588000ETF,0.021695,5.6681,1,True,1,False
intraday_range_expansion_velocity,588000ETF,-0.00167,39.6228,4,False,2,False
h2_l2_pullback_continuation,159915ETF,-0.069687,1.3796,3,True,0,False
first_ma_gap_bar_reversal,159915ETF,0.050647,1.5891,4,True,1,False
failed_breakout_reversal_thrust,159915ETF,0.06873,1.356,5,False,2,False
shaved_bar_trend_conviction,159915ETF,0.097357,0.9623,2,True,0,True
vwap_channel_compression,159915ETF,-0.032397,1.0984,3,True,0,False
morning_volume_weighted_momentum,159915ETF,0.10841,0.8317,1,True,0,True
lunch_transition_volume_skew,159915ETF,0.046651,1.009,2,True,1,True
intraday_range_expansion_velocity,159915ETF,0.009598,7.0246,8,False,4,False
