feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass,n_valid
hurst_rs_30d,500ETF,0.026601,2.5851,6,False,2,False,3240
ma_alignment_score_5_10_20_50,500ETF,-0.01817,3.6928,6,False,3,False,3240
ma_alignment_score_5_10_20,500ETF,-0.002153,30.2226,6,False,4,False,3240
ma50_slope_normalized_10d,500ETF,-0.016284,4.0905,5,False,3,False,3227
ma_crossover_age_5_20,500ETF,-0.003138,26.9232,6,False,3,False,3240
close_above_ma50_pct_20d,500ETF,-0.030334,1.9515,6,False,2,False,3221
close_to_ema21_distance,500ETF,-0.014939,4.759,6,False,3,False,3227
keltner_position_20d,500ETF,-0.014285,4.9013,6,False,3,False,3231
supertrend_proxy_dir_10_2,500ETF,-0.00084,89.833,8,False,5,False,3240
donchian_breakout_age_20d,500ETF,-0.003047,31.2401,7,False,4,False,3240
donchian_width_atr_ratio_20d,500ETF,0.004825,13.0538,9,False,3,False,3221
bollinger_width_zscore_60d,500ETF,-0.007929,7.7616,7,False,2,False,3162
trend_quality_hh_hl_5d,500ETF,0.003168,21.2441,6,False,3,False,3236
trend_quality_stair_step_5d,500ETF,-0.016195,4.5232,6,False,4,False,3236
accumulation_day_count_5d,500ETF,-0.005161,12.5989,8,False,3,False,3236
climax_volume_reversal_3d,500ETF,0.011131,5.4932,6,True,1,False,3240
trend_day_count_5d,500ETF,0.009147,5.2497,4,False,3,False,3236
trend_acceleration_5_10d,500ETF,-0.014375,3.1449,6,False,3,False,3227
macd_histogram_slope_5d,500ETF,-0.016539,2.7044,5,False,3,False,3227
rsi_14_slope_5d,500ETF,0.005988,7.5954,8,False,3,False,3223
macd_line_cross_age,500ETF,0.007361,7.4348,7,False,3,False,3240
outside_day_count_5d,500ETF,-0.005184,11.2225,5,False,3,False,3236
two_day_reversal_count_3d,500ETF,0.015913,2.9067,5,False,2,False,3238
wide_range_bar_count_5d,500ETF,-0.030364,2.231,5,False,3,False,3236
narrow_range_streak_4,500ETF,-0.004906,12.9067,7,False,4,False,3240
realized_vol_zscore_20d,500ETF,0.043358,0.9766,2,True,0,True,3171
range_percentile_60d,500ETF,0.02364,2.0753,6,False,2,False,3240
volume_regime_zscore_20d,500ETF,0.024845,2.1898,5,False,3,False,3221
bollinger_pctb_slope_5d,500ETF,0.002686,13.268,8,False,3,False,3217
atr_percentile_rank_60d,500ETF,0.022908,2.904,4,True,1,False,3240
trend_persistence_composite,500ETF,-0.000915,80.6575,8,False,4,False,3216
directional_probability_5d,500ETF,-0.042553,1.4085,5,False,2,False,3236
kaufman_efficiency_ratio_10d,50ETF,-0.043769,1.1343,2,False,1,False,3955
kaufman_efficiency_ratio_20d,50ETF,-0.048761,0.7992,2,True,0,True,3955
choppiness_index_14d,50ETF,0.007139,6.0286,7,False,2,False,3955
close_close_autocorr_10d,50ETF,0.002638,22.185,5,False,3,False,3955
variance_ratio_5_20d,50ETF,-0.006647,8.7522,8,False,3,False,3955
hurst_rs_30d,50ETF,-0.021125,1.8902,6,False,2,False,3955
ma_alignment_score_5_10_20_50,50ETF,-0.055161,0.7244,1,True,0,True,3955
ma_alignment_score_5_10_20,50ETF,-0.051512,0.9814,2,True,0,True,3955
ma50_slope_normalized_10d,50ETF,-0.056489,0.813,2,True,0,True,3955
ma_crossover_age_5_20,50ETF,-0.041015,1.259,4,True,0,False,3955
close_above_ma50_pct_20d,50ETF,-0.043466,1.1322,3,True,1,False,3955
close_to_ema21_distance,50ETF,-0.052726,0.9282,2,True,1,True,3955
keltner_position_20d,50ETF,-0.049436,0.9747,1,False,2,False,3955
supertrend_proxy_dir_10_2,50ETF,-0.030178,1.9138,5,False,3,False,3955
donchian_breakout_age_20d,50ETF,-0.020221,2.3469,7,False,2,False,3955
donchian_width_atr_ratio_20d,50ETF,0.013967,4.6071,7,False,2,False,3955
bollinger_width_zscore_60d,50ETF,-0.033098,1.5786,5,True,1,False,3936
trend_quality_hh_hl_5d,50ETF,-0.022788,2.2098,6,False,2,False,3955
trend_quality_stair_step_5d,50ETF,-0.031518,2.1993,10,False,2,False,3955
accumulation_day_count_5d,50ETF,-0.031006,2.3164,5,True,1,False,3955
climax_volume_reversal_3d,50ETF,-0.006282,10.1896,9,False,3,False,3955
trend_day_count_5d,50ETF,-0.013376,4.4626,7,False,2,False,3955
trend_acceleration_5_10d,50ETF,-0.003441,14.3037,7,False,3,False,3955
macd_histogram_slope_5d,50ETF,-0.005564,8.7904,7,False,4,False,3955
rsi_14_slope_5d,50ETF,-0.003021,19.0329,8,False,3,False,3955
macd_line_cross_age,50ETF,-0.024862,2.2975,6,False,2,False,3955
outside_day_count_5d,50ETF,-0.004798,13.6381,8,False,3,False,3955
two_day_reversal_count_3d,50ETF,-0.004763,15.4901,7,False,3,False,3955
wide_range_bar_count_5d,50ETF,-0.040222,1.5693,3,True,1,False,3955
narrow_range_streak_4,50ETF,0.007318,9.0505,10,False,3,False,3955
realized_vol_zscore_20d,50ETF,-0.010825,5.7566,8,False,3,False,3945
range_percentile_60d,50ETF,0.006038,9.8168,8,False,3,False,3955
volume_regime_zscore_20d,50ETF,-0.022313,2.5689,6,True,1,False,3955
bollinger_pctb_slope_5d,50ETF,0.013946,4.7886,8,False,4,False,3955
atr_percentile_rank_60d,50ETF,-0.004731,13.183,7,False,3,False,3955
trend_persistence_composite,50ETF,-0.028825,1.7129,5,False,2,False,3955
directional_probability_5d,50ETF,-0.039012,1.3775,5,False,2,False,3955
kaufman_efficiency_ratio_10d,588000ETF,0.020288,1.5215,3,False,2,False,1362
kaufman_efficiency_ratio_20d,588000ETF,0.009569,2.8739,2,False,3,False,1352
choppiness_index_14d,588000ETF,-0.013533,11.47,4,False,5,False,1361
close_close_autocorr_10d,588000ETF,0.025028,2.8672,3,True,1,False,1374
variance_ratio_5_20d,588000ETF,0.005226,14.7728,4,False,4,False,1350
hurst_rs_30d,588000ETF,-0.007179,15.7277,4,False,5,False,1374
ma_alignment_score_5_10_20_50,588000ETF,-0.032909,3.0068,3,False,3,False,1374
ma_alignment_score_5_10_20,588000ETF,-0.023812,4.1929,4,False,4,False,1374
ma50_slope_normalized_10d,588000ETF,0.01065,7.0831,4,False,4,False,1361
ma_crossover_age_5_20,588000ETF,-0.017727,3.5657,3,False,4,False,1374
close_above_ma50_pct_20d,588000ETF,-0.032985,0.9848,1,False,3,False,1355
close_to_ema21_distance,588000ETF,-0.01412,5.1506,3,False,4,False,1361
keltner_position_20d,588000ETF,-0.016732,4.9357,3,False,4,False,1365
supertrend_proxy_dir_10_2,588000ETF,0.015397,3.61,3,False,3,False,1374
donchian_breakout_age_20d,588000ETF,0.057119,0.9954,1,False,4,False,1374
donchian_width_atr_ratio_20d,588000ETF,-0.039503,1.4738,1,True,1,True,1355
bollinger_width_zscore_60d,588000ETF,0.012527,5.3692,3,False,3,False,1296
trend_quality_hh_hl_5d,588000ETF,-0.014442,1.7377,2,True,1,False,1370
trend_quality_stair_step_5d,588000ETF,-0.024268,2.5307,2,False,2,False,1370
accumulation_day_count_5d,588000ETF,-0.025433,3.3438,4,False,4,False,1370
climax_volume_reversal_3d,588000ETF,0.036387,1.564,1,False,2,False,1374
trend_day_count_5d,588000ETF,-0.037922,0.915,2,True,1,True,1370
trend_acceleration_5_10d,588000ETF,-0.024623,3.1712,3,False,3,False,1361
macd_histogram_slope_5d,588000ETF,-0.056023,2.0488,2,False,3,False,1361
rsi_14_slope_5d,588000ETF,0.025629,2.8642,2,False,5,False,1357
macd_line_cross_age,588000ETF,0.039282,0.9646,1,True,0,True,1374
outside_day_count_5d,588000ETF,-0.021362,6.9135,5,False,6,False,1370
two_day_reversal_count_3d,588000ETF,0.02137,3.3735,1,True,1,False,1372
wide_range_bar_count_5d,588000ETF,-0.03503,3.6864,4,False,4,False,1370
narrow_range_streak_4,588000ETF,0.075005,1.6809,2,False,2,False,1374
realized_vol_zscore_20d,588000ETF,0.001635,39.8895,3,False,3,False,1305
range_percentile_60d,588000ETF,0.000559,61.991,2,False,4,False,1374
volume_regime_zscore_20d,588000ETF,-0.011517,6.5242,3,False,5,False,1355
bollinger_pctb_slope_5d,588000ETF,0.014066,3.777,2,False,4,False,1351
atr_percentile_rank_60d,588000ETF,0.027326,2.0368,2,False,3,False,1374
trend_persistence_composite,588000ETF,0.038608,1.4159,2,True,1,True,1350
directional_probability_5d,588000ETF,-0.027679,2.2144,2,False,2,False,1370
kaufman_efficiency_ratio_10d,159915ETF,-0.006408,7.0534,6,False,5,False,3532
kaufman_efficiency_ratio_20d,159915ETF,0.004429,15.0483,7,False,3,False,3522
choppiness_index_14d,159915ETF,0.033351,1.3378,3,False,2,False,3531
close_close_autocorr_10d,159915ETF,0.004476,11.8595,7,False,2,False,3544
variance_ratio_5_20d,159915ETF,-0.01287,4.6709,7,False,2,False,3520
hurst_rs_30d,159915ETF,-0.004196,12.6335,6,False,2,False,3544
ma_alignment_score_5_10_20_50,159915ETF,-0.010649,5.5722,9,False,4,False,3544
ma_alignment_score_5_10_20,159915ETF,-0.000668,86.6431,10,False,5,False,3544
ma50_slope_normalized_10d,159915ETF,-0.015518,3.76,7,False,4,False,3531
ma_crossover_age_5_20,159915ETF,0.004546,12.5266,6,False,2,False,3544
close_above_ma50_pct_20d,159915ETF,-0.022885,2.2579,5,False,4,False,3525
close_to_ema21_distance,159915ETF,-0.008969,5.6298,7,False,4,False,3531
keltner_position_20d,159915ETF,-0.005009,9.5072,7,False,4,False,3535
supertrend_proxy_dir_10_2,159915ETF,-0.012203,8.2162,7,False,3,False,3544
donchian_breakout_age_20d,159915ETF,-0.009513,5.8472,6,False,4,False,3544
donchian_width_atr_ratio_20d,159915ETF,-0.019517,2.5654,6,True,1,False,3525
bollinger_width_zscore_60d,159915ETF,-0.018676,3.8683,5,False,3,False,3466
trend_quality_hh_hl_5d,159915ETF,-0.007659,5.9086,6,False,4,False,3540
trend_quality_stair_step_5d,159915ETF,-0.018989,2.7846,5,False,4,False,3540
accumulation_day_count_5d,159915ETF,-0.006809,9.2553,8,False,3,False,3540
climax_volume_reversal_3d,159915ETF,-0.003228,23.0575,6,False,2,False,3544
trend_day_count_5d,159915ETF,-0.000317,181.8999,8,False,4,False,3540
trend_acceleration_5_10d,159915ETF,-0.008775,4.5945,8,False,2,False,3531
macd_histogram_slope_5d,159915ETF,-0.018335,2.2956,7,False,2,False,3531
rsi_14_slope_5d,159915ETF,-0.013861,2.6681,5,False,2,False,3527
macd_line_cross_age,159915ETF,0.003976,12.4123,8,False,2,False,3544
outside_day_count_5d,159915ETF,-0.044354,1.5183,4,True,1,False,3540
two_day_reversal_count_3d,159915ETF,-0.002199,21.3264,6,False,4,False,3542
wide_range_bar_count_5d,159915ETF,-0.008886,8.5983,7,False,3,False,3540
narrow_range_streak_4,159915ETF,-0.003236,15.1426,9,False,3,False,3544
realized_vol_zscore_20d,159915ETF,0.022579,2.8608,5,False,3,False,3475
range_percentile_60d,159915ETF,0.007397,8.5784,7,False,3,False,3544
volume_regime_zscore_20d,159915ETF,0.008984,7.7098,8,False,3,False,3525
bollinger_pctb_slope_5d,159915ETF,0.004438,10.988,7,False,2,False,3521
atr_percentile_rank_60d,159915ETF,0.017102,4.2368,7,False,2,False,3544
trend_persistence_composite,159915ETF,-0.001783,33.1426,6,False,4,False,3520
directional_probability_5d,159915ETF,-0.037633,1.3801,3,False,2,False,3540
