feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass,n_valid
kaufman_efficiency_ratio_10d,300ETF,-0.027381,1.9555,3,False,2,False,3423
kaufman_efficiency_ratio_20d,300ETF,-0.033046,1.567,5,False,2,False,3413
choppiness_index_14d,300ETF,0.027625,1.8171,4,True,0,False,3422
close_close_autocorr_10d,300ETF,0.022622,1.7312,7,False,2,False,3435
variance_ratio_5_20d,300ETF,-0.000107,564.2722,8,False,3,False,3411
hurst_rs_30d,300ETF,0.006266,8.3309,6,False,4,False,3435
ma_alignment_score_5_10_20_50,300ETF,-0.037638,1.1678,4,True,1,False,3435
ma_alignment_score_5_10_20,300ETF,-0.036622,1.2955,3,True,1,False,3435
ma50_slope_normalized_10d,300ETF,-0.035749,1.3687,3,False,2,False,3422
ma_crossover_age_5_20,300ETF,-0.024955,1.9324,5,True,1,False,3435
close_above_ma50_pct_20d,300ETF,-0.024792,1.7705,4,False,3,False,3416
close_to_ema21_distance,300ETF,-0.035345,1.4135,2,True,1,True,3422
keltner_position_20d,300ETF,-0.034449,1.35,2,True,0,True,3426
supertrend_proxy_dir_10_2,300ETF,-0.022532,2.4594,4,True,1,False,3435
donchian_breakout_age_20d,300ETF,-0.009665,5.7495,7,False,4,False,3435
donchian_width_atr_ratio_20d,300ETF,0.008035,7.1558,7,False,3,False,3416
bollinger_width_zscore_60d,300ETF,-0.013627,4.1641,6,True,1,False,3357
trend_quality_hh_hl_5d,300ETF,-0.014732,3.6262,6,False,3,False,3431
trend_quality_stair_step_5d,300ETF,-0.022566,2.4879,6,False,3,False,3431
accumulation_day_count_5d,300ETF,-0.014455,4.1727,7,False,3,False,3431
climax_volume_reversal_3d,300ETF,-0.003804,22.1112,7,False,3,False,3435
trend_day_count_5d,300ETF,-0.000237,263.5415,6,False,5,False,3431
trend_acceleration_5_10d,300ETF,0.00373,15.8212,6,False,3,False,3422
macd_histogram_slope_5d,300ETF,-0.002264,25.9087,9,False,4,False,3422
rsi_14_slope_5d,300ETF,0.01266,4.2666,5,False,2,False,3418
macd_line_cross_age,300ETF,-0.009422,5.2658,8,False,3,False,3435
outside_day_count_5d,300ETF,-0.012692,6.7106,6,False,4,False,3431
two_day_reversal_count_3d,300ETF,0.008604,8.9096,6,False,2,False,3433
wide_range_bar_count_5d,300ETF,-0.022699,3.2751,4,False,4,False,3431
narrow_range_streak_4,300ETF,0.020625,2.3027,6,False,2,False,3435
realized_vol_zscore_20d,300ETF,0.009704,6.0824,8,False,3,False,3366
range_percentile_60d,300ETF,0.006347,10.0735,6,False,2,False,3435
volume_regime_zscore_20d,300ETF,0.019518,2.3221,6,False,2,False,3416
bollinger_pctb_slope_5d,300ETF,0.024163,2.6141,7,False,3,False,3412
atr_percentile_rank_60d,300ETF,0.013276,3.8928,7,False,2,False,3435
trend_persistence_composite,300ETF,-0.000268,167.859,7,False,4,False,3411
directional_probability_5d,300ETF,-0.045054,1.371,3,True,0,False,3431
kaufman_efficiency_ratio_10d,500ETF,0.001095,72.3526,7,False,3,False,3228
kaufman_efficiency_ratio_20d,500ETF,-0.014818,5.5822,6,False,3,False,3218
choppiness_index_14d,500ETF,0.021121,3.0587,4,False,2,False,3227
close_close_autocorr_10d,500ETF,0.008292,7.0254,5,False,3,False,3240
variance_ratio_5_20d,500ETF,-0.007973,8.1105,6,False,3,False,3216
