feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass,n_valid
poc_position_day,300ETF,0.012185,4.1185,6,False,3,False,3955
value_area_high_pos_day,300ETF,0.030709,2.4463,6,False,1,False,3955
value_area_width_day,300ETF,0.00991,7.1917,9,False,3,False,3955
hvn_count_day,300ETF,0.003402,15.1503,7,False,4,False,3955
lvn_count_day,300ETF,-0.012329,3.8887,8,False,3,False,3955
min_vol_gap_day,300ETF,-0.002253,23.4871,8,False,4,False,3955
cumvol_curve_concavity_day,300ETF,-0.001384,37.5607,8,False,3,False,3955
open_90m_volume_share_day,300ETF,0.003134,17.976,8,False,4,False,3955
close_30m_volume_share_day,300ETF,0.019219,2.9472,5,False,3,False,3955
opening_burst_ratio_day,300ETF,-0.005494,7.5326,8,False,3,False,3955
closing_auction_ratio_day,300ETF,0.007501,5.9811,7,False,4,False,3955
time_of_day_high_day,300ETF,-0.027144,1.656,4,False,1,False,3955
time_of_day_low_day,300ETF,0.035331,1.4842,5,False,1,False,3955
intraday_swing_imbalance_day,300ETF,-0.006183,6.882,8,False,4,False,3955
intraday_extreme_asymmetry_day,300ETF,-0.0551,0.9339,2,True,0,True,3955
v_recovery_strength_day,300ETF,-0.037975,1.9855,4,False,3,False,3955
reverse_v_fade_strength_day,300ETF,0.034789,1.8953,3,False,2,False,3955
l_shape_late_slide_day,300ETF,0.004181,10.5204,8,False,3,False,3955
price_volume_corr_intraday_day,300ETF,0.022667,3.2255,8,False,2,False,3955
countertrend_volume_ratio_day,300ETF,-0.008501,6.1859,7,False,3,False,3955
poc_position_day,500ETF,0.036877,1.7591,8,False,1,False,3955
value_area_high_pos_day,500ETF,-0.0087,8.5792,7,False,5,False,3955
value_area_width_day,500ETF,-0.020399,3.5366,5,True,1,False,3955
hvn_count_day,500ETF,0.014289,5.4583,7,False,4,False,3955
lvn_count_day,500ETF,-0.01489,4.167,9,False,2,False,3955
min_vol_gap_day,500ETF,0.005046,10.0342,9,False,2,False,3955
cumvol_curve_concavity_day,500ETF,-0.029678,2.2847,4,False,3,False,3955
open_90m_volume_share_day,500ETF,-0.020218,3.821,6,False,3,False,3955
close_30m_volume_share_day,500ETF,0.03252,1.8065,5,False,3,False,3955
opening_burst_ratio_day,500ETF,-0.02917,1.3472,3,False,2,False,3955
closing_auction_ratio_day,500ETF,0.004494,12.2734,8,False,3,False,3955
time_of_day_high_day,500ETF,-0.026055,2.5036,5,False,2,False,3955
time_of_day_low_day,500ETF,0.021591,2.6412,6,False,4,False,3955
intraday_swing_imbalance_day,500ETF,-0.004335,11.8657,8,False,4,False,3955
intraday_extreme_asymmetry_day,500ETF,-0.038903,1.7205,4,True,1,False,3955
v_recovery_strength_day,500ETF,-0.042309,1.62,4,False,2,False,3955
reverse_v_fade_strength_day,500ETF,0.035606,1.9724,5,True,1,False,3955
l_shape_late_slide_day,500ETF,-0.008364,5.1057,6,False,2,False,3955
price_volume_corr_intraday_day,500ETF,0.009726,4.5854,5,False,3,False,3955
countertrend_volume_ratio_day,500ETF,-0.004549,14.4323,8,False,4,False,3955
poc_position_day,50ETF,-0.00132,54.2633,7,False,2,False,3955
value_area_high_pos_day,50ETF,0.014072,5.86,7,False,3,False,3955
value_area_width_day,50ETF,0.001989,44.5387,8,False,4,False,3955
hvn_count_day,50ETF,-0.020705,3.1434,8,False,2,False,3955
lvn_count_day,50ETF,-0.0166,3.7049,7,False,3,False,3955
min_vol_gap_day,50ETF,-0.036,2.417,8,True,1,False,3955
cumvol_curve_concavity_day,50ETF,-0.000456,170.6444,8,False,2,False,3955
open_90m_volume_share_day,50ETF,0.000923,77.9663,7,False,4,False,3955
close_30m_volume_share_day,50ETF,0.011308,6.7614,7,False,4,False,3955
opening_burst_ratio_day,50ETF,-0.009975,4.6578,9,False,4,False,3955
closing_auction_ratio_day,50ETF,0.000616,100.5996,10,False,4,False,3955
time_of_day_high_day,50ETF,-0.019803,2.3218,6,False,2,False,3955
time_of_day_low_day,50ETF,0.008739,7.6687,8,False,2,False,3955
intraday_swing_imbalance_day,50ETF,0.003096,15.5974,9,False,4,False,3955
intraday_extreme_asymmetry_day,50ETF,-0.043136,1.0375,2,True,1,True,3955
v_recovery_strength_day,50ETF,-0.040906,1.419,3,False,1,False,3955
reverse_v_fade_strength_day,50ETF,0.022581,2.2709,6,False,2,False,3955
l_shape_late_slide_day,50ETF,0.015226,2.9825,6,True,1,False,3955
price_volume_corr_intraday_day,50ETF,0.011138,6.8044,8,False,4,False,3955
countertrend_volume_ratio_day,50ETF,0.018429,3.3664,4,False,2,False,3955
poc_position_day,588000ETF,-0.011038,6.4583,1,False,2,False,1391
value_area_high_pos_day,588000ETF,0.002083,20.1414,2,False,3,False,1391
value_area_width_day,588000ETF,0.003263,20.2031,4,False,3,False,1391
hvn_count_day,588000ETF,-0.027656,2.687,3,False,3,False,1391
lvn_count_day,588000ETF,-0.020638,6.4019,5,False,4,False,1391
min_vol_gap_day,588000ETF,-0.05228,1.3101,2,True,1,True,1391
cumvol_curve_concavity_day,588000ETF,-0.002832,15.8249,3,False,3,False,1391
open_90m_volume_share_day,588000ETF,-0.023491,2.3247,2,False,2,False,1391
close_30m_volume_share_day,588000ETF,-0.017711,2.9635,2,False,3,False,1391
opening_burst_ratio_day,588000ETF,-0.005874,7.7554,3,False,2,False,1391
closing_auction_ratio_day,588000ETF,-0.043325,2.1762,3,False,3,False,1391
time_of_day_high_day,588000ETF,-0.021267,4.6358,3,False,2,False,1391
time_of_day_low_day,588000ETF,0.016107,2.4066,3,False,2,False,1391
intraday_swing_imbalance_day,588000ETF,-0.044961,1.5827,2,False,2,False,1391
intraday_extreme_asymmetry_day,588000ETF,-0.047389,1.1483,2,True,1,True,1391
v_recovery_strength_day,588000ETF,-0.049976,1.3465,3,True,1,False,1391
reverse_v_fade_strength_day,588000ETF,0.013681,5.5641,2,False,3,False,1391
l_shape_late_slide_day,588000ETF,0.023175,2.225,3,False,3,False,1391
price_volume_corr_intraday_day,588000ETF,-0.015572,3.529,4,False,2,False,1391
countertrend_volume_ratio_day,588000ETF,-0.010677,6.3032,5,False,4,False,1391
poc_position_day,159915ETF,0.019328,3.5111,6,True,1,False,3856
value_area_high_pos_day,159915ETF,0.000477,181.0652,9,False,5,False,3856
value_area_width_day,159915ETF,-0.007173,9.5533,5,False,3,False,3856
hvn_count_day,159915ETF,0.004094,19.0352,9,False,4,False,3856
lvn_count_day,159915ETF,-0.005952,13.1283,6,False,2,False,3856
min_vol_gap_day,159915ETF,-0.009389,8.7814,9,False,2,False,3856
cumvol_curve_concavity_day,159915ETF,-0.022588,2.7532,5,False,2,False,3856
open_90m_volume_share_day,159915ETF,-0.013771,6.1413,6,False,2,False,3856
close_30m_volume_share_day,159915ETF,0.029057,1.4754,6,False,2,False,3856
opening_burst_ratio_day,159915ETF,-0.02029,2.971,7,False,3,False,3856
closing_auction_ratio_day,159915ETF,0.021895,2.8227,6,False,2,False,3856
time_of_day_high_day,159915ETF,-0.015446,4.1226,7,False,2,False,3856
time_of_day_low_day,159915ETF,0.014712,4.4247,7,False,2,False,3856
intraday_swing_imbalance_day,159915ETF,-0.002348,21.9646,9,False,4,False,3856
intraday_extreme_asymmetry_day,159915ETF,-0.038727,1.825,5,True,1,False,3856
v_recovery_strength_day,159915ETF,-0.047644,1.5917,5,False,2,False,3856
reverse_v_fade_strength_day,159915ETF,0.019028,3.5456,6,False,2,False,3856
l_shape_late_slide_day,159915ETF,-0.01649,4.6843,6,False,2,False,3856
price_volume_corr_intraday_day,159915ETF,0.020287,2.2633,7,False,1,False,3856
countertrend_volume_ratio_day,159915ETF,-0.007006,8.8293,8,False,2,False,3856
