trial,objective,screen_fdr,screen_fallback_k,stability_b,stability_pi,stability_q,ess_divisor,model_type,k_weight,alpha,n_screened,n_css,n_vif,k_selected,active_k,val_ic,val_tail_ic,lb_ic,lb_tail_ic,lb_mono,ess_pct,gini,gamma
191,0.3611879474468549,0.48067608143980955,80,24,0.660998253538323,9,5.370795908130681,skglm_mcp,0.9255245957176078,0.014053573759885236,75,3,3,3,3,0.20463720215676195,0.5096613113330438,0.11301195943324079,0.19975655388499425,0.6484848484848484,0.475626036178234,0.44303613718161894,8.88066713280884
189,0.36117590450372683,0.49301877239895386,82,24,0.6584591669928032,8,5.344324787101143,skglm_mcp,0.920278887201531,0.014596833265543898,80,3,3,3,3,0.20459705901300182,0.5096613113330438,0.11345236215178504,0.20026147916056172,0.6,0.47893463844476747,0.4429321748213819,8.83066952538757
164,0.36086986172986724,0.5054757930368935,74,25,0.6625776806999014,10,4.626386407244852,skglm_mcp,0.9438104624034352,0.014613817570058226,80,3,3,3,3,0.2053137813922193,0.5087928788536691,0.11254621331158436,0.2001983635011158,0.6242424242424243,0.46419156096702396,0.4379803225922656,9.630263672707146
192,0.3608028728587175,0.48008933389506164,80,25,0.6589550100370805,8,5.364973032841233,skglm_mcp,0.9230351009875133,0.01418190481036224,75,3,3,3,3,0.20509048515505354,0.5087928788536691,0.11278247247448128,0.19931474426887272,0.5878787878787879,0.47719474615052687,0.4362501104942944,8.892628224473647
163,0.3605188095672802,0.5036567700095415,74,25,0.661295785919501,10,4.610604071218018,skglm_mcp,0.9494653221467729,0.014480488359955199,80,3,3,3,3,0.20457782375661676,0.5085757707338254,0.1128952261825423,0.2006942722539053,0.7333333333333333,0.4606870784315952,0.44311982015193263,9.638005742461965
187,0.3604639132625814,0.4915617958615687,82,27,0.6684151250057065,9,5.401864957054596,skglm_mcp,0.9178310935363851,0.014388954438366576,80,3,3,3,3,0.20504616043381838,0.5082501085540599,0.11338980653418589,0.20201068457949192,0.6,0.48048273130904795,0.44188412864293847,8.593970451676713
176,0.3589575849342253,0.48234534088646136,78,25,0.6760571162232794,9,5.091630441323699,skglm_mcp,0.84501006317006,0.007715862509715598,77,3,3,3,3,0.20827517456002453,0.5041250542770299,0.11153401315092254,0.20123526362058472,0.5636363636363636,0.5277008056640625,0.4179449434227194,8.781869486234148
161,0.3584973439762177,0.5079811387225381,74,25,0.662912916063407,11,4.545407318394718,skglm_mcp,0.889443564424346,0.01174336471744851,81,3,3,3,3,0.20652392991348847,0.5042336083369519,0.11187415932161811,0.20136149493947658,0.5393939393939394,0.49862912200218024,0.42900612082405476,9.721711797275974
50,0.3582113240769267,0.4497161030028774,71,52,0.6855271050925257,10,15.420134692711022,skglm_mcp,0.9426083937292736,0.0144086040926672,70,3,3,3,3,0.2055705302491852,0.5042336083369519,0.1119052276808052,0.20070328877668328,0.5393939393939394,0.4649383544921875,0.43188910284565485,7.930020962930897
150,0.3577228799675955,0.49866372322908964,70,22,0.6505807827534452,10,5.527665777350276,skglm_mcp,0.9263158802231819,0.011736913132309304,80,3,3,3,3,0.2067647887760493,0.5028224055579679,0.11157946371683444,0.20082952009557514,0.5636363636363636,0.47512810285701307,0.42581795648320253,9.636347128844784
