trial,objective,screen_fdr,screen_fallback_k,stability_b,stability_pi,stability_q,ess_divisor,model_type,k_weight,alpha,gamma,n_screened,n_css,n_vif,k_selected,active_k,val_ic,val_tail_ic,lb_ic,lb_tail_ic,lb_mono,ess_pct,gini
72,0.37839881371085476,0.3858922512863454,116,52,0.9003545805244252,24,14.429337512783917,skglm_huber_l1,1.345429990396676,0.012844683746764887,,116,5,5,5,5,0.2596976774044809,0.5174825174825175,-0.02253272893868723,0.0590279969493102,-0.15151515151515152,0.4323070437409157,0.2890642677655013
180,0.3431318132861766,0.6002724364775471,116,18,0.9210606163386139,20,13.820480155428307,skglm_huber_l1,1.2962321993290224,0.0069883538446852715,,116,5,5,5,5,0.25402912121033216,0.46153846153846156,-0.026229970886840294,0.07092105858165422,-0.16363636363636364,0.4532419249068859,0.2793626183616258
68,0.33940283136518457,0.4347085077743768,116,62,0.8943259071966565,26,15.55308360872884,skglm_huber_l1,1.3489639142056973,0.0076170925491000656,,116,5,5,5,5,0.2555851954597063,0.45454545454545453,-0.02834898935597777,0.07851765026114614,-0.28484848484848485,0.4308257583499879,0.2714532042771305
76,0.33861923683246403,0.40593537000617497,116,51,0.912566076398846,24,15.487824510089522,skglm_huber_l1,1.336936353509771,0.013982130556858418,,116,5,5,5,5,0.25297321368397113,0.45454545454545453,-0.020941449018750752,0.05595329337339715,-0.12727272727272726,0.4358799660852713,0.29611778316950677
181,0.33500696048017514,0.6744060967639566,116,18,0.9225710584678118,20,13.591295593547988,skglm_huber_l1,1.2820678840706379,0.006326559781120251,,116,5,5,5,5,0.2549183064956888,0.44755244755244755,-0.02600326359448657,0.07447364863710801,-0.17575757575757575,0.45937436125999276,0.28007679457338885
71,0.3349736160319743,0.4027389746058491,116,51,0.9062521304980118,24,15.51799543207412,skglm_huber_l1,1.3313392442496395,0.007596923618949775,,116,5,5,5,5,0.25480715833501927,0.44755244755244755,-0.02723081341293961,0.0718137144585322,-0.2,0.43824401382328004,0.27479180268043724
151,0.2934490519005437,0.5285246502577471,116,18,0.9228967660064916,20,14.106524545199441,skglm_huber_l1,1.4038850985566733,0.010168563324203038,,116,5,5,5,5,0.2562520844237238,0.3776223776223776,-0.028280041573039885,0.06668770571100562,-0.296969696969697,0.4082048401352047,0.26890026401361955
190,0.2865354419595328,0.5495548300819924,94,17,0.9399684737525981,20,8.182674000885878,skglm_huber_l1,1.3822226085552198,0.008119055165656235,,94,5,5,5,5,0.16327664802361758,0.4125874125874126,-0.06302867686563729,-0.16415299494620564,-0.11515151515151516,0.41703601216160974,0.38070051257740434
189,0.27234749585847823,0.6176734768036787,86,20,0.9394775929204833,20,10.71282200263393,skglm_huber_l1,1.3810125921890894,0.007007064709441814,,86,5,5,5,5,0.1579415363114776,0.3916083916083916,0.06722220320986373,0.32721485746055556,0.15151515151515152,0.41753280994504,0.3352545485241225
199,0.27234749585847823,0.547525293737372,86,20,0.9448742207095722,20,12.227827942363984,skglm_huber_l1,1.4248267199207993,0.008603856792280203,,86,5,5,5,5,0.1579415363114776,0.3916083916083916,0.0664743204990393,0.32226026702574273,0.21212121212121213,0.39978266871252727,0.3430989099013846
124,0.2612107999846391,0.463530443737742,116,24,0.9137614389587427,21,14.662264020718567,skglm_huber_l1,1.4043649775481724,0.007781074705351763,,116,5,5,5,5,0.24669334260613968,0.32867132867132864,-0.0304603973862897,0.07746269331574489,-0.23636363636363636,0.40801058628762416,0.26224042557642346
174,0.2610774221918356,0.6475986171470776,116,17,0.8991009240526464,18,13.343917738015165,skglm_huber_l1,1.371744931574061,0.005463768697234611,,116,5,5,5,5,0.24624874996346136,0.32867132867132864,-0.030807580019868046,0.07867995132966941,-0.28484848484848485,0.42135046434032825,0.26236107425177124
161,0.26089402772673076,0.5022322503482914,116,15,0.929113942369418,21,14.766256964446592,skglm_huber_l1,1.419559942328542,0.007993055226983159,,116,5,5,5,5,0.24563743507977864,0.32867132867132864,-0.031022033807507243,0.07712005772664021,-0.15151515151515152,0.4018900671670603,0.2603796651096879
157,0.26082733883032905,0.5172065922527848,116,17,0.9099962773401968,16,14.029002336074017,skglm_huber_l1,1.360827511476782,0.006306195118318224,,116,5,5,5,5,0.24541513875843948,0.32867132867132864,-0.02960638745514569,0.07504170237693945,-0.3090909090909091,0.42587519800940227,0.266231596788006
139,0.2607439777098268,0.5494464285727819,116,15,0.9290326859480573,19,13.499051273449624,skglm_huber_l1,1.389653644299395,0.005246337286899408,,116,5,5,5,5,0.24513726835676553,0.32867132867132864,-0.03175127443423606,0.08392768587858845,-0.28484848484848485,0.4139930665955063,0.26021826577128016
134,0.2607439777098268,0.5331863778093721,116,19,0.9437743463172888,19,13.964275537729545,skglm_huber_l1,1.3965370358257359,0.005726073811955544,,116,5,5,5,5,0.24513726835676553,0.32867132867132864,-0.0317239396929498,0.08249402643996624,-0.16363636363636364,0.4111868984015413,0.2600133582071291
135,0.2607439777098268,0.5559474399627916,116,19,0.9439785154772878,19,14.041897571640478,skglm_huber_l1,1.3921592222647765,0.00499646578334011,,116,5,5,5,5,0.24513726835676553,0.32867132867132864,-0.03216380909295857,0.08221450793306506,-0.22424242424242424,0.4129702841588693,0.2596833021382614
140,0.260027072073508,0.5869681928827928,116,15,0.9309995973074978,19,13.43928932983571,skglm_huber_l1,1.3873784053163438,0.0027520771803553673,,116,5,5,5,5,0.24274758290236947,0.32867132867132864,-0.033607802584431794,0.08750752337463934,-0.18787878787878787,0.4149232317310895,0.25786875998770076
143,0.25956024979869574,0.5565579618351048,116,19,0.9418577120778474,19,13.817461690823556,skglm_huber_l1,1.4382297467152267,0.002982129254674433,,116,5,5,5,5,0.24119150865299532,0.32867132867132864,-0.03469288359165977,0.0909654456017567,-0.09090909090909091,0.39445285649262657,0.2530442392561001
127,0.25932683866128964,0.5139149582836687,116,15,0.9329269525176689,20,14.563514136417425,skglm_huber_l1,1.4590384053901697,0.008488172283988129,,116,5,5,5,5,0.24041347152830825,0.32867132867132864,-0.03197812136766916,0.08023551743938466,-0.24848484848484848,0.3862727261328882,0.2562423416614985
169,0.25914344419618485,0.6316886864193318,116,24,0.912577275347442,19,13.272047901566857,skglm_huber_l1,1.4515409282846206,0.006401324843648223,,116,5,5,5,5,0.23980215664462554,0.32867132867132864,-0.03315739028293076,0.08319751861698065,-0.17575757575757575,0.3892067014709,0.2548352844136572
164,0.25914344419618485,0.49131681238489383,116,16,0.9117862115685801,19,13.628329278390805,skglm_huber_l1,1.4594118253396107,0.006575960928525255,,116,5,5,5,5,0.23980215664462554,0.32867132867132864,-0.03348935203885801,0.08292250785315514,-0.17575757575757575,0.3861269396404887,0.2543586629856269
171,0.25914344419618485,0.6309552796655911,116,23,0.8985180109765774,19,13.926727512433514,skglm_huber_l1,1.4559903153391194,0.006413562765217082,,116,5,5,5,5,0.23980215664462554,0.32867132867132864,-0.033438941609206206,0.08348154612716108,-0.15151515151515152,0.3874637396760689,0.2545207639899574
125,0.25852657190446865,0.5047460431774846,116,21,0.9345898938798559,21,14.603951913765801,skglm_huber_l1,1.4624835938957674,0.007507664025787013,,116,5,5,5,5,0.23774591567223824,0.32867132867132864,-0.03297686927757795,0.08056913705451724,-0.16363636363636364,0.3849295091259387,0.2550352818709962
131,0.2584598830080669,0.5301437891928436,116,16,0.9222074214906967,19,14.452197772991271,skglm_huber_l1,1.4790971120962353,0.008086434240981787,,116,5,5,5,5,0.23752361935089908,0.32867132867132864,-0.032651749934539724,0.08118678417983025,-0.22424242424242424,0.37849766339442525,0.2537423067325051
128,0.2584598830080669,0.5264284005948658,116,20,0.9315828241216406,19,14.579424393336192,skglm_huber_l1,1.4716630264062156,0.008010270265385408,,116,5,5,5,5,0.23752361935089908,0.32867132867132864,-0.032666377337603504,0.07969902103126605,-0.22424242424242424,0.3813666114511416,0.2546039853368669
78,0.24158222915775351,0.40821094208540976,116,55,0.8871154207777565,26,14.441215561377454,skglm_huber_l1,1.214177625921101,0.03998008073216518,,116,5,5,5,4,0.2511948431132578,0.2937062937062937,-0.013515057135809075,0.02462017042237707,0.16363636363636364,0.4893816866615946,0.37650880673609066
82,0.23365184676345135,0.4283268104410108,116,53,0.8767429407478137,26,15.47020343380558,skglm_huber_l1,1.412064912304935,0.023908510696134533,,116,5,5,5,5,0.2387462491182645,0.2867132867132867,-0.014563831462401405,0.03851945359618929,0.01818181818181818,0.40490157844484315,0.32657085102483707
150,0.2181190467877674,0.5349311830282673,116,16,0.928571764799586,18,13.523110416078481,skglm_huber_l1,1.471097562157168,0.0011288731472502678,,116,5,5,5,5,0.24291430514337387,0.25874125874125875,-0.03621633285729332,0.09973423143193051,-0.2,0.3815853799036307,0.24846918966910736
141,0.21758553561655342,0.5904672063567021,116,15,0.9359262969625644,19,13.499756788305243,skglm_huber_l1,1.389018742480715,0.001913729311008597,,116,5,5,5,5,0.24113593457266053,0.25874125874125875,-0.033723320667338866,0.08796286906556353,-0.18787878787878787,0.4142524660095688,0.2564175200133978
104,0.21508435217623467,0.42548931488344527,122,41,0.9031430240172628,21,15.314117451534159,skglm_huber_l1,1.1555652592260837,0.016115320209588477,,122,5,5,5,4,0.10692453056413893,0.32167832167832167,0.008133185206162116,0.04205647520353273,0.18787878787878787,0.5160457995510841,0.6047269708780345
66,0.21166094995813894,0.4413423060084152,121,62,0.8665281762869039,28,14.253621134367947,skglm_huber_l1,1.2028151812826953,0.006823332751786829,,121,5,5,5,5,0.0815271758511392,0.32867132867132864,0.011604592618707499,0.039561866462728655,0.12727272727272726,0.4944985559744428,0.4516644897349462
97,0.19034300482802088,0.4526782772323468,123,66,0.8597709675523842,24,15.310120997742187,skglm_huber_l1,1.1990378022584591,0.021726670339257494,,123,5,5,5,3,0.10836945665284352,0.27972027972027974,0.0091508893925951,0.00871939028363729,0.23636363636363636,0.49620529293089877,0.6411175004314213
116,0.19030966037982,0.4663924352991398,121,29,0.893213663222796,22,14.229448019166753,skglm_huber_l1,1.2747960651046033,0.016558683545960698,,121,5,5,5,5,0.10825830849217394,0.27972027972027974,0.009853947316942446,0.04393657277641793,0.16363636363636364,0.4625403529913851,0.6072082947510755
122,0.19002623257011259,0.4455803515606553,122,23,0.9155938308561223,21,14.955538627398612,skglm_huber_l1,1.3410790632944265,0.01769421297910333,,122,5,5,5,4,0.10731354912648249,0.27972027972027974,0.010102717899836293,0.03779131380317446,0.12727272727272726,0.43413508215615915,0.621254796410359
111,0.1898595103291082,0.463140069880363,122,66,0.8397316901784434,27,15.008021822883698,skglm_huber_l1,1.3630742289635147,0.01675608005072451,,122,5,5,5,5,0.10675780832313457,0.27972027972027974,0.010316857495046912,0.039847247839710796,0.030303030303030304,0.42494163217470626,0.6026880495915579
92,0.18875914353847933,0.4429429894841282,122,55,0.8852951912417766,24,15.34193255579788,skglm_huber_l1,1.4109405374668462,0.016199551693199005,,122,5,5,5,5,0.10308991902103833,0.27972027972027974,0.011763120154059867,0.041465845030755843,0.030303030303030304,0.4053546107092569,0.5837166365540181
99,0.18874247131437888,0.4521304667335392,122,41,0.904295356191576,22,15.991301023123047,skglm_huber_l1,1.2968899905336584,0.022193771765506763,,122,5,5,5,3,0.10303434494070353,0.27972027972027974,0.010070809913200739,0.00734881394122481,0.11515151515151516,0.4529582770295845,0.6517113454770664
95,0.18872579909027845,0.3917150815099953,123,66,0.8633715588369905,26,15.07518774784521,skglm_huber_l1,1.355155743731869,0.01655502268311437,,123,5,5,5,5,0.10297877086036873,0.27972027972027974,0.010784690021199094,0.042421674012654315,0.030303030303030304,0.4282375601835029,0.5988606551899343
34,0.18566918580239233,0.3942065551180646,120,67,0.7403806846255913,24,13.146462044342693,skglm_huber_l1,0.4723435343354978,0.0008223241148965282,,120,5,5,5,5,0.07880404591473442,0.2867132867132867,0.006443353594461767,0.036514137490785116,0.09090909090909091,0.8425530130548995,0.4001685515825075
102,0.18525797647738745,0.4402066651815461,123,71,0.8855026384465002,23,15.089833571314667,skglm_huber_l1,1.2568041063645117,0.012222796219576545,,123,5,5,5,5,0.0914193621507321,0.27972027972027974,0.011837618669902622,0.04482026372194671,0.15151515151515152,0.4704244155292363,0.5254907692741335
106,0.18524130425328703,0.4376779028051917,121,39,0.9187459164322536,21,15.707622350666945,skglm_huber_l1,1.152051385524907,0.01116762319835592,,121,5,5,5,5,0.0913637880703973,0.27972027972027974,0.011245400852303517,0.04837757064042734,0.15151515151515152,0.5176648280417272,0.5177423879332628
179,0.18424097080726076,0.6299454129152318,120,16,0.9060374345407056,18,13.291351224931446,skglm_huber_l1,1.4170348896603475,0.011914565506936342,,120,5,5,5,5,0.08802934325030981,0.27972027972027974,0.013697288744384136,0.04171832815804978,0.09090909090909091,0.4029030615045119,0.50123756444664
187,0.18326838553192934,0.6537136595490705,120,15,0.9190334866680899,19,13.67186139694905,skglm_huber_l1,1.3259367951793717,0.003150261222150914,,120,5,5,5,5,0.07080137834652443,0.2867132867132867,0.014350145700698737,0.03728508668339214,0.07878787878787878,0.4405329800391382,0.4061294619089042
168,0.18208465762079828,0.5734898055556777,120,15,0.9345020599721122,20,14.200630930284312,skglm_mcp,1.3568395943368783,0.004354928400713762,7.311450632956694,120,5,5,5,5,0.06685561864275423,0.2867132867132867,0.015990649101112385,0.03402095092054136,0.2727272727272727,0.4275353897449582,0.37924925939274345
59,0.18147338160658816,0.412624932049193,119,58,0.8674706047722821,29,13.11147134223409,skglm_huber_l1,1.434939009555451,0.008951792069081869,,119,5,5,5,5,0.07880404591473442,0.27972027972027974,0.014377131339286574,0.04237515474452269,0.04242424242424243,0.39575706895931745,0.46376609662536916
