trial,objective,screen_fdr,screen_fallback_k,stability_b,stability_pi,stability_q,ess_divisor,model_type,k_weight,alpha,n_screened,n_css,n_vif,k_selected,active_k,val_ic,val_tail_ic,lb_ic,lb_tail_ic,lb_mono,ess_pct,gini,gamma
93,0.37814910069656693,0.5912593298943918,81,25,0.717629038214558,10,12.697104250362152,skglm_huber_l1,1.3481018926147637,0.000296648322555347,76,4,4,4,4,0.22797296107820236,0.5295953539551771,0.09242864884362514,0.08793443125873086,0.8909090909090909,0.27497861995253453,0.10771508444871558,
114,0.37814659174955734,0.5389889978313875,85,31,0.7226102508542392,10,9.241864762324704,skglm_huber_l1,1.3467408743623952,0.00021964880232190766,69,4,4,4,4,0.22796459792150378,0.5295953539551771,0.09246690845108499,0.08793443125873086,0.8909090909090909,0.27556168312250184,0.10761182717555728,
155,0.37680796876919764,0.5772149470957673,117,31,0.7452350989127856,11,10.13633450394642,skglm_huber_l1,0.7588639270056822,0.0025802627686456717,75,4,4,4,4,0.23186141078521175,0.5254159092227236,0.09947634082325776,0.1189695824909843,0.6727272727272727,0.6055373790652253,0.12069770780813815,
191,0.3762524851132287,0.5510176749017286,122,26,0.7219956025804892,10,10.162811192317225,skglm_huber_l1,1.346644303920349,0.0009131818416506678,70,4,4,4,4,0.2275129874597799,0.5266643147921578,0.09218603545690433,0.08687047197767163,0.9030303030303031,0.2756031125090843,0.10887352121904459,
115,0.3761917685955969,0.5774181330151894,91,31,0.724138427705597,10,9.722954969274046,skglm_huber_l1,1.3346625935189917,0.00019659260768651782,75,4,4,4,4,0.22731059906767404,0.5266643147921578,0.09240704054342655,0.08821394598511084,0.9030303030303031,0.2807758597440498,0.10770114715423529,
170,0.3761591522844724,0.5459956557998031,120,28,0.6888281613034929,10,10.621922665113432,skglm_huber_l1,1.3379012922660836,0.0021705136690938903,70,4,4,4,4,0.22720187803059239,0.5266643147921578,0.09250007143200366,0.08881805845825465,0.9030303030303031,0.2793706494708394,0.10885854714540177,
160,0.3758778896284286,0.5496774324991583,113,26,0.7153424111633683,10,9.721149220194159,skglm_huber_l1,1.369526068749842,0.0009980741769690276,70,4,4,4,4,0.2273499059041574,0.526121529761969,0.0922018489625424,0.08686145537359485,0.8424242424242424,0.26592142859170603,0.10909744744457295,
161,0.3757423524324631,0.5451746737159929,113,27,0.7122536251561729,10,9.782053294481857,skglm_huber_l1,1.3552414265170305,0.0019418142805137878,70,4,4,4,4,0.2273323432750904,0.5259044157498934,0.09201571736858626,0.08632045912898846,0.8666666666666667,0.2719352544740189,0.1099241181945747,
192,0.37572724469295743,0.5539465399907552,124,28,0.7322596442775826,9,10.747149932080163,skglm_huber_l1,1.3187245670848793,0.0007115936875784453,70,4,4,4,4,0.22771621216755566,0.525687301737818,0.09263118738603579,0.0882590290054947,0.8909090909090909,0.2877665852391443,0.10675225181202541,
151,0.3756792531431346,0.7399643805091694,113,34,0.7400335327686286,11,10.459466146467697,skglm_huber_l1,0.7623310644233441,0.0036585473749385492,83,4,4,4,4,0.23265841961858738,0.5231362120959308,0.09942464148142559,0.11700396280224774,0.6606060606060606,0.6032421023346657,0.12177554645545285,
116,0.37549789505942294,0.5809702568897466,91,31,0.7245036718980629,10,9.68848622304366,skglm_huber_l1,1.1777529958693433,0.0002469622465093862,75,4,4,4,4,0.22771161243137142,0.5253073522166859,0.09327357178063088,0.09279438085611164,0.9030303030303031,0.3550476783929869,0.10465488965589476,
