date,0,1,2,3,4,5,6,7
2015-01-05,-0.18904072,-0.34559762,0.21412612,0.050777473,0.17010799,0.011712475,-0.2225138,0.2821402
2015-01-06,-0.59281933,-0.6257384,0.15371795,-0.05644653,0.22439125,-0.19529986,-0.45103908,0.28098634
2015-01-07,-0.10160967,-0.29410014,0.27751583,0.09025735,0.15756324,0.12890477,-0.15685241,0.24897069
2015-01-08,-0.4893439,-0.542292,0.19405042,0.077713296,0.15670344,-0.10838556,-0.32929465,0.13961445
2015-01-09,-0.50983405,-0.53691417,0.17801084,0.19949949,0.14436737,-0.08718695,-0.27840763,0.08065009
2015-01-12,-0.5006721,-0.54202765,0.20344898,0.16746238,0.17652997,-0.025487226,-0.30373424,0.13491935
2015-01-13,-0.32620484,-0.42663592,0.20237641,0.10093096,0.14695314,-0.049821176,-0.2525092,0.19461569
2015-01-14,-0.21055824,-0.35357744,0.25357738,0.15286501,0.13163933,0.0696367,-0.17042565,0.1565122
2015-01-15,-0.28156078,-0.41290182,0.2909723,0.11965925,0.14842357,0.109197736,-0.22393528,0.14126872
2015-01-16,-0.557662,-0.5813587,0.13459115,0.07831657,0.18101145,-0.19163704,-0.35599017,0.18100463
2015-01-19,-0.38952,-0.4443897,0.18994361,0.28928164,0.09350936,-0.045605086,-0.1672422,0.010261282
2015-01-20,-0.5569107,-0.58370304,0.16226885,0.106795125,0.20563771,-0.10532628,-0.35559294,0.19651628
2015-01-21,-0.24400869,-0.38041562,0.23448558,0.119505644,0.15985605,0.045168284,-0.20255214,0.2020871
2015-01-22,-0.35082063,-0.45181513,0.22062622,0.09240469,0.16663404,-0.010453153,-0.26819253,0.19464533
2015-01-23,-0.054491136,-0.27029836,0.31116894,0.12218503,0.12794259,0.16678937,-0.09368342,0.17929092
2015-01-26,-0.47480583,-0.5371584,0.22469349,0.10137714,0.18185337,-0.017130217,-0.32231727,0.15969527
2015-01-27,-0.2004413,-0.3624854,0.28600004,0.1295344,0.17776744,0.16306978,-0.19246554,0.2310701
2015-01-28,-0.31972474,-0.41976225,0.21440534,0.15813807,0.1281748,-0.022220967,-0.21186861,0.1269424
2015-01-29,-0.28034055,-0.41053367,0.2781463,0.10653927,0.14663841,0.07932772,-0.22584921,0.15023819
2015-01-30,-0.181183,-0.34566188,0.29954347,0.10264749,0.13081975,0.11690016,-0.18205743,0.15738298
2015-02-02,-0.47409204,-0.52365273,0.20303816,0.14493702,0.14842947,-0.06628838,-0.28904882,0.10746003
2015-02-03,-0.51144874,-0.5490831,0.1739072,0.09483435,0.16651234,-0.12553042,-0.3375716,0.16430864
2015-02-04,-0.25713012,-0.39049447,0.24071707,0.081845395,0.1467987,0.0183119,-0.23062205,0.19894981
2015-02-05,-0.5137175,-0.5424903,0.16022624,0.15294288,0.14154129,-0.14509849,-0.29507947,0.09779896
2015-02-06,-0.081927426,-0.2832241,0.30050236,0.10086992,0.11974639,0.12747988,-0.12592646,0.17193156
2015-02-09,-0.2877096,-0.4112606,0.29380247,0.16673277,0.11529285,0.098220706,-0.191674,0.061550338
2015-02-10,-0.38651925,-0.47932953,0.22795822,0.07250902,0.20193642,0.020879366,-0.31015927,0.24963032
2015-02-11,-0.4164931,-0.48946738,0.21908127,0.13644524,0.15131393,-0.025894385,-0.27271366,0.13043632
2015-02-12,-0.36061585,-0.4557494,0.22571196,0.12649456,0.15367639,-0.004226912,-0.24759048,0.14727513
2015-02-13,-0.40996093,-0.49142277,0.23571353,0.104560226,0.16572711,0.00034579635,-0.289375,0.15809512
2015-02-16,-0.4915367,-0.5370828,0.15449631,0.08495713,0.18545383,-0.13275915,-0.33654746,0.2152927
2015-02-17,-0.1278383,-0.30450827,0.24663766,0.07502444,0.14048329,0.05264652,-0.17457917,0.22610626
2015-02-25,-0.23841585,-0.3732896,0.26146612,0.1343223,0.11355609,0.043732475,-0.18719605,0.12003171
2015-02-26,-0.26162273,-0.39854282,0.2884787,0.12657532,0.16326396,0.1336734,-0.22209525,0.1788569
2015-02-27,-0.4560078,-0.5101973,0.16728313,0.12096636,0.17426962,-0.096869126,-0.3017484,0.18962637
2015-03-02,-0.4406233,-0.50896215,0.17881581,0.08409902,0.17689644,-0.0923876,-0.30887467,0.19682598
2015-03-03,-0.23050767,-0.36561102,0.24858163,0.13786359,0.11631468,0.028520145,-0.17927888,0.13111928
